GeneID,MOs,MOsID,SED_B,SED_BCR_x,Duck_BCR_x,FID_1,Subbasin,SED_BCR_y,Duck_BCR_y,Zone,coords_x1,coords_x2,SB574,HydroSB,Zone_1,watershed,Subbasin.1,800001,800002,800003,800004,800005,800006,800007,800008
1,TLMO,3,8.636,5.656822904,0,404,1,5.66,0,3,177009.7095,2360876.271,3,1,3,LES,0,1,1,1,1,1,1,1,1
2,TLMO,5,8.997,3.834541475,0,406,1,3.83,0,3,168739.7546,2360916.715,1,1,3,LES,0,1,1,1,1,1,1,1,1
3,TLMO,8,0.032,3.877377924,0,409,1,3.88,0,3,168925.9681,2360257.195,1,1,3,LES,0,1,1,1,1,1,1,1,1
4,TLMO,12,0.039,3.865213084,0,413,1,3.87,0,3,168300.6632,2360134.616,1,1,3,LES,0,1,1,1,1,1,1,1,1
5,TLMO,13,2.157,3.835559926,0,414,1,3.84,0,3,169208.352,2360268.697,1,1,3,LES,0,1,1,1,1,1,1,1,1
6,TLMO,15,0.682,0.984585889,0,3415,9,0.98,0,2,179794.5546,2359648.511,8,1,2,LES,0,1,1,1,1,1,1,1,1
7,TLMO,18,28.726,5.656493734,0,418,1,5.66,0,3,176886.652,2360083.997,3,1,3,LES,0,1,1,1,1,1,1,1,1
8,TLMO,19,0.56,0.405612518,0,419,1,0.41,0,3,177499.5609,2359788.783,4,1,3,LES,0,1,1,1,1,1,1,1,1
9,TLMO,21,0.059,0.984005737,0,3416,9,0.98,0,2,181227.9769,2359210.155,8,1,2,LES,0,1,1,1,1,1,1,1,1
10,TLMO,24,1.584,0.984006172,0,3417,9,0.98,0,2,180183.2334,2359307.497,8,1,2,LES,0,1,1,1,1,1,1,1,1
11,TLMO,26,2.407,0.405644509,0,424,1,0.41,0,3,178639.8206,2359691.395,4,1,3,LES,0,1,1,1,1,1,1,1,1
12,TLMO,27,0.017,0.990791469,0,425,1,0.99,0,3,179478.3481,2359596.245,8,1,2,LES,0,1,1,1,1,1,1,1,1
13,TLMO,29,7.6,3.83454542,0,427,1,3.83,0,3,168007.5603,2359706.792,1,1,3,LES,0,1,1,1,1,1,1,1,1
14,TLMO,30,22.196,5.656658947,0,428,1,5.66,0,3,175667.0644,2359548.161,3,1,3,LES,0,1,1,1,1,1,1,1,1
15,TLMO,31,0.03,0.049349816,0,429,1,0.05,0,3,174951.2355,2359180.434,9,1,3,LES,0,1,1,1,1,1,1,1,1
16,TLMO,32,0.026,0.049967905,0,430,1,0.05,0,3,173442.82,2359146.726,9,1,3,LES,0,1,1,1,1,1,1,1,1
17,TLMO,33,1.402,1.252332492,0,431,1,1.25,0,3,170141.9583,2359142.837,2,1,3,LES,0,1,1,1,1,1,1,1,1
18,TLMO,34,1.072,3.837383706,0,432,1,3.84,0,3,168861.8199,2359016.491,1,1,3,LES,0,1,1,1,1,1,1,1,1
19,TLMO,35,3.97,3.834492857,0,433,1,3.83,0,3,169294.0857,2359597.501,1,1,3,LES,0,1,1,1,1,1,1,1,1
20,TLMO,36,0.215,1.252614469,0,434,1,1.25,0,3,169724.9433,2359087.812,2,1,3,LES,0,1,1,1,1,1,1,1,1
21,TLMO,40,3.908,5.657618531,0,437,1,5.66,0,3,176692.2024,2359042.582,3,1,3,LES,0,1,1,1,1,1,1,1,1
22,TLMO,41,0.046,0.407794188,0,438,1,0.41,0,3,176967.6661,2359191.646,4,1,3,LES,0,1,1,1,1,1,1,1,1
23,TLMO,42,10.879,3.834257446,0,439,1,3.83,0,3,167971.7768,2360663.624,1,1,3,LES,0,1,1,1,1,1,1,1,1
24,TLMO,43,0.267,0.677850781,0,440,1,0.68,0,3,166833.3711,2359005.979,10,1,3,LES,0,1,1,1,1,1,1,1,1
25,TLMO,47,0.019,0.68456134,0,442,1,0.68,0,3,166201.2817,2358880.885,10,1,3,LES,0,1,1,1,1,1,1,1,1
26,TLMO,48,0.005,0.127077721,0,443,1,0.13,0,3,165811.8039,2358830.874,13,1,3,LES,0,1,1,1,1,1,1,1,1
27,TLMO,49,0.032,0.688942473,0,444,1,0.69,0,3,167039.503,2358846.66,10,1,3,LES,0,1,1,1,1,1,1,1,1
28,TLMO,50,0.001,0.299760197,0,445,1,0.3,0,3,175160.0908,2358802.162,9,1,3,LES,0,1,1,1,1,1,1,1,1
29,TLMO,51,0.009,0.05277509,0,446,1,0.05,0,3,175162.5203,2358910.132,9,1,3,LES,0,1,1,1,1,1,1,1,1
30,TLMO,54,0.068,1.259562487,0,3422,9,1.26,0,2,183734.1144,2358844.249,6,9,2,LES,0,1,1,1,1,1,1,1,1
