,Name,mean,std,q25,q50,q75
0,Sub001 ISO-P-S,0.853944591,5.309788569,0.000578178,0.00218549,0.019309886
1,Sub001 ISO-M-S,1.104954571,6.870557192,0.000748128,0.002827896,0.024985868
2,Sub005 ISO-P-S,0.295017923,1.834408005,0.000199747,0.000755036,0.006671115
3,Sub005 ISO-P-M,1.809359472,11.25051478,0.001225058,0.004630671,0.040914276
4,Sub005 ISO-P-L,2.271320496,14.12296739,0.001537836,0.005812962,0.051360404
5,Sub005 ISO-M-S,0.201088449,1.250358819,0.00013615,0.000514643,0.004547128
6,Sub005 ISO-M-M,1.737047007,10.80087917,0.001176097,0.004445603,0.039279105
7,Sub005 ISO-M-L,2.261980467,14.06489151,0.001531512,0.005789058,0.051149202
8,Sub006 ISO-P-L,1.088913798,6.770816398,0.000737268,0.002786843,0.024623145
9,Sub006 ISO-M-L,1.529244584,9.508773171,0.001035401,0.003913777,0.034580157
10,Sub006 ISO-M-M,1.71753349,10.67954501,0.001162885,0.004395662,0.038837854
11,Sub006 ISO-P-M,1.331913314,8.281776319,0.000901795,0.003408749,0.030117989
12,Sub006 ISO-P-S,1.35013034,8.395048956,0.000914129,0.003455372,0.030529923
13,Sub006 ISO-M-S,1.807719013,11.24031448,0.001223947,0.004626473,0.040877181
14,Sub007 ISO-M-M,382.8895599,2380.789843,0.259241875,0.97992446,8.65811879
15,Sub007 ISO-P-S,1005.801111,6254.025494,0.680994714,2.574134198,22.74375279
16,Sub007 ISO-P-M,305.0949874,1897.066735,0.20656974,0.780825784,6.898983205
17,Sub007 ISO-P-L,215.174014,1337.942218,0.145687218,0.550692162,4.865638475
18,Sub007 ISO-M-S,1386.093799,8618.668104,0.938478333,3.547412516,31.34314962
19,Sub007 ISO-M-L,146.3063928,909.7264865,0.099059227,0.374440121,3.308364243
20,Sub008 ISO-M-L,1.42004165,8.829754297,0.000961463,0.003634295,0.032110798
21,Sub008 ISO-M-S,0.958530429,5.960098546,0.000648989,0.002453155,0.021674841
22,Sub008 ISO-M-M,1.435526783,8.926040152,0.000971948,0.003673926,0.032460957
23,Sub008 ISO-P-M,2.245304678,13.96120221,0.001520222,0.00574638,0.05077212
24,Sub008 ISO-P-S,1.874177423,11.65354985,0.001268944,0.004796559,0.042379977
25,Sub008 ISO-P-L,1.603481942,9.970377678,0.001085665,0.004103771,0.036258855
26,Sub009 ISO-P-S,0.04901531,0.304774962,3.32E-05,0.000125444,0.001108362
27,Sub009 ISO-P-M,0.56886864,3.537199292,0.000385162,0.001455898,0.012863585
28,Sub009 ISO-P-L,0.341321184,2.122319575,0.000231097,0.000873539,0.007718151
29,Sub009 ISO-M-M,0.164707316,1.024142586,0.000111518,0.000421533,0.003724456
30,Sub009 ISO-M-L,0.207703201,1.291489044,0.000140629,0.000531572,0.004696704
31,Sub010 ISO-M-L,2590.809209,16109.53365,1.75415135,6.630625592,58.58486688
32,Sub010 ISO-M-S,4131.080525,25686.87054,2.797018188,10.5726227,93.41436714
33,Sub010 ISO-M-M,3344.882884,20798.32942,2.26470973,8.560516914,75.63641422
34,Sub010 ISO-P-M,2275.196066,14147.0655,1.540460114,5.822880823,51.44804108
35,Sub010 ISO-P-S,3000.403593,18656.37287,2.031474179,7.678895374,67.8468505
36,Sub010 ISO-P-L,1715.566269,10667.31292,1.161553261,4.390627287,38.79337048
37,Sub011 ISO-P-S,1122.216347,6977.890132,0.759815626,2.872074256,25.37620103
38,Sub011 ISO-P-L,504.8118813,3138.897284,0.341791453,1.291958732,11.4150964
39,Sub011 ISO-M-S,1572.423474,9777.257537,1.064636002,4.024283722,35.55654333
40,Sub011 ISO-M-M,738.3064157,4590.755664,0.49988289,1.889538372,16.69500901
41,Sub011 ISO-M-L,131.4372249,817.2706778,0.088991804,0.336385645,2.972134073
42,Sub012 ISO-M-M,227.9364894,1417.298709,0.154328269,0.583355005,5.154230902
43,Sub012 ISO-P-M,155.1200202,964.52922,0.105026643,0.396996727,3.507663051
44,Sub013 ISO-P-S,5755.484437,35787.34007,3.896848428,14.72993931,130.146322
45,Sub013 ISO-P-M,189.1692888,1176.246021,0.128080278,0.484138594,4.277604682
46,Sub013 ISO-P-L,271.3556132,1687.276843,0.183725924,0.694477026,6.136049085
47,Sub013 ISO-M-S,7924.390486,49273.49909,5.365343082,20.28079342,179.1908722
48,Sub014 ISO-M-L,904.2551614,5622.617405,0.612241305,2.31424892,20.44753742
49,Sub014 ISO-M-M,1493.768302,9288.183264,1.011381183,3.822982526,33.77794738
50,Sub014 ISO-M-S,1961.210124,12194.71522,1.327870603,5.019300532,44.34801052
51,Sub014 ISO-P-M,424.1362802,2637.260071,0.287168668,1.085486675,9.590813337
52,Sub014 ISO-P-S,1428.412856,8881.806077,0.967131169,3.65571915,32.30009247
53,Sub014 ISO-P-L,654.2702761,4068.222775,0.442984796,1.674465731,14.79473552
54,Sub016 ISO-M-M,385.1431594,2394.802622,0.260767713,0.985692069,8.709078479
55,Sub016 ISO-M-L,89.41569889,555.9827429,0.060540417,0.228840479,2.021919174
