FID_1,MOs,MOsID,Subbasin,SED_BCR,Duck_BCR,Zone,coords_x1,coords_x2,SB574,HydroSB,Zone_1,watershed,Subbasin
0,AFMO,1,1,0.00,0.00,3,168248.02587500000,2361370.62346000000,1,1,3,LES,
1,AFMO,2,1,0.14,0.00,3,168591.52122600000,2360949.87594000000,1,1,3,LES,
2,AFMO,3,1,0.00,0.00,3,168068.06666200000,2360590.41563000000,1,1,3,LES,
99,BFMO,1079,1,0.79,0.00,3,168474.78589900000,2359212.36381000000,1,1,3,LES,
104,BFMO,675,1,2.52,0.00,3,168724.92770000000,2359768.94770000000,1,1,3,LES,
126,WCMO,5,1,0.69,0.00,3,168699.55823500000,2361493.29475000000,1,1,3,LES,
138,WCMO,17,1,0.32,0.00,3,168130.67764900000,2359201.12837000000,1,1,3,LES,
154,WCMO,35,1,1.44,0.00,3,168826.46752100000,2359017.23940000000,1,1,3,LES,
155,WCMO,36,1,0.20,0.00,3,167962.10510500000,2359750.98086000000,1,1,3,LES,
156,WCMO,37,1,1.17,0.00,3,168261.83172400000,2359713.81427000000,1,1,3,LES,
159,WCMO,40,1,0.30,0.00,3,168218.54567300000,2361227.83155000000,1,1,3,LES,
160,WCMO,41,1,0.86,0.00,3,167207.43333800000,2359102.52384000000,1,1,3,LES,
162,WCMO,43,1,1.70,0.00,3,168089.99528700000,2360755.55101000000,1,1,3,LES,
402,TLMO,1,1,0.00,0.00,3,168635.54892300000,2361697.51467000000,1,1,3,LES,
403,TLMO,2,1,0.00,0.00,3,167749.47560000000,2360631.54660000000,1,1,3,LES,
405,TLMO,4,1,0.00,0.00,3,167720.09080000000,2360482.16180000000,1,1,3,LES,
406,TLMO,5,1,3.83,0.00,3,168739.75461800000,2360916.71549000000,1,1,3,LES,
409,TLMO,8,1,3.88,0.00,3,168925.96806300000,2360257.19512000000,1,1,3,LES,
410,TLMO,9,1,0.00,0.00,3,168080.09080000000,2360062.16180000000,1,1,3,LES,
412,TLMO,11,1,0.00,0.00,3,168020.09721600000,2360029.97491000000,1,1,3,LES,
413,TLMO,12,1,3.87,0.00,3,168300.66315700000,2360134.61576000000,1,1,3,LES,
414,TLMO,13,1,3.84,0.00,3,169208.35197000000,2360268.69681000000,1,1,3,LES,
416,TLMO,16,1,0.00,0.00,3,167720.01010300000,2359312.73935000000,1,1,3,LES,
417,TLMO,17,1,0.00,0.00,3,167949.94538500000,2359286.89814000000,1,1,3,LES,
420,TLMO,20,1,0.00,0.00,3,167359.14957200000,2359193.03119000000,1,1,3,LES,
421,TLMO,22,1,0.00,0.00,3,167327.79157800000,2359154.02057000000,1,1,3,LES,
423,TLMO,25,1,0.00,0.00,3,167298.11082700000,2359103.53597000000,1,1,3,LES,
426,TLMO,28,1,0.00,0.00,3,167268.78457200000,2359059.69728000000,1,1,3,LES,
427,TLMO,29,1,3.83,0.00,3,168007.56026300000,2359706.79186000000,1,1,3,LES,
432,TLMO,34,1,3.84,0.00,3,168861.81985200000,2359016.49069000000,1,1,3,LES,
433,TLMO,35,1,3.83,0.00,3,169294.08567300000,2359597.50142000000,1,1,3,LES,
439,TLMO,42,1,3.83,0.00,3,167971.77679900000,2360663.62402000000,1,1,3,LES,
560,TLMO,299,1,3.83,0.00,3,168889.17383900000,2358700.40112000000,1,1,3,LES,
11,AFMO,12,1,0.03,0.00,3,169918.90858600000,2358994.58117000000,2,1,3,LES,
14,AFMO,16,1,0.15,0.00,3,169673.76387100000,2358743.14914000000,2,1,3,LES,
17,AFMO,21,1,0.00,0.00,3,169617.64422800000,2358181.01790000000,2,1,3,LES,
19,AFMO,25,1,0.00,0.00,3,168983.43502600000,2357812.33289000000,2,1,3,LES,
20,AFMO,28,1,0.00,0.00,3,169475.76523700000,2357607.30703000000,2,1,3,LES,
153,WCMO,34,1,3.48,0.00,3,170239.34943300000,2359017.98341000000,2,1,3,LES,
188,WCMO,88,1,1.58,0.00,3,169893.73530100000,2357693.24392000000,2,1,3,LES,
240,WCMO,196,1,0.40,0.00,3,169067.06008800000,2357534.90566000000,2,1,3,LES,
241,WCMO,197,1,1.03,0.00,3,169755.91388900000,2357618.42394000000,2,1,3,LES,
242,WCMO,198,1,1.36,0.00,3,168697.35713100000,2357351.97242000000,2,1,3,LES,
431,TLMO,33,1,1.25,0.00,3,170141.95832800000,2359142.83749000000,2,1,3,LES,
434,TLMO,36,1,1.25,0.00,3,169724.94326600000,2359087.81205000000,2,1,3,LES,
473,TLMO,114,1,0.00,0.00,3,169178.50777700000,2357711.31002000000,2,1,3,LES,
474,TLMO,118,1,1.31,0.00,3,169640.70606700000,2357661.54660000000,2,1,3,LES,
501,TLMO,160,1,1.25,0.00,3,170033.85513500000,2358076.69821000000,2,1,3,LES,
561,TLMO,300,1,1.25,0.00,3,169124.92628700000,2357927.19493000000,2,1,3,LES,
