ID,Label,Genome section,Cost,NitRed,SedRed,WithinSectionID,AlleleCombo
1,Nothing,nothing,9999999999,0,0,0,Nothing
2,Sub001 ISO-P-S,subISO,213284.5815,4175.9662,-1147.2,1,ISO-P-S
3,Sub001 ISO-P-M,subISO,633094.6862,5596.3085,-734.3,1,ISO-P-M
4,Sub001 ISO-P-L,subISO,1052747.028,7078.3647,-2346,1,ISO-P-L
5,Sub001 ISO-M-S,subISO,164997.6437,2865.2689,-1567.7,1,ISO-M-S
6,Sub001 ISO-M-M,subISO,488233.8726,3548.617,-1450.9,1,ISO-M-M
7,Sub001 ISO-M-L,subISO,811312.3383,4258.8058,-2933.5,1,ISO-M-L
8,Sub002 ISO-P-S,subISO,275166.9697,7298.6723,-3413.5,2,ISO-P-S
9,Sub002 ISO-P-M,subISO,816277.0207,7298.6723,-3413.5,2,ISO-P-M
10,Sub002 ISO-P-L,subISO,1357171.777,7298.6723,-3413.5,2,ISO-P-L
11,Sub002 ISO-M-S,subISO,209271.2049,5441.5064,-4720.9,2,ISO-M-S
12,Sub002 ISO-M-M,subISO,618589.7264,5670.2909,-4498,2,ISO-M-M
13,Sub002 ISO-M-L,subISO,1027692.953,5869.2367,-4321.3,2,ISO-M-L
14,Sub003 ISO-P-S,subISO,217707.5843,2631.3411,2406.4,3,ISO-P-S
15,Sub003 ISO-P-M,subISO,645798.659,2631.3411,2406.4,3,ISO-P-M
16,Sub003 ISO-P-L,subISO,1073718.782,2631.3411,2406.4,3,ISO-P-L
17,Sub003 ISO-M-S,subISO,165384.0139,2554.9307,2391.6,3,ISO-M-S
18,Sub003 ISO-M-M,subISO,488827.9478,2614.4655,2403,3,ISO-M-M
19,Sub003 ISO-M-L,subISO,812100.93,2631.3411,2406.4,3,ISO-M-L
20,Sub004 ISO-P-S,subISO,289777.6459,4401.4704,5217.1,4,ISO-P-S
21,Sub004 ISO-P-M,subISO,859985.0568,5661.3708,6298.6,4,ISO-P-M
22,Sub004 ISO-P-L,subISO,1429974.279,5685.3545,6330.9,4,ISO-P-L
23,Sub004 ISO-M-S,subISO,222996.0744,3568.4269,4816,4,ISO-M-S
24,Sub004 ISO-M-M,subISO,659640.3423,4350.0816,5637.3,4,ISO-M-M
25,Sub004 ISO-M-L,subISO,1096066.421,4724.4826,5836.2,4,ISO-M-L
26,Sub005 ISO-P-S,subISO,258234.5066,4569.1612,3188.5,5,ISO-P-S
27,Sub005 ISO-P-M,subISO,766025.9473,7103.6354,4187.5,5,ISO-P-M
28,Sub005 ISO-P-L,subISO,1273614.845,9661.64,5557.9,5,ISO-P-L
29,Sub005 ISO-M-S,subISO,196241.6414,3535.6728,2837.9,5,ISO-M-S
30,Sub005 ISO-M-M,subISO,580047.3519,5064.4489,3429.1,5,ISO-M-M
31,Sub005 ISO-M-L,subISO,963650.5191,6372.1045,4254.5,5,ISO-M-L
32,Sub006 ISO-P-S,subISO,220231.3345,5560.087,9659.5,6,ISO-P-S
33,Sub006 ISO-P-M,subISO,653315.1474,5560.087,9659.5,6,ISO-P-M
34,Sub006 ISO-P-L,subISO,1086226.731,5560.087,9659.5,6,ISO-P-L
35,Sub006 ISO-M-S,subISO,167516.5428,4952.1051,9036.6,6,ISO-M-S
36,Sub006 ISO-M-M,subISO,495170.7725,5164.9434,9207.3,6,ISO-M-M
37,Sub006 ISO-M-L,subISO,822652.7724,5297.7217,9328.7,6,ISO-M-L
38,Sub007 ISO-P-S,subISO,197569.8117,2084.2199,3882.7,7,ISO-P-S
39,Sub007 ISO-P-M,subISO,586062.8137,2084.2199,3882.7,7,ISO-P-M
40,Sub007 ISO-P-L,subISO,974400.677,2084.2199,3882.7,7,ISO-P-L
41,Sub007 ISO-M-S,subISO,150086.1285,2002.904,3776.5,7,ISO-M-S
42,Sub007 ISO-M-M,subISO,443611.7643,2028.4298,3813.9,7,ISO-M-M
43,Sub007 ISO-M-L,subISO,736982.2613,2048.3485,3835.2,7,ISO-M-L
44,Sub008 ISO-P-S,subISO,207944.0351,7570.3592,5678.2,8,ISO-P-S
45,Sub008 ISO-P-M,subISO,616836.4756,7570.3592,5678.2,8,ISO-P-M
46,Sub008 ISO-P-L,subISO,1025565.631,7570.3592,5678.2,8,ISO-P-L
47,Sub008 ISO-M-S,subISO,157967.024,7096.6038,5539.3,8,ISO-M-S
48,Sub008 ISO-M-M,subISO,466905.4422,7312.4874,5606.4,8,ISO-M-M
49,Sub008 ISO-M-L,subISO,775680.5755,7455.9484,5639.3,8,ISO-M-L
50,Sub009 ISO-P-S,subISO,195621.5998,3736.4792,1448.5,9,ISO-P-S
51,Sub009 ISO-P-M,subISO,580283.7196,4334.5145,1326.6,9,ISO-P-M
52,Sub009 ISO-P-L,subISO,964792.2304,4334.5145,1326.6,9,ISO-P-L
53,Sub009 ISO-M-S,subISO,148606.1475,3075.938,1170,9,ISO-M-S
54,Sub009 ISO-M-M,subISO,439237.3627,3487.4296,1030.2,9,ISO-M-M
55,Sub009 ISO-M-L,subISO,729714.9689,3755.4963,1126,9,ISO-M-L
56,Sub010 ISO-P-S,subISO,140561.6316,4369.3707,986.6,10,ISO-P-S
57,Sub010 ISO-P-M,subISO,416956.1364,5128.5851,781.8,10,ISO-P-M
58,Sub010 ISO-P-L,subISO,693240.2672,5128.5851,781.8,10,ISO-P-L
59,Sub010 ISO-M-S,subISO,106779.2237,3490.3953,491.3,10,ISO-M-S
60,Sub010 ISO-M-M,subISO,315608.9125,3943.3615,225.7,10,ISO-M-M
61,Sub010 ISO-M-L,subISO,524328.2274,4229.4246,360.5,10,ISO-M-L
62,Sub011 ISO-P-S,subISO,188525.0712,2276.0846,769.1,11,ISO-P-S
63,Sub011 ISO-P-M,subISO,559232.8744,3634.2345,539.8,11,ISO-P-M
64,Sub011 ISO-P-L,subISO,929792.6411,4750.1213,264.6,11,ISO-P-L
65,Sub011 ISO-M-S,subISO,143215.1897,1838.1947,620.4,11,ISO-M-S
66,Sub011 ISO-M-M,subISO,423303.2301,2752.8909,223.2,11,ISO-M-M
67,Sub011 ISO-M-L,subISO,703243.2339,3634.2857,-189.4,11,ISO-M-L
68,Sub012 ISO-P-S,subISO,173778.7123,1173.3744,1007.3,12,ISO-P-S
69,Sub012 ISO-P-M,subISO,515489.8932,1998.6989,1579.6,12,ISO-P-M
70,Sub012 ISO-P-L,subISO,857064.6168,2922.6412,2323.7,12,ISO-P-L
71,Sub012 ISO-M-S,subISO,132012.9525,988.4408,935.1,12,ISO-M-S
72,Sub012 ISO-M-M,subISO,390192.6135,1682.7681,1427.1,12,ISO-M-M
73,Sub012 ISO-M-L,subISO,648235.8175,2366.245,2045.8,12,ISO-M-L
74,Sub013 ISO-P-S,subISO,160170.473,-182230.99,-371468.6,13,ISO-P-S
75,Sub013 ISO-P-M,subISO,475122.982,4942.5225,3920.4,13,ISO-P-M
76,Sub013 ISO-P-L,subISO,789949.7196,4942.5225,3920.4,13,ISO-P-L
77,Sub013 ISO-M-S,subISO,121675.3005,3778.8568,3363,13,ISO-M-S
78,Sub013 ISO-M-M,subISO,359637.4644,4077.0432,3546.7,13,ISO-M-M
79,Sub013 ISO-M-L,subISO,597473.8569,4336.386,3677.2,13,ISO-M-L
80,Sub014 ISO-P-S,subISO,181627.3478,2079.2917,2363.3,14,ISO-P-S
81,Sub014 ISO-P-M,subISO,538771.7566,2783.0961,2956.9,14,ISO-P-M
82,Sub014 ISO-P-L,subISO,895773.5453,3618.7425,3732.1,14,ISO-P-L
83,Sub014 ISO-M-S,subISO,137975.2566,1825.8089,2279.9,14,ISO-M-S
84,Sub014 ISO-M-M,subISO,407815.4831,2430.4403,2796.8,14,ISO-M-M
85,Sub014 ISO-M-L,subISO,677513.0895,2992.7515,3440.5,14,ISO-M-L
86,Sub015 ISO-P-S,subISO,114529.75,178.6027,1292.4,15,ISO-P-S
87,Sub015 ISO-P-M,subISO,339736.2531,178.6027,1292.4,15,ISO-P-M
88,Sub015 ISO-P-L,subISO,564852.8235,178.6027,1292.4,15,ISO-P-L
89,Sub015 ISO-M-S,subISO,87003.8122,178.6027,1292.4,15,ISO-M-S
90,Sub015 ISO-M-M,subISO,257158.4396,178.6027,1292.4,15,ISO-M-M
91,Sub015 ISO-M-L,subISO,427223.1342,178.6027,1292.4,15,ISO-M-L
92,Sub016 ISO-P-S,subISO,147319.3546,1847.5962,2113.3,16,ISO-P-S
93,Sub016 ISO-P-M,subISO,437001.9626,2832.0464,2528.2,16,ISO-P-M
94,Sub016 ISO-P-L,subISO,726568.8903,3572.7554,2917.5,16,ISO-P-L
95,Sub016 ISO-M-S,subISO,111912.8039,1673.2865,2040.3,16,ISO-M-S
96,Sub016 ISO-M-M,subISO,330782.3105,2385.7594,2326,16,ISO-M-M
97,Sub016 ISO-M-L,subISO,549536.1368,3042.0169,2580.2,16,ISO-M-L
98,Sub017 ISO-P-S,subISO,266245.3204,10316.1469,8590.4,17,ISO-P-S
99,Sub017 ISO-P-M,subISO,789778.9662,10763.2481,8886.8,17,ISO-P-M
100,Sub017 ISO-P-L,subISO,1313103.547,10763.2481,8886.8,17,ISO-P-L
101,Sub017 ISO-M-S,subISO,202256.2508,6646.6577,6464.5,17,ISO-M-S
102,Sub017 ISO-M-M,subISO,597811.7574,7383.6161,6992.2,17,ISO-M-M
103,Sub017 ISO-M-L,subISO,993158.1988,8053.5352,7418.1,17,ISO-M-L
104,Sub018 ISO-P-S,subISO,170413.4518,1414.1351,1991.8,18,ISO-P-S
105,Sub018 ISO-P-M,subISO,505479.4844,1714.884,2575.1,18,ISO-P-M
106,Sub018 ISO-P-L,subISO,840411.0526,2195.2962,3085.4,18,ISO-P-L
107,Sub018 ISO-M-S,subISO,129257.5988,975.5503,1788.7,18,ISO-M-S
108,Sub018 ISO-M-M,subISO,382011.9256,1310.6116,2264.1,18,ISO-M-M
109,Sub018 ISO-M-L,subISO,634631.7879,1631.4894,2583,18,ISO-M-L
110,Sub019 ISO-P-S,subISO,246110.2562,4399.4717,4170.8,19,ISO-P-S
111,Sub019 ISO-P-M,subISO,729700.9503,5178.1625,4235.3,19,ISO-P-M
112,Sub019 ISO-P-L,subISO,1213090.216,6336.5615,4882,19,ISO-P-L
113,Sub019 ISO-M-S,subISO,184458.548,3093.6963,3370.5,19,ISO-M-S
114,Sub019 ISO-M-M,subISO,544745.8258,3896.2803,3328.7,19,ISO-M-M
115,Sub019 ISO-M-L,subISO,904831.6751,4479.8912,3707.6,19,ISO-M-L
116,Sub020 ISO-P-S,subISO,384415.052,708.3239,2139.6,20,ISO-P-S
117,Sub020 ISO-P-M,subISO,1139757.164,708.3239,2139.6,20,ISO-P-M
118,Sub020 ISO-P-L,subISO,1894784.454,707.1553,1873.7,20,ISO-P-L
119,Sub020 ISO-M-S,subISO,288056.3933,708.3239,2139.6,20,ISO-M-S
120,Sub020 ISO-M-M,subISO,850681.1884,708.3239,2139.6,20,ISO-M-M
