HRU Number,Genome Position,Sub-basin,HRU,Area
7,1028,1,7,2.642603682
8,1029,1,8,7.115973187
9,1030,1,9,5.568134611
10,1031,1,10,14.7122505
13,1032,2,3,10.37985053
14,1033,2,4,34.70326061
15,1034,2,5,15.36541807
18,1035,3,1,32.56488479
19,1036,3,2,5.490898779
20,1037,3,3,34.75937143
28,1038,4,8,1.327686005
29,1039,4,9,2.837645878
30,1040,4,10,5.060792328
31,1041,4,11,2.50220249
32,1042,4,12,3.983987274
33,1043,4,13,7.146743195
40,1044,5,7,21.76557876
41,1045,5,8,10.68758899
42,1046,5,9,7.256489971
43,1047,5,10,1.52471912
53,1048,6,10,0.67945488
54,1049,6,11,4.778431665
55,1050,6,12,11.9486428
56,1051,6,13,7.881331852
57,1052,6,14,1.216857258
64,1053,7,5,42.43726099
75,1054,8,9,1.585631991
76,1055,8,10,5.584529721
77,1056,8,11,7.009550001
78,1057,8,12,2.988525555
79,1058,8,13,3.848942457
80,1059,8,14,0.963670268
81,1060,8,15,4.722471228
90,1061,9,7,4.839209304
91,1062,9,8,2.67296768
92,1063,9,9,3.115195977
101,1064,10,9,6.625334591
102,1065,10,10,2.168184506
103,1066,10,11,0.999354219
104,1067,10,12,1.022726501
105,1068,10,13,6.753903291
106,1069,10,14,1.216561816
113,1070,11,7,4.073771294
114,1071,11,8,17.66539147
123,1072,12,9,0.603566066
124,1073,12,10,3.490199528
125,1074,12,11,4.023190445
126,1075,12,12,11.40536611
131,1076,13,5,20.25519665
132,1077,13,6,4.05640076
133,1078,13,7,6.810531191
134,1079,13,8,3.565238118
141,1080,14,7,2.187828473
142,1081,14,8,0.496063646
143,1082,14,9,3.887497609
144,1083,14,10,6.772976909
145,1084,14,11,1.205580047
146,1085,14,12,2.555430414
147,1086,14,13,2.496138995
169,1087,16,15,3.447795254
170,1088,16,16,4.810582316
171,1089,16,17,1.669460829
172,1090,16,18,6.340315462
173,1091,16,19,0.703170714
174,1092,16,20,2.474248541
181,1093,17,7,22.84073514
182,1094,17,8,2.828544593
183,1095,17,9,5.907777435
184,1096,17,10,14.87003146
185,1097,17,11,13.78826327
186,1098,17,12,3.135913979
197,1099,18,7,1.042421424
198,1100,18,8,6.638037448
199,1101,18,9,33.0008154
200,1102,19,1,3.042064181
201,1103,19,2,19.05964071
202,1104,19,3,3.570705508
203,1105,19,4,9.084667225
204,1106,19,5,26.61462331
205,1107,19,6,3.884779337
206,1108,19,7,20.54000973
210,1109,20,4,111.4932049
211,1110,21,1,72.297023
214,1111,22,3,33.17086881
217,1112,23,3,4.362876597
218,1113,23,4,16.7356926
219,1114,24,1,34.88333432
220,1115,24,2,17.24575291
221,1116,24,3,16.96426477
222,1117,25,1,10.65783122
223,1118,25,2,20.22431188
224,1119,25,3,2.05251963
225,1120,25,4,5.931182597
226,1121,25,5,7.456422621
227,1122,25,6,0.905524061
236,1123,26,9,39.66482701
237,1124,26,10,10.04468667
238,1125,26,11,29.71192114
239,1126,26,12,13.18964612
240,1127,26,13,80.92255555
247,1128,27,7,24.69639392
248,1129,27,8,5.760809289
257,1130,28,9,2.606392915
258,1131,28,10,14.80296872
259,1132,28,11,8.52180011
260,1133,28,12,36.64031563
268,1134,29,5,26.21870203
269,1135,29,6,4.686949783
270,1136,29,7,9.331909135
271,1137,29,8,1.818134182
276,1138,30,5,51.36046972
277,1139,30,6,7.787949516
282,1140,31,5,18.18423135
283,1141,31,6,4.42349301
284,1142,31,7,0.537808002
285,1143,31,8,3.870992499
288,1144,32,3,2.30382392
289,1145,32,4,1.986201706
290,1146,32,5,6.696838855
291,1147,32,6,1.240188981
292,1148,32,7,15.5694116
298,1149,33,6,28.65362436
299,1150,33,7,12.85927982
300,1151,33,8,9.677839072
301,1152,33,9,2.289718502
302,1153,33,10,14.26204133
307,1154,34,5,11.69438073
308,1155,34,6,12.89636771
309,1156,34,7,7.741246993
310,1157,34,8,31.25804508
317,1158,35,7,0.919303513
318,1159,35,8,1.212459334
319,1160,35,9,5.764913543
320,1161,35,10,1.021827441
321,1162,35,11,6.353774693
322,1163,35,12,4.201681402
327,1164,36,5,5.016656857
328,1165,36,6,3.265190148
329,1166,36,7,3.860707476
330,1167,36,8,20.9903101
331,1168,36,9,8.249894793
336,1169,37,5,2.118360902
337,1170,37,6,1.390975014
338,1171,37,7,20.29285505
339,1172,37,8,3.629140793
340,1173,38,1,56.21884126
341,1174,38,2,19.42163156
342,1175,38,3,3.463196178
358,1176,39,16,8.34323766
359,1177,39,17,3.681241838
360,1178,39,18,0.655832884
361,1179,39,19,0.96874741
362,1180,39,20,4.225629511
363,1181,39,21,8.812178841
368,1182,40,5,6.512830796
369,1183,40,6,2.28872965
370,1184,40,7,9.413982922
371,1185,40,8,35.02431248
374,1186,41,3,17.17993815
375,1187,41,4,7.304665964
376,1188,41,5,61.20787216
380,1189,42,1,10.74549541
381,1190,42,2,4.159727467
382,1191,42,3,11.99248603
383,1192,42,4,75.04351409
386,1193,43,3,7.453458742
387,1194,43,4,12.6101939
388,1195,43,5,15.23579991
389,1196,43,6,4.229137812
394,1197,44,5,16.04204932
395,1198,44,6,6.479179056
396,1199,44,7,9.529313
397,1200,44,8,1.150652477
412,1201,45,11,2.462067586
413,1202,45,12,0.43411838
414,1203,45,13,0.751460473
415,1204,45,14,4.391968436
416,1205,45,15,1.146353472
417,1206,45,16,0.505430667
422,1207,46,5,4.852027209
423,1208,46,6,5.07272318
424,1209,46,7,9.050065528
425,1210,46,8,8.114744706
426,1211,46,9,0.774453693
427,1212,46,10,6.182659982
431,1213,47,4,3.169132284
432,1214,47,5,3.072789082
433,1215,47,6,2.023178402
434,1216,47,7,8.065661042
435,1217,47,8,5.627539572
436,1218,47,9,0.834113551
437,1219,47,10,14.68534443
442,1220,48,5,6.480762209
443,1221,48,6,4.19173593
444,1222,48,7,3.653235349
445,1223,48,8,13.83561364
446,1224,48,9,9.266927301
452,1225,49,6,31.94908919
453,1226,49,7,3.963819972
454,1227,49,8,0.879298323
455,1228,49,9,5.223567561
456,1229,49,10,13.88860052
465,1230,50,9,24.70920984
466,1231,50,10,16.83535377
467,1232,50,11,2.468828135
468,1233,50,12,4.130429122
469,1234,50,13,13.15745099
470,1235,50,14,9.863939658
477,1236,51,7,15.00891373
478,1237,51,8,6.239250188
479,1238,51,9,25.18879229
480,1239,51,10,7.651758455
481,1240,51,11,34.39008399
492,1241,53,5,1.263232015
493,1242,53,6,5.312298584
494,1243,53,7,10.15043004
495,1244,53,8,2.989708264
496,1245,53,9,2.390855863
497,1246,53,10,1.04480459
500,1247,54,3,9.71062335
501,1248,54,4,17.0888973
502,1249,54,5,13.2456276
503,1250,54,6,9.191359263
506,1251,55,3,1.057419238
507,1252,55,4,7.96231377
508,1253,55,5,4.134240131
509,1254,55,6,5.57059508
510,1255,55,7,4.793832983
511,1256,55,8,0.623681867
512,1257,55,9,11.27065554
517,1258,56,5,26.51526268
518,1259,56,6,10.53003008
519,1260,56,7,29.20093839
520,1261,56,8,18.42909426
521,1262,57,1,1.639857033
522,1263,57,2,10.87255471
523,1264,57,3,26.51357992
524,1265,57,4,5.547324342
535,1266,58,11,35.50554095
536,1267,58,12,10.8782858
537,1268,58,13,1.302841692
538,1269,58,14,9.811445933
539,1270,58,15,12.42196096
540,1271,59,1,8.073839719
541,1272,59,2,12.37246773
542,1273,59,3,10.56493937
543,1274,59,4,5.811252196
544,1275,59,5,4.728297539
545,1276,59,6,12.44473345
552,1277,60,7,2.935195707
553,1278,60,8,9.715693803
554,1279,60,9,5.910488887
555,1280,60,10,4.833874161
556,1281,60,11,1.75483827
557,1282,60,12,3.051137276
560,1283,61,3,37.82456423
561,1284,61,4,10.72590432
562,1285,61,5,3.729451851
563,1286,61,6,8.814048901
570,1287,62,1,17.25324669
571,1288,62,2,4.140677336
572,1289,62,3,11.30641507
573,1290,62,4,3.535500541
574,1291,62,5,80.23661339
575,1292,62,6,10.22067497
576,1293,63,1,42.20424324
577,1294,63,2,25.054833
578,1295,63,3,29.77594533
579,1296,63,4,30.05117023
580,1297,63,5,3.553833195
581,1298,64,1,7.726043532
582,1299,64,2,4.093583366
583,1300,64,3,14.79933452
584,1301,64,4,29.31850564
585,1302,64,5,7.413770962
586,1303,64,6,22.67616951
604,1304,65,12,3.016684272
605,1305,65,13,13.03451039
606,1306,65,14,13.56787608
607,1307,65,15,16.28145763
608,1308,65,16,2.646114456
609,1309,65,17,12.01637053
610,1310,65,18,2.141545504
616,1311,66,1,43.650967
617,1312,66,2,7.831318516
618,1313,66,3,37.09282654
619,1314,66,4,5.639413953
623,1315,67,4,7.702861553
624,1316,67,5,19.37793353
625,1317,67,6,6.541617881
640,1318,68,10,6.736107512
641,1319,68,11,29.23207037
642,1320,68,12,7.551083407
643,1321,68,13,3.611595222
644,1322,68,14,12.33984274
645,1323,68,15,2.007393092
669,1324,69,16,7.980275334
670,1325,69,17,11.1561101
671,1326,69,18,5.272594939
672,1327,69,19,6.992913021
673,1328,69,20,15.40225809
674,1329,69,21,8.616722339
687,1330,70,13,1.042284935
688,1331,70,14,3.887193012
689,1332,70,15,14.34867345
690,1333,70,16,4.737129932
703,1334,71,13,5.708226527
