Practice,Genome Position,Subbasin,HRU,Level,Area,Select
BS,1028,1,7,HRU,2.642603682,1
GW,1028,1,7,HRU,2.642603682,0
CC,1028,1,7,HRU,2.642603682,0
FM,1028,1,7,HRU,2.642603682,1
BS+GW,1028,1,7,HRU,2.642603682,0
BS+CC,1028,1,7,HRU,2.642603682,1
BS+FM,1028,1,7,HRU,2.642603682,0
GW+CC,1028,1,7,HRU,2.642603682,0
GW+FM,1028,1,7,HRU,2.642603682,0
CC+FM,1028,1,7,HRU,2.642603682,0
BS+GW+CC,1028,1,7,HRU,2.642603682,0
BS+GW+FM,1028,1,7,HRU,2.642603682,1
BS+CC+FM,1028,1,7,HRU,2.642603682,1
GW+CC+FM,1028,1,7,HRU,2.642603682,0
BS+GW+CC+FM,1028,1,7,HRU,2.642603682,0
BS,1029,1,8,HRU,7.115973187,1
GW,1029,1,8,HRU,7.115973187,1
CC,1029,1,8,HRU,7.115973187,0
FM,1029,1,8,HRU,7.115973187,0
BS+GW,1029,1,8,HRU,7.115973187,0
BS+CC,1029,1,8,HRU,7.115973187,1
BS+FM,1029,1,8,HRU,7.115973187,0
GW+CC,1029,1,8,HRU,7.115973187,1
GW+FM,1029,1,8,HRU,7.115973187,0
CC+FM,1029,1,8,HRU,7.115973187,0
BS+GW+CC,1029,1,8,HRU,7.115973187,1
BS+GW+FM,1029,1,8,HRU,7.115973187,1
BS+CC+FM,1029,1,8,HRU,7.115973187,0
GW+CC+FM,1029,1,8,HRU,7.115973187,1
BS+GW+CC+FM,1029,1,8,HRU,7.115973187,0
BS,1030,1,9,HRU,5.568134611,1
GW,1030,1,9,HRU,5.568134611,0
CC,1030,1,9,HRU,5.568134611,1
FM,1030,1,9,HRU,5.568134611,0
BS+GW,1030,1,9,HRU,5.568134611,1
BS+CC,1030,1,9,HRU,5.568134611,1
BS+FM,1030,1,9,HRU,5.568134611,1
GW+CC,1030,1,9,HRU,5.568134611,1
GW+FM,1030,1,9,HRU,5.568134611,0
CC+FM,1030,1,9,HRU,5.568134611,1
BS+GW+CC,1030,1,9,HRU,5.568134611,0
BS+GW+FM,1030,1,9,HRU,5.568134611,0
BS+CC+FM,1030,1,9,HRU,5.568134611,0
GW+CC+FM,1030,1,9,HRU,5.568134611,1
BS+GW+CC+FM,1030,1,9,HRU,5.568134611,0
BS,1031,1,10,HRU,14.7122505,0
GW,1031,1,10,HRU,14.7122505,1
CC,1031,1,10,HRU,14.7122505,1
FM,1031,1,10,HRU,14.7122505,1
BS+GW,1031,1,10,HRU,14.7122505,0
BS+CC,1031,1,10,HRU,14.7122505,1
BS+FM,1031,1,10,HRU,14.7122505,1
GW+CC,1031,1,10,HRU,14.7122505,0
GW+FM,1031,1,10,HRU,14.7122505,1
CC+FM,1031,1,10,HRU,14.7122505,1
BS+GW+CC,1031,1,10,HRU,14.7122505,1
BS+GW+FM,1031,1,10,HRU,14.7122505,0
BS+CC+FM,1031,1,10,HRU,14.7122505,1
GW+CC+FM,1031,1,10,HRU,14.7122505,0
BS+GW+CC+FM,1031,1,10,HRU,14.7122505,0
BS,1032,2,13,HRU,10.37985053,1
GW,1032,2,13,HRU,10.37985053,0
CC,1032,2,13,HRU,10.37985053,0
FM,1032,2,13,HRU,10.37985053,1
BS+GW,1032,2,13,HRU,10.37985053,0
BS+CC,1032,2,13,HRU,10.37985053,1
BS+FM,1032,2,13,HRU,10.37985053,1
GW+CC,1032,2,13,HRU,10.37985053,0
GW+FM,1032,2,13,HRU,10.37985053,1
CC+FM,1032,2,13,HRU,10.37985053,0
BS+GW+CC,1032,2,13,HRU,10.37985053,1
BS+GW+FM,1032,2,13,HRU,10.37985053,1
BS+CC+FM,1032,2,13,HRU,10.37985053,1
GW+CC+FM,1032,2,13,HRU,10.37985053,0
BS+GW+CC+FM,1032,2,13,HRU,10.37985053,0
BS,1033,2,14,HRU,34.70326061,1
GW,1033,2,14,HRU,34.70326061,0
CC,1033,2,14,HRU,34.70326061,1
FM,1033,2,14,HRU,34.70326061,1
BS+GW,1033,2,14,HRU,34.70326061,1
BS+CC,1033,2,14,HRU,34.70326061,0
BS+FM,1033,2,14,HRU,34.70326061,1
GW+CC,1033,2,14,HRU,34.70326061,0
GW+FM,1033,2,14,HRU,34.70326061,0
CC+FM,1033,2,14,HRU,34.70326061,0
BS+GW+CC,1033,2,14,HRU,34.70326061,0
BS+GW+FM,1033,2,14,HRU,34.70326061,1
BS+CC+FM,1033,2,14,HRU,34.70326061,0
GW+CC+FM,1033,2,14,HRU,34.70326061,0
