ID,Label,Cost,NitRed,SedRed,Name
1,Nothing,0,0,0,
2,Sub001 ISO-P-S,213284.5815,4175.9662,-1147.2,ISO-P-S
3,Sub001 ISO-P-M,633094.6862,5596.3085,-734.3000001,ISO-P-M
4,Sub001 ISO-P-L,1052747.028,7078.3647,-2346,ISO-P-L
5,Sub001 ISO-M-S,164997.6437,2865.2689,-1567.7,ISO-M-S
6,Sub001 ISO-M-M,488233.8726,3548.617,-1450.9,ISO-M-M
7,Sub001 ISO-M-L,811312.3383,4258.8058,-2933.5,ISO-M-L
8,Sub002 ISO-P-S,275166.9697,7298.6723,-3413.5,ISO-P-S
9,Sub002 ISO-P-M,816277.0207,7298.6723,-3413.5,ISO-P-M
10,Sub002 ISO-P-L,1357171.777,7298.6723,-3413.5,ISO-P-L
11,Sub002 ISO-M-S,209271.2049,5441.5064,-4720.9,ISO-M-S
12,Sub002 ISO-M-M,618589.7264,5670.2909,-4498,ISO-M-M
13,Sub002 ISO-M-L,1027692.953,5869.2367,-4321.3,ISO-M-L
14,Sub003 ISO-P-S,217707.5843,2631.3411,2406.4,ISO-P-S
15,Sub003 ISO-P-M,645798.659,2631.3411,2406.4,ISO-P-M
16,Sub003 ISO-P-L,1073718.782,2631.3411,2406.4,ISO-P-L
17,Sub003 ISO-M-S,165384.0139,2554.9307,2391.6,ISO-M-S
18,Sub003 ISO-M-M,488827.9478,2614.4655,2403,ISO-M-M
19,Sub003 ISO-M-L,812100.93,2631.3411,2406.4,ISO-M-L
20,Sub004 ISO-P-S,289777.6459,4401.4704,5217.1,ISO-P-S
21,Sub004 ISO-P-M,859985.0568,5661.3708,6298.6,ISO-P-M
22,Sub004 ISO-P-L,1429974.279,5685.3545,6330.9,ISO-P-L
23,Sub004 ISO-M-S,222996.0744,3568.4269,4816,ISO-M-S
24,Sub004 ISO-M-M,659640.3423,4350.0816,5637.3,ISO-M-M
25,Sub004 ISO-M-L,1096066.421,4724.4826,5836.2,ISO-M-L
26,Sub005 ISO-P-S,258234.5066,4569.1612,3188.5,ISO-P-S
27,Sub005 ISO-P-M,766025.9473,7103.6354,4187.5,ISO-P-M
28,Sub005 ISO-P-L,1273614.845,9661.64,5557.9,ISO-P-L
29,Sub005 ISO-M-S,196241.6414,3535.6728,2837.9,ISO-M-S
30,Sub005 ISO-M-M,580047.3519,5064.4489,3429.1,ISO-M-M
31,Sub005 ISO-M-L,963650.5191,6372.1045,4254.5,ISO-M-L
32,Sub006 ISO-P-S,220231.3345,5560.087,9659.5,ISO-P-S
33,Sub006 ISO-P-M,653315.1474,5560.087,9659.5,ISO-P-M
34,Sub006 ISO-P-L,1086226.731,5560.087,9659.5,ISO-P-L
35,Sub006 ISO-M-S,167516.5428,4952.1051,9036.6,ISO-M-S
36,Sub006 ISO-M-M,495170.7725,5164.9434,9207.3,ISO-M-M
37,Sub006 ISO-M-L,822652.7724,5297.7217,9328.7,ISO-M-L
38,Sub007 ISO-P-S,197569.8117,2084.2199,3882.7,ISO-P-S
39,Sub007 ISO-P-M,586062.8137,2084.2199,3882.7,ISO-P-M
40,Sub007 ISO-P-L,974400.677,2084.2199,3882.7,ISO-P-L
41,Sub007 ISO-M-S,150086.1285,2002.904,3776.5,ISO-M-S
42,Sub007 ISO-M-M,443611.7643,2028.4298,3813.9,ISO-M-M
43,Sub007 ISO-M-L,736982.2613,2048.3485,3835.2,ISO-M-L
44,Sub008 ISO-P-S,207944.0351,7570.3592,5678.2,ISO-P-S
45,Sub008 ISO-P-M,616836.4756,7570.3592,5678.2,ISO-P-M
46,Sub008 ISO-P-L,1025565.631,7570.3592,5678.2,ISO-P-L
47,Sub008 ISO-M-S,157967.024,7096.6038,5539.3,ISO-M-S
48,Sub008 ISO-M-M,466905.4422,7312.4874,5606.4,ISO-M-M
49,Sub008 ISO-M-L,775680.5755,7455.9484,5639.3,ISO-M-L
50,Sub009 ISO-P-S,195621.5998,3736.4792,1448.5,ISO-P-S
51,Sub009 ISO-P-M,580283.7196,4334.5145,1326.6,ISO-P-M
52,Sub009 ISO-P-L,964792.2304,4334.5145,1326.6,ISO-P-L
53,Sub009 ISO-M-S,148606.1475,3075.938,1170,ISO-M-S
54,Sub009 ISO-M-M,439237.3627,3487.4296,1030.2,ISO-M-M
55,Sub009 ISO-M-L,729714.9689,3755.4963,1126,ISO-M-L
56,Sub010 ISO-P-S,140561.6316,4369.3707,986.6,ISO-P-S
57,Sub010 ISO-P-M,416956.1364,5128.5851,781.8,ISO-P-M
58,Sub010 ISO-P-L,693240.2672,5128.5851,781.8,ISO-P-L
59,Sub010 ISO-M-S,106779.2237,3490.3953,491.3,ISO-M-S
60,Sub010 ISO-M-M,315608.9125,3943.3615,225.7,ISO-M-M
61,Sub010 ISO-M-L,524328.2274,4229.4246,360.5000001,ISO-M-L
62,Sub011 ISO-P-S,188525.0712,2276.0846,769.1,ISO-P-S
63,Sub011 ISO-P-M,559232.8744,3634.2345,539.8000001,ISO-P-M
64,Sub011 ISO-P-L,929792.6411,4750.1213,264.6,ISO-P-L
65,Sub011 ISO-M-S,143215.1897,1838.1947,620.4,ISO-M-S
66,Sub011 ISO-M-M,423303.2301,2752.8909,223.2,ISO-M-M
67,Sub011 ISO-M-L,703243.2339,3634.2857,-189.4,ISO-M-L
68,Sub012 ISO-P-S,173778.7123,1173.3744,1007.3,ISO-P-S
69,Sub012 ISO-P-M,515489.8932,1998.6989,1579.6,ISO-P-M
70,Sub012 ISO-P-L,857064.6168,2922.6412,2323.7,ISO-P-L
71,Sub012 ISO-M-S,132012.9525,988.4408,935.1,ISO-M-S
72,Sub012 ISO-M-M,390192.6135,1682.7681,1427.1,ISO-M-M
73,Sub012 ISO-M-L,648235.8175,2366.245,2045.8,ISO-M-L
74,Sub013 ISO-P-S,160170.473,-182230.99,-371468.6,ISO-P-S
75,Sub013 ISO-P-M,475122.982,4942.5225,3920.4,ISO-P-M
76,Sub013 ISO-P-L,789949.7196,4942.5225,3920.4,ISO-P-L
77,Sub013 ISO-M-S,121675.3005,3778.8568,3363,ISO-M-S
78,Sub013 ISO-M-M,359637.4644,4077.0432,3546.7,ISO-M-M
79,Sub013 ISO-M-L,597473.8569,4336.386,3677.2,ISO-M-L
80,Sub014 ISO-P-S,181627.3478,2079.2917,2363.3,ISO-P-S
81,Sub014 ISO-P-M,538771.7566,2783.0961,2956.9,ISO-P-M
82,Sub014 ISO-P-L,895773.5453,3618.7425,3732.1,ISO-P-L
83,Sub014 ISO-M-S,137975.2566,1825.8089,2279.9,ISO-M-S
84,Sub014 ISO-M-M,407815.4831,2430.4403,2796.8,ISO-M-M
85,Sub014 ISO-M-L,677513.0895,2992.7515,3440.5,ISO-M-L
