,Genome Position
0,1028
0,1028
0,1028
0,1028
0,1028
0,1028
0,1028
0,1028
0,1028
0,1028
0,1028
0,1028
0,1028
0,1028
0,1028
1,1029
1,1029
1,1029
1,1029
1,1029
1,1029
1,1029
1,1029
1,1029
1,1029
1,1029
1,1029
1,1029
1,1029
1,1029
2,1030
2,1030
2,1030
2,1030
2,1030
2,1030
2,1030
2,1030
2,1030
2,1030
2,1030
2,1030
2,1030
2,1030
2,1030
3,1031
3,1031
3,1031
3,1031
3,1031
3,1031
3,1031
3,1031
3,1031
3,1031
3,1031
3,1031
3,1031
3,1031
3,1031
4,1032
4,1032
4,1032
4,1032
4,1032
4,1032
4,1032
4,1032
4,1032
4,1032
4,1032
4,1032
4,1032
4,1032
4,1032
5,1033
5,1033
5,1033
5,1033
5,1033
5,1033
5,1033
5,1033
5,1033
5,1033
5,1033
5,1033
5,1033
5,1033
5,1033
6,1034
6,1034
6,1034
6,1034
6,1034
6,1034
6,1034
6,1034
6,1034
6,1034
6,1034
6,1034
6,1034
6,1034
6,1034
7,1035
7,1035
7,1035
7,1035
7,1035
7,1035
7,1035
7,1035
7,1035
7,1035
7,1035
7,1035
7,1035
7,1035
7,1035
8,1036
8,1036
8,1036
8,1036
8,1036
8,1036
8,1036
8,1036
8,1036
8,1036
8,1036
8,1036
8,1036
8,1036
8,1036
9,1037
9,1037
9,1037
9,1037
9,1037
9,1037
9,1037
9,1037
9,1037
9,1037
9,1037
9,1037
9,1037
9,1037
9,1037
10,1038
10,1038
10,1038
10,1038
10,1038
10,1038
10,1038
10,1038
10,1038
10,1038
10,1038
10,1038
10,1038
10,1038
10,1038
11,1039
11,1039
11,1039
11,1039
11,1039
11,1039
11,1039
11,1039
11,1039
11,1039
11,1039
11,1039
11,1039
11,1039
11,1039
12,1040
12,1040
12,1040
12,1040
12,1040
12,1040
12,1040
12,1040
12,1040
12,1040
12,1040
12,1040
12,1040
12,1040
12,1040
13,1041
13,1041
13,1041
13,1041
13,1041
13,1041
13,1041
13,1041
13,1041
13,1041
13,1041
13,1041
13,1041
13,1041
13,1041
14,1042
14,1042
14,1042
14,1042
14,1042
14,1042
14,1042
14,1042
14,1042
14,1042
14,1042
14,1042
14,1042
14,1042
14,1042
15,1043
15,1043
15,1043
15,1043
15,1043
15,1043
15,1043
15,1043
15,1043
15,1043
15,1043
15,1043
15,1043
15,1043
15,1043
16,1044
16,1044
16,1044
16,1044
16,1044
16,1044
16,1044
16,1044
16,1044
16,1044
16,1044
16,1044
16,1044
16,1044
16,1044
17,1045
17,1045
17,1045
17,1045
17,1045
17,1045
17,1045
17,1045
17,1045
17,1045
17,1045
17,1045
17,1045
17,1045
17,1045
18,1046
18,1046
18,1046
18,1046
18,1046
18,1046
18,1046
18,1046
18,1046
18,1046
18,1046
18,1046
18,1046
18,1046
18,1046
19,1047
19,1047
19,1047
19,1047
19,1047
19,1047
19,1047
19,1047
19,1047
19,1047
19,1047
19,1047
19,1047
19,1047
19,1047
20,1048
20,1048
20,1048
20,1048
20,1048
20,1048
20,1048
20,1048
20,1048
20,1048
20,1048
20,1048
20,1048
20,1048
20,1048
21,1049
21,1049
21,1049
21,1049
21,1049
21,1049
21,1049
21,1049
21,1049
21,1049
21,1049
21,1049
21,1049
21,1049
21,1049
22,1050
22,1050
22,1050
22,1050
22,1050
22,1050
22,1050
22,1050
22,1050
22,1050
22,1050
22,1050
22,1050
22,1050
22,1050
23,1051
23,1051
23,1051
23,1051
23,1051
23,1051
23,1051
23,1051
23,1051
23,1051
23,1051
23,1051
23,1051
23,1051
23,1051
24,1052
24,1052
24,1052
24,1052
24,1052
24,1052
24,1052
24,1052
24,1052
24,1052
24,1052
24,1052
24,1052
24,1052
24,1052
25,1053
25,1053
25,1053
25,1053
25,1053
25,1053
25,1053
25,1053
25,1053
25,1053
25,1053
25,1053
25,1053
25,1053
25,1053
26,1054
26,1054
26,1054
26,1054
26,1054
26,1054
26,1054
26,1054
26,1054
26,1054
26,1054
26,1054
26,1054
26,1054
26,1054
