LABEL,Genome Position
BS001,1028
GW001,1028
CC001,1028
FM001,1028
BS+GW001,1028
BS+CC001,1028
BS+FM001,1028
GW+CC001,1028
GW+FM001,1028
CC+FM001,1028
BS+GW+CC001,1028
BS+GW+FM001,1028
BS+CC+FM001,1028
GW+CC+FM001,1028
BS+GW+CC+FM001,1028
BS002,1029
GW002,1029
CC002,1029
FM002,1029
BS+GW002,1029
BS+CC002,1029
BS+FM002,1029
GW+CC002,1029
GW+FM002,1029
CC+FM002,1029
BS+GW+CC002,1029
BS+GW+FM002,1029
BS+CC+FM002,1029
GW+CC+FM002,1029
BS+GW+CC+FM002,1029
BS003,1030
GW003,1030
CC003,1030
FM003,1030
BS+GW003,1030
BS+CC003,1030
BS+FM003,1030
GW+CC003,1030
GW+FM003,1030
CC+FM003,1030
BS+GW+CC003,1030
BS+GW+FM003,1030
BS+CC+FM003,1030
GW+CC+FM003,1030
BS+GW+CC+FM003,1030
BS004,1031
GW004,1031
CC004,1031
FM004,1031
BS+GW004,1031
BS+CC004,1031
BS+FM004,1031
GW+CC004,1031
GW+FM004,1031
CC+FM004,1031
BS+GW+CC004,1031
BS+GW+FM004,1031
BS+CC+FM004,1031
GW+CC+FM004,1031
BS+GW+CC+FM004,1031
BS005,1032
GW005,1032
CC005,1032
FM005,1032
BS+GW005,1032
BS+CC005,1032
BS+FM005,1032
GW+CC005,1032
GW+FM005,1032
CC+FM005,1032
BS+GW+CC005,1032
BS+GW+FM005,1032
BS+CC+FM005,1032
GW+CC+FM005,1032
BS+GW+CC+FM005,1032
BS006,1033
GW006,1033
CC006,1033
FM006,1033
BS+GW006,1033
BS+CC006,1033
BS+FM006,1033
GW+CC006,1033
GW+FM006,1033
CC+FM006,1033
BS+GW+CC006,1033
BS+GW+FM006,1033
BS+CC+FM006,1033
GW+CC+FM006,1033
BS+GW+CC+FM006,1033
BS007,1034
GW007,1034
CC007,1034
FM007,1034
BS+GW007,1034
BS+CC007,1034
BS+FM007,1034
GW+CC007,1034
GW+FM007,1034
CC+FM007,1034
BS+GW+CC007,1034
BS+GW+FM007,1034
BS+CC+FM007,1034
GW+CC+FM007,1034
BS+GW+CC+FM007,1034
BS008,1035
GW008,1035
CC008,1035
FM008,1035
BS+GW008,1035
BS+CC008,1035
BS+FM008,1035
GW+CC008,1035
GW+FM008,1035
CC+FM008,1035
BS+GW+CC008,1035
BS+GW+FM008,1035
BS+CC+FM008,1035
GW+CC+FM008,1035
BS+GW+CC+FM008,1035
BS009,1036
GW009,1036
CC009,1036
FM009,1036
BS+GW009,1036
BS+CC009,1036
BS+FM009,1036
GW+CC009,1036
GW+FM009,1036
CC+FM009,1036
BS+GW+CC009,1036
BS+GW+FM009,1036
BS+CC+FM009,1036
GW+CC+FM009,1036
BS+GW+CC+FM009,1036
BS010,1037
GW010,1037
CC010,1037
FM010,1037
BS+GW010,1037
BS+CC010,1037
BS+FM010,1037
GW+CC010,1037
GW+FM010,1037
CC+FM010,1037
BS+GW+CC010,1037
BS+GW+FM010,1037
BS+CC+FM010,1037
GW+CC+FM010,1037
BS+GW+CC+FM010,1037
BS011,1038
GW011,1038
CC011,1038
FM011,1038
BS+GW011,1038
BS+CC011,1038
BS+FM011,1038
GW+CC011,1038
GW+FM011,1038
CC+FM011,1038
BS+GW+CC011,1038
BS+GW+FM011,1038
BS+CC+FM011,1038
GW+CC+FM011,1038
BS+GW+CC+FM011,1038
BS012,1039
GW012,1039
CC012,1039
FM012,1039
BS+GW012,1039
BS+CC012,1039
BS+FM012,1039
GW+CC012,1039
GW+FM012,1039
CC+FM012,1039
BS+GW+CC012,1039
BS+GW+FM012,1039
BS+CC+FM012,1039
GW+CC+FM012,1039
BS+GW+CC+FM012,1039
BS013,1040
GW013,1040
CC013,1040
FM013,1040
BS+GW013,1040
BS+CC013,1040
BS+FM013,1040
GW+CC013,1040
GW+FM013,1040
CC+FM013,1040
BS+GW+CC013,1040
BS+GW+FM013,1040
BS+CC+FM013,1040
GW+CC+FM013,1040
BS+GW+CC+FM013,1040
BS014,1041
GW014,1041
CC014,1041
FM014,1041
BS+GW014,1041
BS+CC014,1041
BS+FM014,1041
GW+CC014,1041
GW+FM014,1041
CC+FM014,1041
BS+GW+CC014,1041
BS+GW+FM014,1041
BS+CC+FM014,1041
GW+CC+FM014,1041
BS+GW+CC+FM014,1041
BS015,1042
GW015,1042
CC015,1042
FM015,1042
BS+GW015,1042
BS+CC015,1042
BS+FM015,1042
GW+CC015,1042
GW+FM015,1042
CC+FM015,1042
BS+GW+CC015,1042
BS+GW+FM015,1042
BS+CC+FM015,1042
GW+CC+FM015,1042
BS+GW+CC+FM015,1042
BS016,1043
GW016,1043
CC016,1043
FM016,1043
BS+GW016,1043
BS+CC016,1043
BS+FM016,1043
GW+CC016,1043
GW+FM016,1043
CC+FM016,1043
BS+GW+CC016,1043
BS+GW+FM016,1043
BS+CC+FM016,1043
GW+CC+FM016,1043
BS+GW+CC+FM016,1043
BS017,1044
GW017,1044
CC017,1044
FM017,1044
BS+GW017,1044
BS+CC017,1044
BS+FM017,1044
GW+CC017,1044
GW+FM017,1044
CC+FM017,1044
BS+GW+CC017,1044
BS+GW+FM017,1044
BS+CC+FM017,1044
GW+CC+FM017,1044
BS+GW+CC+FM017,1044
BS018,1045
GW018,1045
CC018,1045
FM018,1045
BS+GW018,1045
BS+CC018,1045
BS+FM018,1045
GW+CC018,1045
GW+FM018,1045
CC+FM018,1045
BS+GW+CC018,1045
BS+GW+FM018,1045
BS+CC+FM018,1045
GW+CC+FM018,1045
BS+GW+CC+FM018,1045
BS019,1046
GW019,1046
CC019,1046
FM019,1046
BS+GW019,1046
BS+CC019,1046
BS+FM019,1046
GW+CC019,1046
GW+FM019,1046
CC+FM019,1046
BS+GW+CC019,1046
BS+GW+FM019,1046
BS+CC+FM019,1046
GW+CC+FM019,1046
BS+GW+CC+FM019,1046
BS020,1047
GW020,1047
CC020,1047
FM020,1047
BS+GW020,1047
BS+CC020,1047
BS+FM020,1047
GW+CC020,1047
GW+FM020,1047
CC+FM020,1047
BS+GW+CC020,1047
BS+GW+FM020,1047
BS+CC+FM020,1047
GW+CC+FM020,1047
BS+GW+CC+FM020,1047
BS021,1048
GW021,1048
CC021,1048
FM021,1048
BS+GW021,1048
BS+CC021,1048
BS+FM021,1048
GW+CC021,1048
GW+FM021,1048
CC+FM021,1048
BS+GW+CC021,1048
BS+GW+FM021,1048
BS+CC+FM021,1048
GW+CC+FM021,1048
BS+GW+CC+FM021,1048
BS022,1049
GW022,1049
CC022,1049
FM022,1049
BS+GW022,1049
BS+CC022,1049
BS+FM022,1049
GW+CC022,1049
GW+FM022,1049
CC+FM022,1049
BS+GW+CC022,1049
BS+GW+FM022,1049
BS+CC+FM022,1049
GW+CC+FM022,1049
BS+GW+CC+FM022,1049
BS023,1050
GW023,1050
CC023,1050
FM023,1050
BS+GW023,1050
BS+CC023,1050
BS+FM023,1050
GW+CC023,1050
GW+FM023,1050
CC+FM023,1050
BS+GW+CC023,1050
BS+GW+FM023,1050
BS+CC+FM023,1050
GW+CC+FM023,1050
BS+GW+CC+FM023,1050
BS024,1051
GW024,1051
CC024,1051
FM024,1051
BS+GW024,1051
BS+CC024,1051
BS+FM024,1051
GW+CC024,1051
GW+FM024,1051
CC+FM024,1051
BS+GW+CC024,1051
BS+GW+FM024,1051
BS+CC+FM024,1051
GW+CC+FM024,1051
BS+GW+CC+FM024,1051
BS025,1052
GW025,1052
CC025,1052
FM025,1052
BS+GW025,1052
BS+CC025,1052
BS+FM025,1052
GW+CC025,1052
GW+FM025,1052
CC+FM025,1052
BS+GW+CC025,1052
BS+GW+FM025,1052
BS+CC+FM025,1052
GW+CC+FM025,1052
BS+GW+CC+FM025,1052
BS026,1053
GW026,1053
CC026,1053
FM026,1053
BS+GW026,1053
BS+CC026,1053
BS+FM026,1053
GW+CC026,1053
GW+FM026,1053
CC+FM026,1053
BS+GW+CC026,1053
BS+GW+FM026,1053
BS+CC+FM026,1053
GW+CC+FM026,1053
BS+GW+CC+FM026,1053
BS027,1054
GW027,1054
CC027,1054
FM027,1054
BS+GW027,1054
BS+CC027,1054
BS+FM027,1054
GW+CC027,1054
GW+FM027,1054
CC+FM027,1054
BS+GW+CC027,1054
BS+GW+FM027,1054
BS+CC+FM027,1054
GW+CC+FM027,1054
BS+GW+CC+FM027,1054
BS028,1055
GW028,1055
CC028,1055
FM028,1055
BS+GW028,1055
BS+CC028,1055
BS+FM028,1055
GW+CC028,1055
GW+FM028,1055
CC+FM028,1055
BS+GW+CC028,1055
BS+GW+FM028,1055
BS+CC+FM028,1055
GW+CC+FM028,1055
BS+GW+CC+FM028,1055
BS029,1056
GW029,1056
CC029,1056
FM029,1056
BS+GW029,1056
BS+CC029,1056
BS+FM029,1056
GW+CC029,1056
GW+FM029,1056
CC+FM029,1056
BS+GW+CC029,1056
BS+GW+FM029,1056
BS+CC+FM029,1056
GW+CC+FM029,1056
BS+GW+CC+FM029,1056
BS030,1057
GW030,1057
CC030,1057
FM030,1057
BS+GW030,1057
BS+CC030,1057
BS+FM030,1057
GW+CC030,1057
GW+FM030,1057
CC+FM030,1057
BS+GW+CC030,1057
BS+GW+FM030,1057
BS+CC+FM030,1057
GW+CC+FM030,1057
BS+GW+CC+FM030,1057
BS031,1058
GW031,1058
CC031,1058
FM031,1058
BS+GW031,1058
BS+CC031,1058
BS+FM031,1058
GW+CC031,1058
GW+FM031,1058
CC+FM031,1058
BS+GW+CC031,1058
BS+GW+FM031,1058
BS+CC+FM031,1058
GW+CC+FM031,1058
BS+GW+CC+FM031,1058
BS032,1059
GW032,1059
CC032,1059
FM032,1059
BS+GW032,1059
BS+CC032,1059
BS+FM032,1059
GW+CC032,1059
GW+FM032,1059
CC+FM032,1059
BS+GW+CC032,1059
BS+GW+FM032,1059
BS+CC+FM032,1059
GW+CC+FM032,1059
BS+GW+CC+FM032,1059
BS033,1060
GW033,1060
CC033,1060
FM033,1060
BS+GW033,1060
BS+CC033,1060
BS+FM033,1060
GW+CC033,1060
