HRU Number,Genome Position,Sub-basin,HRU,Area_x,OBJECTID,HRU_ID,HRU_GIS,Area_y
7,1028,1,7,2.642603682,823,7,10007,1.9510570831799998
8,1029,1,8,7.115973187000001,818,8,10008,5.2537846916
9,1030,1,9,5.5681346110000005,819,9,10009,4.01122405474
10,1031,1,10,14.7122505,808,10,10010,10.439375703
13,1032,2,3,10.37985053,725,13,20003,8.174627690660001
14,1033,2,4,34.70326061,705,14,20004,27.7024263996
15,1034,2,5,15.36541807,740,15,20005,12.518206208099999
18,1035,3,1,32.56488479,745,18,30001,20.8629591852
19,1036,3,2,5.490898779,761,19,30002,3.78080119834
20,1037,3,3,34.75937143,750,20,30003,23.9338282808
28,1038,4,8,1.327686005,1050,28,40008,1.0142912651
29,1039,4,9,2.837645878,1051,29,40009,2.1678412035299996
30,1040,4,10,5.060792328,931,30,40010,3.8662227557
31,1041,4,11,2.50220249,932,31,40011,1.91157653146
32,1042,4,12,3.983987274,900,32,40012,2.9115112322900005
33,1043,4,13,7.146743195,899,33,40013,5.0965803129400005
40,1044,5,7,21.76557876,1188,40,50007,16.0879659118
41,1045,5,8,10.68758899,1218,41,50008,7.89969948505
42,1046,5,9,7.256489971000001,1176,42,50009,5.36361240821
43,1047,5,10,1.52471912,1179,43,50010,1.1269902945499999
53,1048,6,10,0.67945488,1149,53,60010,0.56995560119
54,1049,6,11,4.778431665,1129,54,60011,4.0083527418900005
55,1050,6,12,11.948642800000002,906,55,60012,9.89669757387
56,1051,6,13,7.881331852000001,1087,56,60013,6.61119784256
57,1052,6,14,1.2168572579999999,1103,57,60014,1.0207517190100002
64,1053,7,5,42.43726099,863,64,70005,31.3963703841
75,1054,8,9,1.5856319909999999,1846,75,80009,1.3889975923299998
76,1055,8,10,5.584529721,1793,76,80010,4.89199927221
77,1056,8,11,7.009550001,1763,77,80011,6.14030253477
78,1057,8,12,2.988525555,1779,78,80012,2.61791949314
79,1058,8,13,3.8489424569999997,1730,79,80013,3.3716391168799995
80,1059,8,14,0.963670268,1724,80,80014,0.84416597859
81,1060,8,15,4.722471228,1729,81,80015,3.8554553325
90,1061,9,7,4.839209304,2166,90,90007,3.0163141514
91,1062,9,8,2.67296768,2174,91,90008,1.66607928258
92,1063,9,9,3.115195977,2154,92,90009,1.8555859308400002
101,1064,10,9,6.6253345910000006,2388,101,100009,4.882667505430001
102,1065,10,10,2.168184506,2396,102,100010,1.5978856023399999
103,1066,10,11,0.9993542190000001,2218,103,100011,0.73649174663
104,1067,10,12,1.022726501,2199,104,100012,0.75371962374
105,1068,10,13,6.753903291,2317,105,100013,4.97742082956
106,1069,10,14,1.216561816,2325,106,100014,0.89656743815
113,1070,11,7,4.073771294,2555,113,110007,2.83183230064
114,1071,11,8,17.66539147,2546,114,110008,12.2798872413
123,1072,12,9,0.6035660660000001,2842,123,120009,0.47879141813000003
124,1073,12,10,3.490199528,2819,124,120010,2.7686634178900005
125,1074,12,11,4.023190445,2919,125,120011,3.1914642354000002
126,1075,12,12,11.40536611,2878,126,120012,9.04750679778
131,1076,13,5,20.25519665,1938,131,130005,16.8144080634
132,1077,13,6,4.05640076,1939,132,130006,3.3673321476
133,1078,13,7,6.810531191,1927,133,130007,5.653615006290001
134,1079,13,8,3.565238118,1926,134,130008,2.95960572257
141,1080,14,7,2.187828473,1537,141,140007,1.58927166378
142,1081,14,8,0.496063646,1540,142,140008,0.36034976297
143,1082,14,9,3.887497609,1502,143,140009,2.8239361902900004
144,1083,14,10,6.772976909,1482,144,140010,4.919994572519999
145,1084,14,11,1.205580047,1469,145,140011,0.8757504199700001
146,1085,14,12,2.555430414,1456,146,140012,1.85630375905
147,1086,14,13,2.496138995,1454,147,140013,1.64239095155
169,1087,16,15,3.447795254,1592,169,160015,2.7277472097400004
170,1088,16,16,4.8105823160000005,1588,170,160016,3.8059251858
171,1089,16,17,1.6694608290000001,1548,171,160017,1.32080391208
172,1090,16,18,6.340315462,1546,172,160018,5.016183553069999
173,1091,16,19,0.7031707140000001,1542,173,160019,0.55631686514
174,1092,16,20,2.474248541,1541,174,160020,1.9575175371
181,1093,17,7,22.84073514,1228,181,170007,20.5370651765
182,1094,17,8,2.828544593,1242,182,170008,2.54326535898
