BS,GW,CC,FM,BS+GW,BS+CC,BS+FM,GW+CC,GW+FM,CC+FM,BS+GW+CC,BS+GW+FM,BS+CC+FM,GW+CC+FM,BS+GW+CC+FM,HRU
1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,7
1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,8
1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,9
0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,10
1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,13
1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,14
1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,15
1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,18
0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,19
1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,20
1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,28
0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,29
0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,30
0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,31
1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,32
1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,33
0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,40
0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,41
1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,42
1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,43
1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,53
1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,54
1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,55
0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,56
1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,57
0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,64
1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,75
1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,76
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,77
1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,78
1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,79
1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,80
1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,81
1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,90
0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,91
1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,92
0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,101
1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,102
0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,103
0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,104
1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,105
0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,106
0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,113
0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,114
0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,123
1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,124
1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,125
1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,126
1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,131
1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,132
0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,133
0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,134
1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,141
1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,142
1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,143
