LABEL,Genome Position,HRU Number,Sub-basin,HRU,Area_x,OBJECTID,HRU_ID,HRU_GIS,Area_y
BS001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
GW001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
CC001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
FM001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
BS+GW001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
BS+CC001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
BS+FM001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
GW+CC001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
GW+FM001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
CC+FM001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
BS+GW+CC001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
BS+GW+FM001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
BS+CC+FM001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
GW+CC+FM001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
BS+GW+CC+FM001,1028,7,1,7,2.642603682,823,7,10007,1.951057083
BS002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
GW002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
CC002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
FM002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
BS+GW002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
BS+CC002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
BS+FM002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
GW+CC002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
GW+FM002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
CC+FM002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
BS+GW+CC002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
BS+GW+FM002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
BS+CC+FM002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
GW+CC+FM002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
BS+GW+CC+FM002,1029,8,1,8,7.115973187,818,8,10008,5.253784692
BS003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
GW003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
CC003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
FM003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
BS+GW003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
BS+CC003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
BS+FM003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
GW+CC003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
GW+FM003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
CC+FM003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
BS+GW+CC003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
BS+GW+FM003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
BS+CC+FM003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
GW+CC+FM003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
BS+GW+CC+FM003,1030,9,1,9,5.568134611,819,9,10009,4.011224055
BS004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
GW004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
CC004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
FM004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
BS+GW004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
BS+CC004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
BS+FM004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
GW+CC004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
GW+FM004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
CC+FM004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
BS+GW+CC004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
BS+GW+FM004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
BS+CC+FM004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
GW+CC+FM004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
BS+GW+CC+FM004,1031,10,1,10,14.7122505,808,10,10010,10.4393757
BS005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
GW005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
CC005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
FM005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
BS+GW005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
BS+CC005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
BS+FM005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
GW+CC005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
GW+FM005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
CC+FM005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
BS+GW+CC005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
BS+GW+FM005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
BS+CC+FM005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
GW+CC+FM005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
BS+GW+CC+FM005,1032,13,2,3,10.37985053,725,13,20003,8.174627691
BS006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
GW006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
CC006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
FM006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
BS+GW006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
BS+CC006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
BS+FM006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
GW+CC006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
GW+FM006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
CC+FM006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
BS+GW+CC006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
BS+GW+FM006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
BS+CC+FM006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
GW+CC+FM006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
BS+GW+CC+FM006,1033,14,2,4,34.70326061,705,14,20004,27.7024264
BS007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
GW007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
CC007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
FM007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
BS+GW007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
BS+CC007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
BS+FM007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
GW+CC007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
GW+FM007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
CC+FM007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
BS+GW+CC007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
BS+GW+FM007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
BS+CC+FM007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
GW+CC+FM007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
BS+GW+CC+FM007,1034,15,2,5,15.36541807,740,15,20005,12.51820621
BS008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
GW008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
CC008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
FM008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
BS+GW008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
BS+CC008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
BS+FM008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
GW+CC008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
GW+FM008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
CC+FM008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
BS+GW+CC008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
BS+GW+FM008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
BS+CC+FM008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
GW+CC+FM008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
BS+GW+CC+FM008,1035,18,3,1,32.56488479,745,18,30001,20.86295919
BS009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
GW009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
CC009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
FM009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
BS+GW009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
BS+CC009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
BS+FM009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
GW+CC009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
GW+FM009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
CC+FM009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
BS+GW+CC009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
BS+GW+FM009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
BS+CC+FM009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
GW+CC+FM009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
BS+GW+CC+FM009,1036,19,3,2,5.490898779,761,19,30002,3.780801198
BS010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
GW010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
CC010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
FM010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
BS+GW010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
BS+CC010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
BS+FM010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
GW+CC010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
GW+FM010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
CC+FM010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
BS+GW+CC010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
BS+GW+FM010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
BS+CC+FM010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
GW+CC+FM010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
BS+GW+CC+FM010,1037,20,3,3,34.75937143,750,20,30003,23.93382828
BS011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
GW011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
CC011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
FM011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
BS+GW011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
BS+CC011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
BS+FM011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
GW+CC011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
GW+FM011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
CC+FM011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
BS+GW+CC011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
BS+GW+FM011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
BS+CC+FM011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
GW+CC+FM011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
BS+GW+CC+FM011,1038,28,4,8,1.327686005,1050,28,40008,1.014291265
BS012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
GW012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
CC012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
FM012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
BS+GW012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
BS+CC012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
BS+FM012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
GW+CC012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
GW+FM012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
CC+FM012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
BS+GW+CC012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
BS+GW+FM012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
BS+CC+FM012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
GW+CC+FM012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
BS+GW+CC+FM012,1039,29,4,9,2.837645878,1051,29,40009,2.167841204
BS013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
GW013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
CC013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
FM013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
BS+GW013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
BS+CC013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
BS+FM013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
GW+CC013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
GW+FM013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
CC+FM013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
BS+GW+CC013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
BS+GW+FM013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
BS+CC+FM013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
GW+CC+FM013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
BS+GW+CC+FM013,1040,30,4,10,5.060792328,931,30,40010,3.866222756
BS014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
GW014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
CC014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
FM014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
BS+GW014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
BS+CC014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
BS+FM014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
GW+CC014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
GW+FM014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
CC+FM014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
BS+GW+CC014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
BS+GW+FM014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
BS+CC+FM014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
GW+CC+FM014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
BS+GW+CC+FM014,1041,31,4,11,2.50220249,932,31,40011,1.911576531
BS015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
GW015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
CC015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
FM015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
BS+GW015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
BS+CC015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
BS+FM015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
GW+CC015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
GW+FM015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
CC+FM015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
BS+GW+CC015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
BS+GW+FM015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
BS+CC+FM015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
GW+CC+FM015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
BS+GW+CC+FM015,1042,32,4,12,3.983987274,900,32,40012,2.911511232
BS016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
GW016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
CC016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
FM016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
BS+GW016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
BS+CC016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
BS+FM016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
GW+CC016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
GW+FM016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
CC+FM016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
BS+GW+CC016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
BS+GW+FM016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
BS+CC+FM016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
GW+CC+FM016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
BS+GW+CC+FM016,1043,33,4,13,7.146743195,899,33,40013,5.096580313
BS017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
GW017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
CC017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
FM017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
BS+GW017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
BS+CC017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
BS+FM017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
GW+CC017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
GW+FM017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
CC+FM017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
BS+GW+CC017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
BS+GW+FM017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
BS+CC+FM017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
GW+CC+FM017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
BS+GW+CC+FM017,1044,40,5,7,21.76557876,1188,40,50007,16.08796591
BS018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
GW018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
CC018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
FM018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
BS+GW018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
BS+CC018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
BS+FM018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
GW+CC018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
GW+FM018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
CC+FM018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
BS+GW+CC018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
BS+GW+FM018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
BS+CC+FM018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
GW+CC+FM018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
BS+GW+CC+FM018,1045,41,5,8,10.68758899,1218,41,50008,7.899699485
BS019,1046,42,5,9,7.256489971,1176,42,50009,5.363612408
GW019,1046,42,5,9,7.256489971,1176,42,50009,5.363612408
CC019,1046,42,5,9,7.256489971,1176,42,50009,5.363612408
FM019,1046,42,5,9,7.256489971,1176,42,50009,5.363612408
BS+GW019,1046,42,5,9,7.256489971,1176,42,50009,5.363612408
BS+CC019,1046,42,5,9,7.256489971,1176,42,50009,5.363612408
BS+FM019,1046,42,5,9,7.256489971,1176,42,50009,5.363612408
GW+CC019,1046,42,5,9,7.256489971,1176,42,50009,5.363612408
GW+FM019,1046,42,5,9,7.256489971,1176,42,50009,5.363612408
