Label,ld0.0top10,ld0.0top30,ld0.0top60,ld0.5top10,ld0.5top30,ld0.5top60,ld1.0top10,ld1.0top30,ld1.0top60
Sub001 ISO-P-S,0,1,1,0,1,1,0,0,0
Sub001 ISO-P-M,0,0,1,0,0,1,0,0,0
Sub001 ISO-P-L,0,0,1,0,0,1,0,0,0
Sub001 ISO-M-S,0,1,1,0,1,1,0,0,0
Sub001 ISO-M-M,0,0,1,0,0,1,0,0,0
Sub001 ISO-M-L,0,0,1,0,0,1,0,0,0
Sub002 ISO-P-S,0,1,1,0,1,1,0,0,0
Sub002 ISO-P-M,0,0,1,0,0,1,0,0,0
Sub002 ISO-P-L,0,0,1,0,0,1,0,0,0
Sub002 ISO-M-S,0,1,1,0,1,1,0,0,0
Sub002 ISO-M-M,0,0,1,0,0,1,0,0,0
Sub002 ISO-M-L,0,0,1,0,0,1,0,0,0
Sub003 ISO-P-S,0,1,1,0,0,1,0,0,1
Sub003 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub003 ISO-P-L,0,0,1,0,0,0,0,0,1
Sub003 ISO-M-S,0,1,1,0,1,1,0,0,1
Sub003 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub003 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub004 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub004 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub004 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub004 ISO-M-S,0,1,1,0,1,1,0,0,1
Sub004 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub004 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub005 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub005 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub005 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub005 ISO-M-S,0,1,1,0,1,1,0,0,1
Sub005 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub005 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub006 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub006 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub006 ISO-P-L,0,0,1,0,0,1,0,0,1
