Label,Practice,subbasin,HRU
Sub001 ISO-P-S, ISO-P-S,1,0
Sub001 ISO-P-M, ISO-P-M,1,0
Sub001 ISO-P-L, ISO-P-L,1,0
Sub001 ISO-M-S, ISO-M-S,1,0
Sub001 ISO-M-M, ISO-M-M,1,0
Sub001 ISO-M-L, ISO-M-L,1,0
Sub002 ISO-P-S, ISO-P-S,2,0
Sub002 ISO-P-M, ISO-P-M,2,0
Sub002 ISO-P-L, ISO-P-L,2,0
Sub002 ISO-M-S, ISO-M-S,2,0
Sub002 ISO-M-M, ISO-M-M,2,0
Sub002 ISO-M-L, ISO-M-L,2,0
Sub003 ISO-P-S, ISO-P-S,3,0
Sub003 ISO-P-M, ISO-P-M,3,0
Sub003 ISO-P-L, ISO-P-L,3,0
Sub003 ISO-M-S, ISO-M-S,3,0
Sub003 ISO-M-M, ISO-M-M,3,0
Sub003 ISO-M-L, ISO-M-L,3,0
Sub004 ISO-P-S, ISO-P-S,4,0
Sub004 ISO-P-M, ISO-P-M,4,0
Sub004 ISO-P-L, ISO-P-L,4,0
Sub004 ISO-M-S, ISO-M-S,4,0
Sub004 ISO-M-M, ISO-M-M,4,0
Sub004 ISO-M-L, ISO-M-L,4,0
Sub005 ISO-P-S, ISO-P-S,5,0
Sub005 ISO-P-M, ISO-P-M,5,0
Sub005 ISO-P-L, ISO-P-L,5,0
Sub005 ISO-M-S, ISO-M-S,5,0
Sub005 ISO-M-M, ISO-M-M,5,0
Sub005 ISO-M-L, ISO-M-L,5,0
Sub006 ISO-P-S, ISO-P-S,6,0
Sub006 ISO-P-M, ISO-P-M,6,0
Sub006 ISO-P-L, ISO-P-L,6,0
Sub006 ISO-M-S, ISO-M-S,6,0
Sub006 ISO-M-M, ISO-M-M,6,0
Sub006 ISO-M-L, ISO-M-L,6,0
Sub007 ISO-P-S, ISO-P-S,7,0
Sub007 ISO-P-M, ISO-P-M,7,0
Sub007 ISO-P-L, ISO-P-L,7,0
Sub007 ISO-M-S, ISO-M-S,7,0
Sub007 ISO-M-M, ISO-M-M,7,0
Sub007 ISO-M-L, ISO-M-L,7,0
Sub008 ISO-P-S, ISO-P-S,8,0
Sub008 ISO-P-M, ISO-P-M,8,0
Sub008 ISO-P-L, ISO-P-L,8,0
Sub008 ISO-M-S, ISO-M-S,8,0
Sub008 ISO-M-M, ISO-M-M,8,0
Sub008 ISO-M-L, ISO-M-L,8,0
Sub009 ISO-P-S, ISO-P-S,9,0
Sub009 ISO-P-M, ISO-P-M,9,0
Sub009 ISO-P-L, ISO-P-L,9,0
Sub009 ISO-M-S, ISO-M-S,9,0
Sub009 ISO-M-M, ISO-M-M,9,0
Sub009 ISO-M-L, ISO-M-L,9,0
Sub010 ISO-P-S, ISO-P-S,10,0
