subbasin,Label,Practices,Select,index,ID,Cost,NitRed,SedRed,SED_BCR,NIT_BCR,sedbcr_dist,nitbcr_dist
1,Sub001 ISO-P-S, ISO-P-S,1,1,2,213284.5815,4175.9662,-1.1472,-5.378729169881415e-06,0.019579315910372076,6.710939431220506e-09,0.03471626591556356
1,Sub001 ISO-P-M, ISO-P-M,1,2,3,633094.6862,5596.3085,-0.7343,-1.1598581002274094e-06,0.008839607442593633,1.2667414163914914e-09,0.0049440341243254145
1,Sub001 ISO-P-L, ISO-P-L,0,3,4,1052747.028,7078.3647,-2.346,-2.2284555905675756e-06,0.006723709031454041,1.4531092259705545e-09,0.002912482211559331
1,Sub001 ISO-M-S, ISO-M-S,1,4,5,164997.6437,2865.2689,-1.5677,-9.501347806217188e-06,0.01736551405067126,7.074980773267837e-08,0.01596195027460251
1,Sub001 ISO-M-M, ISO-M-M,1,5,6,488233.8726,3548.617,-1.4509,-2.9717315438879692e-06,0.007268272848629881,9.277176459328458e-10,0.11350675372449429
1,Sub001 ISO-M-L, ISO-M-L,0,6,7,811312.3383,4258.8058,-2.9335,-3.615746811082363e-06,0.0052492802080685436,3.957458450399957e-09,0.05544776104334114
2,Sub002 ISO-P-S, ISO-P-S,0,7,8,275166.9697,7298.6723,-3.4135,-1.2405195302770381e-05,0.026524521849251588,3.548339061946909e-08,0.024812105039288622
2,Sub002 ISO-P-M, ISO-P-M,0,8,9,816277.0207,7298.6723,-3.4135,-4.181791124136688e-06,0.008941415861175424,9.368148933374763e-09,0.005794547158278424
2,Sub002 ISO-P-L, ISO-P-L,1,9,10,1357171.7769999998,7298.6723,-3.4135,-2.5151569299101335e-06,0.005377854464475798,5.2589278178581225e-09,0.00935542580523391
2,Sub002 ISO-M-S, ISO-M-S,1,10,11,209271.2049,5441.5064,-4.7209,-2.2558765322041685e-05,0.026002174559085742,5.6532283293787145e-08,0.017005566100996586
2,Sub002 ISO-M-M, ISO-M-M,0,11,12,618589.7264,5670.2909,-4.498,-7.271378440403403e-06,0.009166480880630415,4.9393061995429765e-09,0.008113677292603707
2,Sub002 ISO-M-L, ISO-M-L,1,12,13,1027692.953,5869.2367,-4.3213,-4.20485514412202e-06,0.005711080029172877,3.095661889394181e-09,0.00011595843045442492
3,Sub003 ISO-P-S, ISO-P-S,1,13,14,217707.5843,2631.3411,2.4064,1.1053358603639609e-05,0.012086584436002124,5.899841431968988e-09,0.009668943253495226
3,Sub003 ISO-P-M, ISO-P-M,1,14,15,645798.659,2631.3411,2.4064,3.7262387687924887e-06,0.0040745533663302325,5.1306938936778005e-09,0.04612932195787145
3,Sub003 ISO-P-L, ISO-P-L,1,15,16,1073718.7820000001,2631.3411,2.4064,2.241182738293573e-06,0.0024506799583952884,3.1672596644238184e-10,0.013628118297638693
3,Sub003 ISO-M-S, ISO-M-S,0,16,17,165384.0139,2554.9307,2.3916,1.4460889801877037e-05,0.015448474370351463,3.630685853483616e-10,0.0025684601333363973
