Subbasin,Label,Practices,Select,subbasin
Sub001,Sub001 ISO-P-S, ISO-P-S,1,1
Sub001,Sub001 ISO-P-M, ISO-P-M,1,1
Sub001,Sub001 ISO-P-L, ISO-P-L,0,1
Sub001,Sub001 ISO-M-S, ISO-M-S,1,1
Sub001,Sub001 ISO-M-M, ISO-M-M,1,1
Sub001,Sub001 ISO-M-L, ISO-M-L,0,1
Sub002,Sub002 ISO-P-S, ISO-P-S,0,2
Sub002,Sub002 ISO-P-M, ISO-P-M,0,2
Sub002,Sub002 ISO-P-L, ISO-P-L,1,2
Sub002,Sub002 ISO-M-S, ISO-M-S,1,2
Sub002,Sub002 ISO-M-M, ISO-M-M,0,2
Sub002,Sub002 ISO-M-L, ISO-M-L,1,2
Sub003,Sub003 ISO-P-S, ISO-P-S,1,3
Sub003,Sub003 ISO-P-M, ISO-P-M,1,3
Sub003,Sub003 ISO-P-L, ISO-P-L,1,3
Sub003,Sub003 ISO-M-S, ISO-M-S,0,3
Sub003,Sub003 ISO-M-M, ISO-M-M,0,3
Sub003,Sub003 ISO-M-L, ISO-M-L,1,3
Sub004,Sub004 ISO-P-S, ISO-P-S,0,4
Sub004,Sub004 ISO-P-M, ISO-P-M,1,4
Sub004,Sub004 ISO-P-L, ISO-P-L,0,4
Sub004,Sub004 ISO-M-S, ISO-M-S,0,4
Sub004,Sub004 ISO-M-M, ISO-M-M,1,4
Sub004,Sub004 ISO-M-L, ISO-M-L,0,4
Sub005,Sub005 ISO-P-S, ISO-P-S,1,5
Sub005,Sub005 ISO-P-M, ISO-P-M,1,5
Sub005,Sub005 ISO-P-L, ISO-P-L,1,5
Sub005,Sub005 ISO-M-S, ISO-M-S,0,5
Sub005,Sub005 ISO-M-M, ISO-M-M,0,5
Sub005,Sub005 ISO-M-L, ISO-M-L,0,5
Sub006,Sub006 ISO-P-S, ISO-P-S,1,6
Sub006,Sub006 ISO-P-M, ISO-P-M,1,6
Sub006,Sub006 ISO-P-L, ISO-P-L,1,6
Sub006,Sub006 ISO-M-S, ISO-M-S,1,6
Sub006,Sub006 ISO-M-M, ISO-M-M,0,6
Sub006,Sub006 ISO-M-L, ISO-M-L,0,6
Sub007,Sub007 ISO-P-S, ISO-P-S,0,7
Sub007,Sub007 ISO-P-M, ISO-P-M,1,7
Sub007,Sub007 ISO-P-L, ISO-P-L,1,7
Sub007,Sub007 ISO-M-S, ISO-M-S,1,7
Sub007,Sub007 ISO-M-M, ISO-M-M,1,7
Sub007,Sub007 ISO-M-L, ISO-M-L,1,7
Sub008,Sub008 ISO-P-S, ISO-P-S,1,8
Sub008,Sub008 ISO-P-M, ISO-P-M,0,8
Sub008,Sub008 ISO-P-L, ISO-P-L,0,8
Sub008,Sub008 ISO-M-S, ISO-M-S,0,8
Sub008,Sub008 ISO-M-M, ISO-M-M,0,8
Sub008,Sub008 ISO-M-L, ISO-M-L,0,8
Sub009,Sub009 ISO-P-S, ISO-P-S,1,9
Sub009,Sub009 ISO-P-M, ISO-P-M,1,9
Sub009,Sub009 ISO-P-L, ISO-P-L,1,9
Sub009,Sub009 ISO-M-S, ISO-M-S,0,9
Sub009,Sub009 ISO-M-M, ISO-M-M,0,9
Sub009,Sub009 ISO-M-L, ISO-M-L,1,9
Sub010,Sub010 ISO-P-S, ISO-P-S,1,10
Sub010,Sub010 ISO-P-M, ISO-P-M,0,10
Sub010,Sub010 ISO-P-L, ISO-P-L,1,10
Sub010,Sub010 ISO-M-S, ISO-M-S,1,10
Sub010,Sub010 ISO-M-M, ISO-M-M,1,10
Sub010,Sub010 ISO-M-L, ISO-M-L,0,10
Sub011,Sub011 ISO-P-S, ISO-P-S,1,11
Sub011,Sub011 ISO-P-M, ISO-P-M,1,11
Sub011,Sub011 ISO-P-L, ISO-P-L,1,11
Sub011,Sub011 ISO-M-S, ISO-M-S,1,11
Sub011,Sub011 ISO-M-M, ISO-M-M,1,11
Sub011,Sub011 ISO-M-L, ISO-M-L,0,11
Sub012,Sub012 ISO-P-S, ISO-P-S,1,12
Sub012,Sub012 ISO-P-M, ISO-P-M,1,12
Sub012,Sub012 ISO-P-L, ISO-P-L,0,12
Sub012,Sub012 ISO-M-S, ISO-M-S,1,12
Sub012,Sub012 ISO-M-M, ISO-M-M,1,12
Sub012,Sub012 ISO-M-L, ISO-M-L,1,12
Sub013,Sub013 ISO-P-S, ISO-P-S,0,13
Sub013,Sub013 ISO-P-M, ISO-P-M,0,13
Sub013,Sub013 ISO-P-L, ISO-P-L,1,13
Sub013,Sub013 ISO-M-S, ISO-M-S,1,13
Sub013,Sub013 ISO-M-M, ISO-M-M,0,13
Sub013,Sub013 ISO-M-L, ISO-M-L,0,13
Sub014,Sub014 ISO-P-S, ISO-P-S,0,14
Sub014,Sub014 ISO-P-M, ISO-P-M,0,14
Sub014,Sub014 ISO-P-L, ISO-P-L,0,14
Sub014,Sub014 ISO-M-S, ISO-M-S,1,14
Sub014,Sub014 ISO-M-M, ISO-M-M,1,14
Sub014,Sub014 ISO-M-L, ISO-M-L,1,14
Sub015,Sub015 ISO-P-S, ISO-P-S,0,15
Sub015,Sub015 ISO-P-M, ISO-P-M,1,15
Sub015,Sub015 ISO-P-L, ISO-P-L,1,15
Sub015,Sub015 ISO-M-S, ISO-M-S,1,15
Sub015,Sub015 ISO-M-M, ISO-M-M,0,15
Sub015,Sub015 ISO-M-L, ISO-M-L,0,15
