County,State,WLD,CC,NM,ASC_obs,Subbasin,Area_acre,inter_acre
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,1,16605,818.534
Marshall,South Dakota,297.0179558,112.5086517,127.2381645,77.37496276,1,16605,15786.4
Marshall,South Dakota,297.0179558,112.5086517,127.2381645,77.37496276,2,22660,1178.77
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,2,22660,20004.8
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,3,17993,17993
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,4,22965,7764.48
Marshall,South Dakota,297.0179558,112.5086517,127.2381645,77.37496276,4,22965,15200.3
Marshall,South Dakota,297.0179558,112.5086517,127.2381645,77.37496276,5,21318,376.37
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,5,21318,20941.7
Marshall,South Dakota,297.0179558,112.5086517,127.2381645,77.37496276,6,18128,1143.15
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,6,18128,16984.4
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,7,16329,16328.7
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,8,17186,17186.1
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,9,16168,16167.7
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,10,11617,11617.1
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,11,15581,15581.1
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,12,14362,14362.4
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,13,13238,13237.7
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,14,15011,15011.1
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,15,9466,9465.61
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,16,12176,12175.6
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,17,22005,22004.5
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,18,14153,593.409
Traverse,Minnesota,234.6922637,50.2330625,64.98666567,15.08944262,18,14153,1125.6
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,18,14153,12433.7
Traverse,Minnesota,234.6922637,50.2330625,64.98666567,15.08944262,19,21201,10201.2
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,19,21201,10999.5
Traverse,Minnesota,234.6922637,50.2330625,64.98666567,15.08944262,20,33136,11535.4
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,20,33136,21600.4
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,21,17865,17865
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,22,9545,0.358599
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,22,9545,9544.46
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,23,7129,7128.53
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,24,17073,17073.3
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,25,11670,11670.2
Traverse,Minnesota,234.6922637,50.2330625,64.98666567,15.08944262,26,72498,2841.65
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,26,72498,4462.86
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,26,72498,25548.7
Big Stone,Minnesota,231.9748276,47.26910078,62.24772744,12.28486201,26,72498,39645.1
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,27,16852,16851.6
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,28,26372,26371.9
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,29,19278,19278
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,30,23647,387.019
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,30,23647,23260
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,31,21938,5335.48
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,31,21938,16602.2
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,32,16263,3004.46
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,32,16263,13258.7
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,33,20129,8417.05
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,33,20129,11711.5
Roberts,South Dakota,257.8732369,73.44428009,88.10155317,38.14451039,34,19259,4480.59
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,34,19259,14778.6
Codington,South Dakota,290.8774373,106.3412636,121.1576576,71.1698939,35,23162,91.445
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,35,23162,23070.2
Codington,South Dakota,290.8774373,106.3412636,121.1576576,71.1698939,36,20753,430.815
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,36,20753,20322.1
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,37,14943,14943.1
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,38,19547,19546.9
Grant,South Dakota,236.8262788,52.14586221,67.11797534,17.2225039,39,10376,10375.8
