ID,Label,Cost,NitRed,SedRed
1,Nothing,0,0,0
2,Sub001 ISO-P-S,213284.5815,4175.9662,390.7649
3,Sub001 ISO-P-M,633094.6862,5596.3085,557.2493
4,Sub001 ISO-P-L,1052747.028,7078.3647,701.82
5,Sub001 ISO-M-S,164997.6437,2865.2689,301.7722
6,Sub001 ISO-M-M,488233.8726,3548.617,411.2853
7,Sub001 ISO-M-L,811312.3383,4258.8058,505.7292
8,Sub002 ISO-P-S,275166.9697,7298.6723,795.8305
9,Sub002 ISO-P-M,816277.0207,7298.6723,795.8305
10,Sub002 ISO-P-L,1357171.777,7298.6723,795.8305
11,Sub002 ISO-M-S,209271.2049,5441.5064,618.1982
12,Sub002 ISO-M-M,618589.7264,5670.2909,644.9775
13,Sub002 ISO-M-L,1027692.953,5869.2367,667.3881
14,Sub003 ISO-P-S,217707.5843,2631.3411,320.0173
15,Sub003 ISO-P-M,645798.659,90900.0377,320.0173
16,Sub003 ISO-P-L,1073718.782,2631.3411,320.0173
17,Sub003 ISO-M-S,165384.0139,2554.9307,312.4914
18,Sub003 ISO-M-M,488827.9478,2614.4655,318.2809
19,Sub003 ISO-M-L,812100.93,2631.3411,320.0173
20,Sub004 ISO-P-S,289777.6459,4401.4704,540.2278
21,Sub004 ISO-P-M,859985.0568,5661.3708,725.3699
22,Sub004 ISO-P-L,1429974.279,5685.3545,728.2974
23,Sub004 ISO-M-S,222996.0744,3568.4269,450.835
24,Sub004 ISO-M-M,659640.3423,4350.0816,577.2103
25,Sub004 ISO-M-L,1096066.421,4724.4826,625.3283
26,Sub005 ISO-P-S,258234.5066,4569.1612,687.5014
27,Sub005 ISO-P-M,766025.9473,7103.6354,1177.3662
28,Sub005 ISO-P-L,1273614.845,9661.64,1648.2385
29,Sub005 ISO-M-S,196241.6414,3535.6728,560.6024
30,Sub005 ISO-M-M,580047.3519,5064.4489,900.3851
31,Sub005 ISO-M-L,963650.5191,6372.1045,1203.7167
32,Sub006 ISO-P-S,220231.3345,5560.087,714.0102
33,Sub006 ISO-P-M,653315.1474,5560.087,714.0102
34,Sub006 ISO-P-L,1086226.731,5560.087,714.0102
35,Sub006 ISO-M-S,167516.5428,4952.1051,647.9194
36,Sub006 ISO-M-M,495170.7725,5164.9434,669.0063
37,Sub006 ISO-M-L,822652.7724,5297.7217,683.5307
38,Sub007 ISO-P-S,197569.8117,2084.2199,263.2843
39,Sub007 ISO-P-M,586062.8137,2084.2199,263.2843
40,Sub007 ISO-P-L,974400.677,2084.2199,263.2843
41,Sub007 ISO-M-S,150086.1285,2002.904,253.1432
42,Sub007 ISO-M-M,443611.7643,2028.4298,256.5214
43,Sub007 ISO-M-L,736982.2613,2048.3485,258.8703
44,Sub008 ISO-P-S,207944.0351,7570.3592,533.8552
45,Sub008 ISO-P-M,616836.4756,7570.3592,533.8552
46,Sub008 ISO-P-L,1025565.631,7570.3592,533.8552
47,Sub008 ISO-M-S,157967.024,7096.6038,517.8726
48,Sub008 ISO-M-M,466905.4422,7312.4874,526.4718
49,Sub008 ISO-M-L,775680.5755,7455.9484,530.8587
50,Sub009 ISO-P-S,195621.5998,-316.1533,497.8511
51,Sub009 ISO-P-M,580283.7196,4334.5145,588.9896
52,Sub009 ISO-P-L,964792.2304,4334.5145,588.9896
53,Sub009 ISO-M-S,148606.1475,3075.938,412.4269
54,Sub009 ISO-M-M,439237.3627,3487.4296,475.0121
55,Sub009 ISO-M-L,729714.9689,3755.4963,510.1512
56,Sub010 ISO-P-S,140561.6316,4369.3707,588.3845
57,Sub010 ISO-P-M,416956.1364,5128.5851,713.9804
58,Sub010 ISO-P-L,693240.2672,5128.5851,713.9804
59,Sub010 ISO-M-S,106779.2237,3490.3953,478.5583
60,Sub010 ISO-M-M,315608.9125,3943.3615,556.0361
61,Sub010 ISO-M-L,524328.2274,4229.4246,594.6364
62,Sub011 ISO-P-S,188525.0712,2276.0846,400.3433
63,Sub011 ISO-P-M,559232.8744,3634.2345,689.7387
64,Sub011 ISO-P-L,929792.6411,4750.1213,925.2297
65,Sub011 ISO-M-S,143215.1897,1838.1947,334.4567
66,Sub011 ISO-M-M,423303.2301,2752.8909,550.991
67,Sub011 ISO-M-L,703243.2339,3634.2857,757.2958
68,Sub012 ISO-P-S,173778.7123,1173.3744,180.4957
69,Sub012 ISO-P-M,515489.8932,1998.6989,320.6136
70,Sub012 ISO-P-L,857064.6168,2922.6412,471.2941
71,Sub012 ISO-M-S,132012.9525,988.4408,149.6381
72,Sub012 ISO-M-M,390192.6135,1682.7681,270.2944
73,Sub012 ISO-M-L,648235.8175,2366.245,387.0758
74,Sub013 ISO-P-S,160170.473,18312.5247,693.6644
75,Sub013 ISO-P-M,475122.982,4942.5225,654.0285
76,Sub013 ISO-P-L,789949.7196,4942.5225,654.0285
77,Sub013 ISO-M-S,121675.3005,3778.8568,515.7168
78,Sub013 ISO-M-M,359637.4644,4077.0432,550.1688
79,Sub013 ISO-M-L,597473.8569,4336.386,580.4809
80,Sub014 ISO-P-S,181627.3478,2079.2917,298.9568
81,Sub014 ISO-P-M,538771.7566,2783.0961,412.0845
82,Sub014 ISO-P-L,895773.5453,3618.7425,544.4541
83,Sub014 ISO-M-S,137975.2566,1825.8089,254.8181
84,Sub014 ISO-M-M,407815.4831,2430.4403,360.8946
85,Sub014 ISO-M-L,677513.0895,2992.7515,460.5304
86,Sub015 ISO-P-S,114529.75,178.6027,28.0546
87,Sub015 ISO-P-M,339736.2531,178.6027,28.0546
88,Sub015 ISO-P-L,564852.8235,178.6027,28.0546
89,Sub015 ISO-M-S,87003.8122,178.6027,28.0546
90,Sub015 ISO-M-M,257158.4396,178.6027,28.0546
91,Sub015 ISO-M-L,427223.1342,178.6027,28.0546
92,Sub016 ISO-P-S,147319.3546,1847.5962,294.1166
93,Sub016 ISO-P-M,437001.9626,2832.0464,475.2601
94,Sub016 ISO-P-L,726568.8903,3572.7554,602.7025
95,Sub016 ISO-M-S,111912.8039,1673.2865,261.7082
96,Sub016 ISO-M-M,330782.3105,2385.7594,396.5215
97,Sub016 ISO-M-L,549536.1368,3042.0169,520.5549
98,Sub017 ISO-P-S,266245.3204,10316.1469,1414.227
99,Sub017 ISO-P-M,789778.9662,10763.2481,1495.5398
100,Sub017 ISO-P-L,1313103.547,10763.2481,1495.5398
101,Sub017 ISO-M-S,202256.2508,6646.6577,984.3601
102,Sub017 ISO-M-M,597811.7574,7383.6161,1084.9526
103,Sub017 ISO-M-L,993158.1988,8053.5352,1172.3517
104,Sub018 ISO-P-S,170413.4518,1414.1351,230.7757
105,Sub018 ISO-P-M,505479.4844,1714.884,294.4797
106,Sub018 ISO-P-L,840411.0526,2195.2962,365.6409
107,Sub018 ISO-M-S,129257.5988,975.5503,160.1888
108,Sub018 ISO-M-M,382011.9256,1310.6116,225.3186
109,Sub018 ISO-M-L,634631.7879,1631.4894,288.0405
110,Sub019 ISO-P-S,246110.2562,4399.4717,730.946
111,Sub019 ISO-P-M,729700.9503,5178.1625,917.6249
112,Sub019 ISO-P-L,1213090.216,6336.5615,1106.4308
113,Sub019 ISO-M-S,184458.548,3093.6963,547.4886
114,Sub019 ISO-M-M,544745.8258,3896.2803,735.7562
