ID,Label,Cost,NitRed,SedRed,Genome section,WithinSectionID,AlleleCombo
1,Nothing,9999999999,0,0,Nothing,0,Nothing
2,Sub001 ISO-P-S,213284.5815,4525.5668,-1817.6,subISO,1,ISO-P-S
3,Sub001 ISO-M-S,164997.6437,3152.732,-2316.5,subISO,1,ISO-M-S
4,Sub001 ISO-M-M,488233.8726,3899.6169,-3824.5,subISO,1,ISO-M-M
5,Sub001 ISO-M-L,811312.3383,4674.0958,-5158.7,subISO,1,ISO-M-L
6,Sub002 ISO-P-S,275166.9697,8601.9642,-6562.5,subISO,2,ISO-P-S
7,Sub002 ISO-M-S,209271.2049,6612.9109,-8050.4,subISO,2,ISO-M-S
8,Sub002 ISO-M-M,618589.7264,6873.7652,-7795,subISO,2,ISO-M-M
9,Sub002 ISO-M-L,1027692.953,7095.4854,-7591.4,subISO,2,ISO-M-L
10,Sub003 ISO-P-S,217707.5843,3049.0531,3088.6,subISO,3,ISO-P-S
11,Sub003 ISO-M-S,165384.0139,2975.1912,3072.3,subISO,3,ISO-M-S
12,Sub003 ISO-M-M,488827.9478,3032.4869,3084.9,subISO,3,ISO-M-M
13,Sub003 ISO-M-L,812100.93,3049.0531,3088.6,subISO,3,ISO-M-L
14,Sub004 ISO-P-S,289777.6459,4834.2835,5691.1,subISO,4,ISO-P-S
15,Sub004 ISO-M-S,222996.0744,3953.8904,5211.7,subISO,4,ISO-M-S
16,Sub004 ISO-M-M,659640.3423,4798.6264,6325.3,subISO,4,ISO-M-M
17,Sub004 ISO-M-L,1096066.421,5208.6655,6564.9,subISO,4,ISO-M-L
18,Sub005 ISO-P-S,258234.5066,4725.3793,3437.4,subISO,5,ISO-P-S
19,Sub005 ISO-M-S,196241.6414,3669.9672,2998.7,subISO,5,ISO-M-S
20,Sub005 ISO-M-M,580047.3519,5266.7608,4158.8,subISO,5,ISO-M-M
21,Sub005 ISO-M-L,963650.5191,6642.1582,4447.8,subISO,5,ISO-M-L
22,Sub006 ISO-P-S,220231.3345,6449.0181,10886.9,subISO,6,ISO-P-S
23,Sub006 ISO-M-S,167516.5428,5769.727,10154.1,subISO,6,ISO-M-S
24,Sub006 ISO-M-M,495170.7725,5964.2054,10356.3,subISO,6,ISO-M-M
25,Sub006 ISO-M-L,822652.7724,6115.4204,10500.7,subISO,6,ISO-M-L
