Label,WithinSectionID,AlleleCombo
Nothing,0,Nothing
Sub001 ISO-P-S,1,ISO-P-S
Sub001 ISO-M-S,1,ISO-M-S
Sub001 ISO-M-M,1,ISO-M-M
Sub001 ISO-M-L,1,ISO-M-L
Sub002 ISO-P-S,2,ISO-P-S
Sub002 ISO-M-S,2,ISO-M-S
Sub002 ISO-M-M,2,ISO-M-M
Sub002 ISO-M-L,2,ISO-M-L
Sub003 ISO-P-S,3,ISO-P-S
Sub003 ISO-M-S,3,ISO-M-S
Sub003 ISO-M-M,3,ISO-M-M
Sub003 ISO-M-L,3,ISO-M-L
Sub004 ISO-P-S,4,ISO-P-S
Sub004 ISO-M-S,4,ISO-M-S
Sub004 ISO-M-M,4,ISO-M-M
Sub004 ISO-M-L,4,ISO-M-L
Sub005 ISO-P-S,5,ISO-P-S
Sub005 ISO-M-S,5,ISO-M-S
Sub005 ISO-M-M,5,ISO-M-M
Sub005 ISO-M-L,5,ISO-M-L
Sub006 ISO-P-S,6,ISO-P-S
Sub006 ISO-M-S,6,ISO-M-S
Sub006 ISO-M-M,6,ISO-M-M
Sub006 ISO-M-L,6,ISO-M-L
Sub007 ISO-P-S,7,ISO-P-S
Sub007 ISO-M-S,7,ISO-M-S
Sub007 ISO-M-M,7,ISO-M-M
Sub007 ISO-M-L,7,ISO-M-L
Sub008 ISO-P-S,8,ISO-P-S
Sub008 ISO-M-S,8,ISO-M-S
Sub008 ISO-M-M,8,ISO-M-M
Sub008 ISO-M-L,8,ISO-M-L
Sub009 ISO-P-S,9,ISO-P-S
Sub009 ISO-M-S,9,ISO-M-S
Sub009 ISO-M-M,9,ISO-M-M
Sub009 ISO-M-L,9,ISO-M-L
Sub010 ISO-P-S,10,ISO-P-S
Sub010 ISO-M-S,10,ISO-M-S
Sub010 ISO-M-M,10,ISO-M-M
Sub010 ISO-M-L,10,ISO-M-L
Sub011 ISO-P-S,11,ISO-P-S
Sub011 ISO-M-S,11,ISO-M-S
Sub011 ISO-M-M,11,ISO-M-M
Sub011 ISO-M-L,11,ISO-M-L
Sub012 ISO-P-S,12,ISO-P-S
Sub012 ISO-M-S,12,ISO-M-S
Sub012 ISO-M-M,12,ISO-M-M
Sub012 ISO-M-L,12,ISO-M-L
Sub013 ISO-P-S,13,ISO-P-S
Sub013 ISO-M-S,13,ISO-M-S
Sub013 ISO-M-M,13,ISO-M-M
Sub013 ISO-M-L,13,ISO-M-L
Sub014 ISO-P-S,14,ISO-P-S
Sub014 ISO-M-S,14,ISO-M-S
Sub014 ISO-M-M,14,ISO-M-M
Sub014 ISO-M-L,14,ISO-M-L
Sub015 ISO-P-S,15,ISO-P-S
Sub015 ISO-M-S,15,ISO-M-S
Sub015 ISO-M-M,15,ISO-M-M
Sub015 ISO-M-L,15,ISO-M-L
Sub016 ISO-P-S,16,ISO-P-S
Sub016 ISO-M-S,16,ISO-M-S
Sub016 ISO-M-M,16,ISO-M-M
Sub016 ISO-M-L,16,ISO-M-L
Sub017 ISO-P-S,17,ISO-P-S
Sub017 ISO-M-S,17,ISO-M-S
Sub017 ISO-M-M,17,ISO-M-M
Sub017 ISO-M-L,17,ISO-M-L
Sub018 ISO-P-S,18,ISO-P-S
Sub018 ISO-M-S,18,ISO-M-S
Sub018 ISO-M-M,18,ISO-M-M
Sub018 ISO-M-L,18,ISO-M-L
Sub019 ISO-P-S,19,ISO-P-S
Sub019 ISO-M-S,19,ISO-M-S
Sub019 ISO-M-M,19,ISO-M-M
Sub019 ISO-M-L,19,ISO-M-L
Sub020 ISO-P-S,20,ISO-P-S
Sub020 ISO-M-S,20,ISO-M-S
Sub020 ISO-M-M,20,ISO-M-M
Sub020 ISO-M-L,20,ISO-M-L
Sub021 ISO-P-S,21,ISO-P-S
Sub021 ISO-M-S,21,ISO-M-S
Sub021 ISO-M-M,21,ISO-M-M
Sub021 ISO-M-L,21,ISO-M-L
Sub022 ISO-P-S,22,ISO-P-S
Sub022 ISO-M-S,22,ISO-M-S
Sub022 ISO-M-M,22,ISO-M-M
Sub022 ISO-M-L,22,ISO-M-L
Sub023 ISO-P-S,23,ISO-P-S
Sub023 ISO-M-S,23,ISO-M-S
Sub023 ISO-M-M,23,ISO-M-M
Sub023 ISO-M-L,23,ISO-M-L
Sub024 ISO-P-S,24,ISO-P-S
Sub024 ISO-M-S,24,ISO-M-S
Sub024 ISO-M-M,24,ISO-M-M
Sub024 ISO-M-L,24,ISO-M-L
Sub025 ISO-P-S,25,ISO-P-S
Sub025 ISO-M-S,25,ISO-M-S
Sub025 ISO-M-M,25,ISO-M-M
Sub025 ISO-M-L,25,ISO-M-L
Sub026 ISO-P-S,26,ISO-P-S
Sub026 ISO-M-S,26,ISO-M-S
Sub026 ISO-M-M,26,ISO-M-M
Sub026 ISO-M-L,26,ISO-M-L
Sub027 ISO-P-S,27,ISO-P-S
Sub027 ISO-M-S,27,ISO-M-S
Sub027 ISO-M-M,27,ISO-M-M
Sub027 ISO-M-L,27,ISO-M-L
Sub028 ISO-P-S,28,ISO-P-S
Sub028 ISO-M-S,28,ISO-M-S
Sub028 ISO-M-M,28,ISO-M-M
Sub028 ISO-M-L,28,ISO-M-L
Sub029 ISO-P-S,29,ISO-P-S
Sub029 ISO-M-S,29,ISO-M-S
Sub029 ISO-M-M,29,ISO-M-M
Sub029 ISO-M-L,29,ISO-M-L
Sub030 ISO-P-S,30,ISO-P-S
Sub030 ISO-M-S,30,ISO-M-S
Sub030 ISO-M-M,30,ISO-M-M
Sub030 ISO-M-L,30,ISO-M-L
Sub031 ISO-P-S,31,ISO-P-S
Sub031 ISO-M-S,31,ISO-M-S
Sub031 ISO-M-M,31,ISO-M-M
Sub031 ISO-M-L,31,ISO-M-L
Sub032 ISO-P-S,32,ISO-P-S
Sub032 ISO-M-S,32,ISO-M-S
Sub032 ISO-M-M,32,ISO-M-M
Sub032 ISO-M-L,32,ISO-M-L
Sub033 ISO-P-S,33,ISO-P-S
Sub033 ISO-M-S,33,ISO-M-S
Sub033 ISO-M-M,33,ISO-M-M
Sub033 ISO-M-L,33,ISO-M-L
Sub034 ISO-P-S,34,ISO-P-S
Sub034 ISO-M-S,34,ISO-M-S
Sub034 ISO-M-M,34,ISO-M-M
Sub034 ISO-M-L,34,ISO-M-L
