Seed Label,Practice,subbasin,HRU
Sub001 ISO-P-S,ISO-P-S,1,0
Sub001 ISO-M-S,ISO-M-S,1,0
Sub001 ISO-M-M,ISO-M-M,1,0
Sub001 ISO-M-L,ISO-M-L,1,0
Sub002 ISO-P-S,ISO-P-S,2,0
Sub002 ISO-M-S,ISO-M-S,2,0
Sub002 ISO-M-M,ISO-M-M,2,0
Sub002 ISO-M-L,ISO-M-L,2,0
Sub003 ISO-P-S,ISO-P-S,3,0
Sub003 ISO-M-S,ISO-M-S,3,0
Sub003 ISO-M-M,ISO-M-M,3,0
Sub003 ISO-M-L,ISO-M-L,3,0
Sub004 ISO-P-S,ISO-P-S,4,0
Sub004 ISO-M-S,ISO-M-S,4,0
Sub004 ISO-M-M,ISO-M-M,4,0
Sub004 ISO-M-L,ISO-M-L,4,0
Sub005 ISO-P-S,ISO-P-S,5,0
Sub005 ISO-M-S,ISO-M-S,5,0
Sub005 ISO-M-M,ISO-M-M,5,0
Sub005 ISO-M-L,ISO-M-L,5,0
Sub006 ISO-P-S,ISO-P-S,6,0
Sub006 ISO-M-S,ISO-M-S,6,0
Sub006 ISO-M-M,ISO-M-M,6,0
Sub006 ISO-M-L,ISO-M-L,6,0
Sub007 ISO-P-S,ISO-P-S,7,0
Sub007 ISO-M-S,ISO-M-S,7,0
Sub007 ISO-M-M,ISO-M-M,7,0
Sub007 ISO-M-L,ISO-M-L,7,0
Sub008 ISO-P-S,ISO-P-S,8,0
Sub008 ISO-M-S,ISO-M-S,8,0
Sub008 ISO-M-M,ISO-M-M,8,0
Sub008 ISO-M-L,ISO-M-L,8,0
Sub009 ISO-P-S,ISO-P-S,9,0
Sub009 ISO-M-S,ISO-M-S,9,0
Sub009 ISO-M-M,ISO-M-M,9,0
Sub009 ISO-M-L,ISO-M-L,9,0
Sub010 ISO-P-S,ISO-P-S,10,0
Sub010 ISO-M-S,ISO-M-S,10,0
Sub010 ISO-M-M,ISO-M-M,10,0
Sub010 ISO-M-L,ISO-M-L,10,0
Sub011 ISO-P-S,ISO-P-S,11,0
Sub011 ISO-M-S,ISO-M-S,11,0
Sub011 ISO-M-M,ISO-M-M,11,0
Sub011 ISO-M-L,ISO-M-L,11,0
Sub012 ISO-P-S,ISO-P-S,12,0
Sub012 ISO-M-S,ISO-M-S,12,0
Sub012 ISO-M-M,ISO-M-M,12,0
Sub012 ISO-M-L,ISO-M-L,12,0
Sub013 ISO-P-S,ISO-P-S,13,0
Sub013 ISO-M-S,ISO-M-S,13,0
Sub013 ISO-M-M,ISO-M-M,13,0
Sub013 ISO-M-L,ISO-M-L,13,0
Sub014 ISO-P-S,ISO-P-S,14,0
Sub014 ISO-M-S,ISO-M-S,14,0
Sub014 ISO-M-M,ISO-M-M,14,0
Sub014 ISO-M-L,ISO-M-L,14,0
Sub015 ISO-P-S,ISO-P-S,15,0
Sub015 ISO-M-S,ISO-M-S,15,0
Sub015 ISO-M-M,ISO-M-M,15,0
Sub015 ISO-M-L,ISO-M-L,15,0
Sub016 ISO-P-S,ISO-P-S,16,0
Sub016 ISO-M-S,ISO-M-S,16,0
Sub016 ISO-M-M,ISO-M-M,16,0
Sub016 ISO-M-L,ISO-M-L,16,0
Sub017 ISO-P-S,ISO-P-S,17,0
Sub017 ISO-M-S,ISO-M-S,17,0
Sub017 ISO-M-M,ISO-M-M,17,0
Sub017 ISO-M-L,ISO-M-L,17,0
Sub018 ISO-P-S,ISO-P-S,18,0
Sub018 ISO-M-S,ISO-M-S,18,0
Sub018 ISO-M-M,ISO-M-M,18,0
Sub018 ISO-M-L,ISO-M-L,18,0
Sub019 ISO-P-S,ISO-P-S,19,0
Sub019 ISO-M-S,ISO-M-S,19,0
Sub019 ISO-M-M,ISO-M-M,19,0
Sub019 ISO-M-L,ISO-M-L,19,0
Sub020 ISO-P-S,ISO-P-S,20,0
Sub020 ISO-M-S,ISO-M-S,20,0
Sub020 ISO-M-M,ISO-M-M,20,0
Sub020 ISO-M-L,ISO-M-L,20,0
Sub021 ISO-P-S,ISO-P-S,21,0
Sub021 ISO-M-S,ISO-M-S,21,0
Sub021 ISO-M-M,ISO-M-M,21,0
Sub021 ISO-M-L,ISO-M-L,21,0
Sub022 ISO-P-S,ISO-P-S,22,0
Sub022 ISO-M-S,ISO-M-S,22,0
Sub022 ISO-M-M,ISO-M-M,22,0
Sub022 ISO-M-L,ISO-M-L,22,0
Sub023 ISO-P-S,ISO-P-S,23,0
Sub023 ISO-M-S,ISO-M-S,23,0
Sub023 ISO-M-M,ISO-M-M,23,0
Sub023 ISO-M-L,ISO-M-L,23,0
Sub024 ISO-P-S,ISO-P-S,24,0
Sub024 ISO-M-S,ISO-M-S,24,0
Sub024 ISO-M-M,ISO-M-M,24,0
Sub024 ISO-M-L,ISO-M-L,24,0
Sub025 ISO-P-S,ISO-P-S,25,0
Sub025 ISO-M-S,ISO-M-S,25,0
Sub025 ISO-M-M,ISO-M-M,25,0
Sub025 ISO-M-L,ISO-M-L,25,0
Sub026 ISO-P-S,ISO-P-S,26,0
Sub026 ISO-M-S,ISO-M-S,26,0
Sub026 ISO-M-M,ISO-M-M,26,0
Sub026 ISO-M-L,ISO-M-L,26,0
Sub027 ISO-P-S,ISO-P-S,27,0
Sub027 ISO-M-S,ISO-M-S,27,0
Sub027 ISO-M-M,ISO-M-M,27,0
Sub027 ISO-M-L,ISO-M-L,27,0
Sub028 ISO-P-S,ISO-P-S,28,0
Sub028 ISO-M-S,ISO-M-S,28,0
Sub028 ISO-M-M,ISO-M-M,28,0
Sub028 ISO-M-L,ISO-M-L,28,0
Sub029 ISO-P-S,ISO-P-S,29,0
Sub029 ISO-M-S,ISO-M-S,29,0
Sub029 ISO-M-M,ISO-M-M,29,0
Sub029 ISO-M-L,ISO-M-L,29,0
Sub030 ISO-P-S,ISO-P-S,30,0
Sub030 ISO-M-S,ISO-M-S,30,0
Sub030 ISO-M-M,ISO-M-M,30,0
Sub030 ISO-M-L,ISO-M-L,30,0
Sub031 ISO-P-S,ISO-P-S,31,0
Sub031 ISO-M-S,ISO-M-S,31,0
Sub031 ISO-M-M,ISO-M-M,31,0
Sub031 ISO-M-L,ISO-M-L,31,0
Sub032 ISO-P-S,ISO-P-S,32,0
Sub032 ISO-M-S,ISO-M-S,32,0
Sub032 ISO-M-M,ISO-M-M,32,0
Sub032 ISO-M-L,ISO-M-L,32,0
Sub033 ISO-P-S,ISO-P-S,33,0
Sub033 ISO-M-S,ISO-M-S,33,0
Sub033 ISO-M-M,ISO-M-M,33,0
Sub033 ISO-M-L,ISO-M-L,33,0
Sub034 ISO-P-S,ISO-P-S,34,0
Sub034 ISO-M-S,ISO-M-S,34,0
Sub034 ISO-M-M,ISO-M-M,34,0
Sub034 ISO-M-L,ISO-M-L,34,0
Sub035 ISO-P-S,ISO-P-S,35,0
Sub035 ISO-M-S,ISO-M-S,35,0
Sub035 ISO-M-M,ISO-M-M,35,0
Sub035 ISO-M-L,ISO-M-L,35,0
Sub036 ISO-P-S,ISO-P-S,36,0
Sub036 ISO-M-S,ISO-M-S,36,0
Sub036 ISO-M-M,ISO-M-M,36,0
Sub036 ISO-M-L,ISO-M-L,36,0
Sub037 ISO-P-S,ISO-P-S,37,0
Sub037 ISO-M-S,ISO-M-S,37,0
Sub037 ISO-M-M,ISO-M-M,37,0
Sub037 ISO-M-L,ISO-M-L,37,0
Sub038 ISO-P-S,ISO-P-S,38,0
Sub038 ISO-M-S,ISO-M-S,38,0
Sub038 ISO-M-M,ISO-M-M,38,0
Sub038 ISO-M-L,ISO-M-L,38,0
Sub039 ISO-P-S,ISO-P-S,39,0
Sub039 ISO-M-S,ISO-M-S,39,0
Sub039 ISO-M-M,ISO-M-M,39,0
Sub039 ISO-M-L,ISO-M-L,39,0
Sub040 ISO-P-S,ISO-P-S,40,0
Sub040 ISO-M-S,ISO-M-S,40,0
Sub040 ISO-M-M,ISO-M-M,40,0
Sub040 ISO-M-L,ISO-M-L,40,0
Sub041 ISO-P-S,ISO-P-S,41,0
Sub041 ISO-M-S,ISO-M-S,41,0
