SB574,NEAR_FID,DISTANCE
1,0,34198.22007260000
1,4,24641.70318100000
1,1,24023.32568140000
1,2,14556.74707070000
1,3,16813.54816010000
2,0,32997.48969400000
2,4,23033.58362320000
2,1,22378.20300180000
2,2,12740.10058070000
2,3,16308.16581940000
3,0,38252.71846560000
3,4,26639.27164170000
3,1,25761.61955020000
3,2,15243.47356960000
3,3,23344.48312220000
4,0,38074.00662690000
4,4,26074.53819400000
4,1,25150.54478680000
4,2,14641.89406920000
4,3,23986.29149640000
5,0,45592.44790880000
5,4,32352.69606390000
5,1,31266.21063320000
5,2,21893.60315400000
5,3,34458.65542750000
6,0,41888.87951570000
6,4,29060.72563390000
6,1,28027.26281660000
6,2,18000.51993650000
6,3,29498.02992170000
7,0,43177.56499850000
7,4,30177.82195280000
7,1,29122.02464570000
7,2,19315.92315740000
7,3,31247.71573940000
8,0,39576.11724270000
8,4,27161.07298190000
8,1,26182.17947910000
8,2,15817.10370240000
8,3,26270.83679750000
9,0,35858.92980480000
9,4,24383.95784710000
9,1,23532.20265070000
9,2,13047.43897470000
9,3,21054.52993170000
10,0,31794.32844490000
10,4,22468.56337340000
10,1,21895.54482260000
10,2,12831.72051520000
10,3,14516.93348140000
11,0,32184.70045540000
11,4,21861.28740670000
11,1,21170.28835360000
11,2,11361.05239880000
11,3,16157.33795320000
12,0,30855.40506610000
12,4,21039.67201400000
12,1,20419.75265910000
12,2,11108.58879870000
12,3,14392.48631950000
13,0,30509.93302320000
13,4,21424.49441290000
13,1,20890.84584760000
13,2,12189.19878190000
13,3,13191.91679640000
14,0,43757.23971590000
14,4,30574.39032440000
14,1,29495.72807770000
14,2,20010.88720680000
14,3,32537.53604180000
15,0,37672.93545800000
15,4,25176.24453590000
15,1,24191.06747880000
15,2,13862.66635220000
15,3,24871.49882570000
16,0,39724.20094750000
16,4,26883.76947690000
16,1,25851.42510390000
16,2,15836.57017840000
16,3,27659.04497710000
17,0,41070.97103750000
17,4,28044.72257370000
17,1,26987.45629910000
17,2,17228.42843920000
17,3,29500.78326400000
18,0,42073.46530360000
18,4,28774.48026830000
18,1,27682.20643260000
18,2,18501.17584860000
18,3,31647.33914780000
19,0,38631.67277510000
