AFMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,AFMO Leng(m),Hybrid DA [m2],NEAR_FID,DISt to NHD blueline (m),AREASYMBOL,MUSYM,MUKEY,WEI,FrmlndCls,DrainClass,FloodFCls,GravelSrc,HydrcRatng,hydrcRat_1,KfactRF,KfactWS,NirrCpCls,NirrCpScls,OrgMatter,PondFCls,Slope,SandSrc,SurfText,Tfactor,WEG,compname,Elev,ElevMin,ElevMax
10009,MAP,1,70,1082,1059,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,1840.861119,1403443.372,1615,0,MN043,L107A,1674439,86,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.24,0.24,2,w,6.08,None,1,Poor,clay loam,5,4L,Glencoe,345.0537906,331,356
10742,COB,1,60,1156,1121,Blue Earth,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,1114.938791,972935.1656,205,0,MN047,114,397804,48,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,0.75,0.28,0.28,3,w,7.5,Frequent,4.25,Poor,clay loam,5,6,Glencoe,387.6614139,370,406
10106,MAP,2,73,1106,1079,Blue Earth,Upper Maple,Map AB UG,AB,2,UM,29,1239.315082,927658.8284,366,0,MN043,86,397121,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.24,0.24,2,w,6,None,0.833333333,Poor,clay loam,5,4L,Canisteo,338.1064427,325,351
10142,MAP,1,70,1082,1059,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,1637.669088,809679.6603,1615,500.2466453,MN043,L107A,1674439,86,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.24,0.24,2,w,6.08,None,1.333333333,Poor,clay loam,5,4L,Glencoe,345.0537906,331,356
7628,MAP,1,68,868,908,Le Sueur,Upper Maple,Cobb Upper Cobb,AB,1,MC,28,1278.463997,803271.2128,1601,47.9939225,MN043,113,397077,48,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.24,0.24,2,w,5.5,None,0.875,Poor,clay loam,5,6,Webster,331.3103664,323,339
6618,COB,1,60,809,805,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,LC,27,1161.389369,788930.9629,338,0,MN161,L83A,455432,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.24,0.24,2,w,5.82,None,0.966666667,Poor,clay loam,5,6,Poorly drained soil,353.2636564,339,367
6217,LES,1,43,716,693,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,LC,24,975.4547821,764169.7862,1316,0,MN161,L126A,455486,38,Prime farmland if protected from flooding or not frequently flooded during the growing season,Poorly drained,Occasional,Poor,Partially Hydric,0.6666667,0.24,0.24,2,w,5.75,None,0.866666667,Poor,silty clay loam,5,7,Coland,357.5548721,349,366
6420,MAP,2,50,732,692,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,25,925.3323102,762046.687,452,553.2635549,MN013,310,396170,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,0.5,0.28,0.28,2,w,6,None,2,Poor,clay,5,4,Beauford,312.1667806,302,320
6505,MAP,2,50,732,692,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,25,892.7854486,756393.327,452,36.85175982,MN013,353,396179,48,Not prime farmland,Poorly drained,Frequent,Poor,All Hydric,0.6666667,0.28,0.28,6,w,8,None,1.666666667,Poor,clay loam,5,6,Comfrey,312.1667806,302,320
6171,LES,1,30,673,670,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,1058.655347,708736.7234,1316,1221.707848,MN161,L83A,455432,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.75,0.24,0.24,2,w,5.82,None,0.8,Poor,clay loam,5,6,Poorly drained soil,360.065539,349,366
8165,MAP,2,71,927,923,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,762.4248977,658170.4311,1527,268.6659623,MN043,229,397094,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.28,0.28,2,w,7,None,0.5,Poor,silty clay loam,5,4,Waldorf,323.1507519,315,333
5063,LES,1,30,554,518,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,986.1381678,654896.1281,1687,509.2063313,MN147,Gc,428234,48,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,1,0.28,0.28,3,w,7.5,Frequent,1,Poor,clay loam,5,6,Glencoe,365.439808,346,391
7315,COB,1,60,828,805,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,867.2029874,634885.0892,258,0,MN047,L83A,1678847,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.8333333,0.24,0.24,2,w,5.82,None,0.833333333,Poor,clay loam,5,6,Webster,351.9746569,339,364
5573,LES,1,45,647,660,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,1318.545706,620566.7482,1725,0,MN147,Gc,428234,48,Prime farmland if drained,Very poorly drained,None,Poor,All Hydric,0.5,0.28,0.28,3,w,7.5,Frequent,2.5,Poor,clay loam,5,6,Glencoe,382.8103421,364,401
3404,LES,1,29,364,356,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,704.8092617,614610,146,0,MN161,L49A,433241,134,Not prime farmland,Very poorly drained,None,Poor,All Hydric,0.6,0.02,0.02,6,w,38.75,Frequent,2.42,Poor,muck,2,2,Klossner,345.6440706,329,367
6957,COB,1,60,805,799,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,713.5489813,612961.0213,566,515.7810748,MN161,L78A,399529,86,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.8,0.24,0.24,2,w,5.66,None,0.76,Poor,clay loam,5,4L,Canisteo,343.4977593,332,353
9863,MAP,1,70,1082,1059,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,663.4731154,577448.7955,1615,32.85226198,MN043,L83A,1676002,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.24,0.24,2,w,5.82,None,1,Poor,clay loam,5,6,Webster,345.0537906,331,356
4144,COB,2,37,488,484,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,870.8835474,573355.1281,819,983.4343197,MN161,L82A,455431,86,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.28,0.28,2,w,5.85,None,1.55,Poor,silty clay loam,5,4,Marna,318.0298496,308,328
10026,MAP,2,73,1087,1079,Blue Earth,Upper Maple,Map AB UG,AB,2,UM,29,712.0538986,572463.27,1607,0,MN043,140,397084,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.28,0.28,2,w,6,None,1,Poor,silt loam,5,4L,Spicer,338.1516999,325,351
1030,LES,2,9,148,170,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,713.7762183,570947.5479,1169,666.2199041,MN161,L81A,399456,48,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.28,0.28,2,w,5.38,None,1.1,Poor,clay loam,5,6,Cordova,318.0620958,305,328
