BFMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,BFMO L [m],Hybrid DA [m2],FTYPE,bufferwidth [ft],A [m2],DA=BufferDL*L*2 (both sides of the stream)
14,MAP,1,69,1005,944,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,82.29334055,8229.334055,Connector,16.5,827.7393365,16454.45469
21,LES,1,29,388,365,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,2527.18368,116094.4099,StreamRiver,50,77028.55856,505307.3441
26,MAP,1,69,1045,986,Blue Earth,Upper Maple,Map AB UG,AB,1,UM,28,2662.865692,83233.50785,StreamRiver,50,81164.14629,532436.7996
35,LES,1,45,929,887,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,3412.958456,87295.94595,StreamRiver,50,104026.9737,682416.9477
38,LES,1,29,364,356,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,105.5219433,900,StreamRiver,50,3216.308831,21098.98593
75,COB,1,66,884,843,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,2180.420505,218042,StreamRiver,50,66459.21698,435972.4634
76,MAP,1,72,1134,1044,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,5208.888359,80754.79042,CanalDitch,16.5,52393.08267,1041510.977
85,LES,1,29,390,388,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,3949.49522,476225.188,StreamRiver,50,120380.6143,789696.8298
100,LES,1,30,601,519,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,3503.074428,60773.49398,StreamRiver,50,106773.7086,700435.5282
136,LES,1,45,759,686,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,2995.598164,229432.5,StreamRiver,50,91305.83203,598966.2581
146,LES,1,29,364,356,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,1459.617598,26843.47826,StreamRiver,50,44489.14437,291848.7871
181,MAP,1,69,919,907,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,1262.051028,126205,StreamRiver,50,38467.31534,252345.5886
184,LES,1,29,390,388,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,2007.2189,81673.38129,StreamRiver,50,61180.03207,401341.0104
185,COB,1,60,822,799,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,1931.22373,193122,StreamRiver,50,58863.69929,386145.8674
187,COB,1,66,884,843,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,1748.302211,139212.605,StreamRiver,50,53288.2514,349570.9292
194,MAP,1,68,908,907,Le Sueur,Upper Maple,Cobb Upper Cobb,AB,1,MC,28,2718.08895,42934.42623,StreamRiver,50,82847.35119,543478.6238
202,LES,1,29,365,364,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,195.2918616,19529.18616,Connector,16.5,1964.32366,39048.37337
205,COB,1,60,1156,1121,Blue Earth,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,3539.237453,20550,StreamRiver,50,107875.9576,707666.2816
211,LES,1,14,354,356,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,2536.413065,54020.93023,StreamRiver,50,77309.87021,507152.7486
223,LES,1,30,670,597,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,8556.058113,855606,StreamRiver,50,260788.6513,1710773.553
236,LES,1,45,989,887,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,8239.569422,618810,StreamRiver,50,251142.076,1647492.019
244,LES,1,30,505,518,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,1738.281918,173828,StreamRiver,50,52982.83286,347567.3835
258,COB,1,60,828,805,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,5761.158629,210502.5773,StreamRiver,50,175600.115,1151936.754
290,LES,1,14,374,350,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,541.3396777,1800,StreamRiver,50,16500.03338,108240.219
294,MAP,1,68,908,907,Le Sueur,Upper Maple,Cobb Upper Cobb,AB,1,MC,28,2554.576575,5738.961039,StreamRiver,50,77863.494,510784.5207
295,MAP,1,72,1046,1044,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,1234.491784,31788.88889,CanalDitch,16.5,12417.01216,246835.1508
296,MAP,1,70,1023,963,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,5840.621983,239730.6122,StreamRiver,50,178022.158,1167825.357
338,COB,1,60,809,805,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,6696.738041,142905.0691,StreamRiver,50,204116.5755,1339004.735
371,COB,1,60,1121,983,Blue Earth,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,3705.162582,411648.3871,StreamRiver,50,112933.3555,740842.812
389,LES,1,43,702,701,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,2868.834783,286883,StreamRiver,50,87442.0842,573620.0723
401,LES,1,30,536,497,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,3731.143394,90935.71429,StreamRiver,50,113725.2506,746037.6443
413,LES,1,30,490,505,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,3269.578257,326958,StreamRiver,50,99656.74526,653748.2489
414,MAP,1,69,1005,944,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,139.1787756,13917.87756,ArtificialPath,16.5,1399.915796,27828.62917
427,LES,1,30,519,525,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,3730.929321,373093,StreamRiver,50,113718.7257,745994.8407
453,LES,1,30,423,374,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,3240.74902,26930.45455,StreamRiver,50,98778.03012,647983.8776
460,COB,1,60,859,822,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,4607.509964,38859.67742,StreamRiver,50,140436.9037,921266.0883
461,LES,1,30,505,518,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,1572.623742,157262,StreamRiver,50,47933.57167,314444.2301
488,COB,1,60,799,776,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,2152.954334,215295,StreamRiver,50,65622.0481,430480.6356
489,LES,1,45,851,850,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,3208.463601,418691.5842,StreamRiver,50,97793.97055,641528.4468
530,MAP,1,69,1005,944,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,125.1999527,12519.99527,Connector,16.5,1259.311204,25033.5803
546,COB,1,60,884,843,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,8167.466088,11170.99237,StreamRiver,50,248944.3663,1633075.043
549,MAP,1,69,1005,944,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,1665.295566,64572.97297,StreamRiver,50,50758.20886,332973.8502
561,LES,1,29,390,388,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,3535.320861,69873.07692,StreamRiver,50,107756.5798,706883.1638
566,COB,1,60,805,799,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,2571.343474,307070.8861,StreamRiver,50,78374.54908,514137.0419
568,LES,1,45,823,683,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,6851.153767,685115,StreamRiver,50,208823.1668,1369879.974
571,MAP,1,69,1005,944,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,271.2417749,27124.17749,ArtificialPath,16.5,2728.258269,54234.46741
576,COB,1,66,941,879,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,UL,27,5150.641523,185095.6268,CanalDitch,16.5,51807.21269,1029864.592
580,LES,1,29,428,365,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,2900.958382,214999.4681,StreamRiver,50,88421.21148,580043.1473
583,COB,1,60,946,843,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,12141.0923,124248.9493,StreamRiver,50,370060.4934,2427596.837
597,LES,1,45,661,589,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,2788.360245,278836,StreamRiver,50,84989.22028,557529.285
610,LES,1,29,364,356,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,1430.81264,143081,StreamRiver,50,43611.16928,286089.2705
611,MAP,1,72,1143,1134,Blue Earth,Upper Maple,Map AB UG,AB,1,UM,30,2314.023649,35608.69565,CanalDitch,16.5,23275.37547,462686.2518
625,LES,1,29,364,356,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,218.7351802,21873.51802,Connector,16.5,2200.125936,43735.83679
656,LES,1,45,686,683,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,195.2236331,19522.36331,ArtificialPath,16.5,1963.637391,39034.73118
663,LES,1,29,364,356,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,258.5546937,25855.46937,StreamRiver,50,7880.747064,51697.70074
673,LES,1,45,686,683,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,453.1266494,45312.66494,StreamRiver,50,13811.30027,90602.12979
681,LES,1,29,360,364,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,9079.785936,246890.1316,CanalDitch,16.5,91328.11886,1815492.302
742,LES,1,45,687,686,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,639.7361549,63973.61549,ArtificialPath,16.5,6434.722141,127914.4765
749,LES,1,45,687,686,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,92.40155909,9240.155909,ArtificialPath,16.5,929.411842,18475.58086
758,COB,1,66,1030,955,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,1724.235361,47820,StreamRiver,50,52554.69379,344758.7913
762,LES,1,45,887,850,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,2420.445373,301610.9589,StreamRiver,50,73775.17498,483965.1479
770,LES,1,30,497,490,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,2343.848558,141916.6667,StreamRiver,50,71440.50405,468649.7066
773,LES,1,45,847,851,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,2077.184558,290119.1489,StreamRiver,50,63312.58534,415330.5598
794,LES,1,43,747,701,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,2418.013946,8513.664596,StreamRiver,50,73701.06507,483478.9869
841,LES,1,29,365,364,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,564.8330156,56483.30156,StreamRiver,50,17216.11031,112937.6837
853,COB,1,66,974,955,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,UL,27,4691.328378,161729.1536,StreamRiver,50,142991.689,938025.4796
875,LES,1,43,701,693,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,213.6070187,21360.70187,StreamRiver,50,6510.74193,42710.46706
883,MAP,1,68,883,875,Le Sueur,Upper Maple,Map AB UG,AB,1,MC,28,6161.478343,31704.64548,StreamRiver,50,187801.8599,1231980.201
915,LES,1,45,647,660,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,1382.770851,138277,StreamRiver,50,42146.85552,276483.3722
959,MAP,1,72,1051,1046,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,5955.207507,595521,CanalDitch,16.5,59899.85919,1190736.595
