ICMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,L[m],max_flowacc,mean_flowlen,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,Elev,ElevMin,ElevMax
1175,LES,3,7,129,105,Le Sueur,Upper Le Sueur,LS btwn gauges,BT,3,LO,10,1406.003699,985569,62307.82422,LeSueur River,32080,CD26,PUBLIC DITCH OPEN,BLUE EARTH,301.4882598,289,311
1060,LES,2,14,276,283,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,258.3417321,681923,86903.32031,LeSueur River,32015,CD28,PUBLIC DITCH OPEN,WASECA,319.0305398,308,329
1133,LES,2,9,170,169,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,LO,9,3009.794609,234796,71434.92188,LeSueur River,32017,JD11,PUBLIC DITCH OPEN,WASECA,314.5027855,295,325
1054,LES,1,30,504,525,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,202.2351502,230520,131581.5313,LeSueur River,32022,CD34,PUBLIC DITCH OPEN,WASECA,352.2016898,340,368
1457,LES,2,9,148,170,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,1141.645995,218538,73737.17969,LeSueur River,32017,JD11,PUBLIC DITCH OPEN,WASECA,318.0620958,305,328
1155,LES,2,9,134,148,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,1806.099687,215500,75316.51563,LeSueur River,32017,JD11,PUBLIC DITCH OPEN,WASECA,314.3687737,306,324
1443,COB,2,54,741,776,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,LC,27,1402.145174,203359,116365.0156,LeSueur River,32084,CD40,PUBLIC DITCH OPEN,WASECA,337.6510941,328,346
1407,MAP,2,64,815,767,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,1178.987999,189650,90518.20313,LeSueur River,32050,CD3,PUBLIC DITCH OPEN,FARIBAULT,312.5954374,306,320
1153,LES,2,9,103,134,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,811.8798578,173986,76712.46094,LeSueur River,32017,JD11,PUBLIC DITCH OPEN,WASECA,314.105605,306,320
1397,MAP,2,53,911,890,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,996.0570166,162836,88721.64063,LeSueur River,32054,JD1,PUBLIC DITCH OPEN,FARIBAULT,316.487411,311,323
1362,MAP,2,64,815,767,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,1680.626908,158980,92176.16406,LeSueur River,32052,JD9,PUBLIC DITCH OPEN,BLUE EARTH-FARIBAULT,312.5954374,306,320
1406,MAP,2,64,874,815,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,3430.115734,158978,94097.9375,LeSueur River,32050,CD3,PUBLIC DITCH OPEN,FARIBAULT,312.6943191,310,320
1152,LES,2,9,102,103,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,478.0175185,157316,77423.0625,LeSueur River,32017,JD11,PUBLIC DITCH OPEN,WASECA,331.1062608,309,349
1151,LES,2,9,94,103,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,1508.054833,157313,77943.54688,LeSueur River,32017,JD11,PUBLIC DITCH OPEN,WASECA,318.314669,306,331
1010,LES,1,30,560,530,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,816.5235084,138561,131143.875,LeSueur River,32026,CD26,PUBLIC DITCH OPEN,WASECA,346.6463336,338,359
1405,MAP,2,64,874,815,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,1050.622077,138017,96617.14844,LeSueur River,32050,CD3,PUBLIC DITCH OPEN,FARIBAULT,312.6943191,310,320
1150,LES,2,9,78,94,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,1840.413083,137978,79712.34375,LeSueur River,32017,JD11,PUBLIC DITCH OPEN,WASECA,315.9202301,306,329
1404,MAP,2,64,909,874,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,2869.962233,136918,98676.125,LeSueur River,32050,CD3,PUBLIC DITCH OPEN,FARIBAULT,316.8983688,310,323
1148,LES,2,9,57,78,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,1248.257678,133725,81224.70313,LeSueur River,32017,JD11,PUBLIC DITCH OPEN,WASECA,319.8320561,307,342
