GeneID,MOsID,MOs,SedRed,Duck,Cost,sedbcr,duckbcr,SB574,HydroSB,Zone,watershed,coords_x1,coords_x2,ld0.0,ld0.1,ld0.2,ld0.3,ld0.4,ld0.5,ld0.6,ld0.7,ld0.8,ld0.9,ld1.0
1,3,TLMO,10.0747,0,1526.6521,6.599211438,0,3,1,3,LES,177009.7095,2360876.271,0,0.659921144,1.319842288,1.979763431,2.639684575,3.299605719,3.959526863,4.619448007,5.27936915,5.939290294,6.599211438
2,5,TLMO,10.4956,0,2346.3036,4.473248901,0,1,1,3,LES,168739.7546,2360916.715,0,0.44732489,0.89464978,1.34197467,1.78929956,2.23662445,2.683949341,3.131274231,3.578599121,4.025924011,4.473248901
3,8,TLMO,0.0369,0,8.2529,4.471155594,0,1,1,3,LES,168925.9681,2360257.195,0,0.447115559,0.894231119,1.341346678,1.788462238,2.235577797,2.682693356,3.129808916,3.576924475,4.024040034,4.471155594
4,12,TLMO,0.0452,0,10.0897,4.47981605,0,1,1,3,LES,168300.6632,2360134.616,0,0.447981605,0.89596321,1.343944815,1.79192642,2.239908025,2.68788963,3.135871235,3.58385284,4.031834445,4.47981605
5,13,TLMO,2.5156,0,562.369,4.473219541,0,1,1,3,LES,169208.352,2360268.697,0,0.447321954,0.894643908,1.341965862,1.789287816,2.23660977,2.683931725,3.131253679,3.578575633,4.025897587,4.473219541
6,15,TLMO,0.7948,0,692.6769,1.147432519,0,8,1,2,LES,179794.5546,2359648.511,0,0.114743252,0.229486504,0.344229756,0.458973007,0.573716259,0.688459511,0.803202763,0.917946015,1.032689267,1.147432519
7,18,TLMO,33.5134,0,5078.4109,6.59919031,0,3,1,3,LES,176886.652,2360083.997,0,0.659919031,1.319838062,1.979757093,2.639676124,3.299595155,3.959514186,4.619433217,5.279352248,5.939271279,6.59919031
8,19,TLMO,0.6532,0,1380.6277,0.473118133,0,4,1,3,LES,177499.5609,2359788.783,0,0.047311813,0.094623627,0.14193544,0.189247253,0.236559067,0.28387088,0.331182693,0.378494507,0.42580632,0.473118133
9,21,TLMO,0.0688,0,59.9589,1.147452672,0,8,1,2,LES,181227.9769,2359210.155,0,0.114745267,0.229490534,0.344235802,0.458981069,0.573726336,0.688471603,0.80321687,0.917962137,1.032707405,1.147452672
10,24,TLMO,1.8471,0,1609.7465,1.14744775,0,8,1,2,LES,180183.2334,2359307.497,0,0.114744775,0.22948955,0.344234325,0.4589791,0.573723875,0.68846865,0.803213425,0.9179582,1.032702975,1.14744775
