RAMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,Tips,area_m2,volume,evol_class,total Ravine load [mg],Ravine load per tip [Mg/tip],name,surf_elev,mx_chnl_le,river_loc,river_elev,mean_slp,baselevel,terrelev,terrelev_1,terrelev2,terrelev3,mean_rlf,TotRelief,avg_elv,chan_leng,extr_dist,rivmth_elv,km_up
4,COB,3,10,446,349,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,14,2,107157,403715.6501,2,237.88854,118.94427,cyrano,302,1190,29310,292.9,6.260585606,293,295,0,0,0,3.76753214,9,0,0,0,0,29310
17,COB,3,10,337,192,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,13,4,170755,1308001.842,2,379.0761,94.769025,cleopatra,302,2043,15130,278.5,13.74010969,279,281,0,284,0,7.660096397,23,0,0,0,0,15130
3,COB,3,10,377,349,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,14,1,42071.60156,117050.2513,2,93.39895547,93.39895547,cyrus,304,453,30310,293.7,8.233943324,294,296,0,0,0,2.782166296,10,0,0,0,0,30310
103,LES,3,6,52,62,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,3,119541,542965.5713,0,265.38102,88.46034,lucille,299,1806,0,278.2,15.5175523,278,0,290,0,0,4.542102,0,283,0,505,0,34445
35,MAP,2,50,643,615,Le Sueur,Upper Maple,Map AB UG,AB,2,LO,25,9,337712,1688558.604,0,749.72064,83.30229333,musetta,313,280,0,299.4,0,299,0,0,0,0,0,0,308,280,0,299.3999939,51340
7,COB,3,10,314,331,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,7,249335,1181307.912,0,553.5237,79.07481429,curie,304,1849,27050,291,7.384915282,291,296,0,294,0,4.73783493,13,0,0,0,0,27050
14,COB,3,10,253,271,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,13,5,152667,773147.467,0,338.92074,67.784148,concepcion,303,1407,17730,282,10.10292348,282,290,0,0,0,5.064258827,21,0,0,0,0,17730
92,LES,3,6,91,75,Le Sueur,Above Red Jacket,LS BL LG,BL,3,LO,2,2,59485.80078,1139152.767,0,132.0584777,66.02923887,lars,300,528,0,238.5,25.9,239,0,243,242,0,19.15,0,258,0,0,0,4110
2,COB,3,10,377,349,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,14,2,59017.30078,104783.1049,0,131.0184077,65.50920387,czar,303,502,30730,294.3,5.399841496,294,0,0,0,0,1.775463494,9,0,0,0,0,30730
77,MAP,2,50,643,615,Le Sueur,Upper Maple,Map AB UG,AB,2,LO,25,2,58662.10156,234648.2818,0,130.2298655,65.11493273,myron,312,176,0,299.8,0,300,0,0,0,0,0,0,308,176,0,299.7999878,53060
28,COB,3,10,206,136,Le Sueur,Lower LeSueur,Cobb BL LG,BL,3,LO,4,10,286083,4008004.143,2,635.10426,63.510426,carina,303,2802,5220,261.9,21.56169483,265,272,0,0,0,14.00991418,38,0,0,323,0,5220
11,COB,3,10,343,271,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,13,2,56442.10156,234477.5492,0,125.3014655,62.65073273,cosima,303,802,23240,288.3,11.00056483,288,0,0,0,0,4.154302756,15,0,0,0,0,23240
25,COB,3,10,272,192,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,13,2,53623.10156,499888.7815,2,119.0432855,59.52164273,catalina,303,798,8160,269.4,24.87892101,270,278,0,283,0,9.322257465,33,0,0,270,0,8160
61,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,7,180317,2344118.288,0,400.30374,57.18624857,marla,303,1790,0,264.4,0,264,0,280,0,0,0,0,290,1790,0,264.3999939,9690
90,LES,3,6,143,136,Le Sueur,Lower LeSueur,LS BL LG,BL,3,LO,7,3,74440.60156,358803.6114,2,165.2581355,55.08604516,leigh,397,846,0,250.7,18.29,274,0,258,253,0,4.82,0,256,0,973,0,15215
93,LES,3,6,91,75,Le Sueur,Above Red Jacket,LS BL LG,BL,3,LO,2,9,211308,3908989.25,2,469.10376,52.12264,landis,301,1125,0,237.6,24.13,244,0,0,0,0,18.499,0,256,0,370,0,2940
59,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,6,140676,1266081.287,1,312.30072,52.05012,mattia,302,1270,0,269.9,0,273,0,285,0,0,0,0,293,1270,390,269.8999939,14050
21,COB,3,10,272,192,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,13,3,69588.5,305193.212,2,154.48647,51.49549,charlene,302,835,12800,275,7.598355963,289,0,0,0,0,4.385685178,13,0,0,635,0,12800
63,MAP,3,13,336,166,Blue Earth,Lower Maple,Map btwn gauges,BT,3,LO,19,1,21967.5,307544.7373,2,48.76785,48.76785,marigold,302,456,0,262.1,0,262,0,267,0,0,0,0,288,456,0,262.1000061,8260
89,LES,3,6,143,136,Le Sueur,Lower LeSueur,LS BL LG,BL,3,LO,7,5,106928,804101.008,2,237.38016,47.476032,leif,301,678,0,250,14.77,267,0,260,253,0,7.52,0,258,0,0,0,14705
31,COB,3,10,192,136,Le Sueur,Lower LeSueur,Cobb BL LG,BL,3,LO,4,4,83604.79688,1056972.937,0,185.6026491,46.40066227,calhoun,304,775,2630,253.8,27.49035433,254,265,0,280,0,12.64249138,50,0,0,0,0,2630
84,LES,3,6,141,119,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,11,228790,2105131.602,2,507.9138,46.17398182,lias,301,2253,0,259.2,21.228,264,0,271,0,0,9.18,0,268,0,727,0,22100
45,MAP,3,13,470,353,Le Sueur,Lower Maple,Map btwn gauges,BT,3,LO,19,3,59249.10156,473992.721,0,131.5330055,43.84433516,mirabel,307,458,0,292.7,0,292,0,0,0,0,0,0,299,458,0,292.7000122,31820
79,LES,3,6,100,109,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,7,137474,1264764.165,0,305.19228,43.59889714,libra,301,1093,0,260,21.88,272,0,283,263,0,9.2,0,269,0,0,0,23215
91,LES,3,6,99,75,Le Sueur,Above Red Jacket,LS BL LG,BL,3,LO,2,21,404200,6103427.071,0,897.324,42.72971429,lavender,300,2429,0,240.4,20.87,240,0,265,248,0,15.1,0,256,0,0,0,5570
94,LES,3,6,76,69,Le Sueur,Above Red Jacket,LS BL LG,BL,3,LO,2,28,531151,8578085.318,0,1179.15522,42.11268643,lakota,298,2874,0,237.5,22.7,238,0,241,0,0,16.15,0,254,0,0,0,2940
16,COB,3,10,337,272,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,13,3,54524.10156,284896.2856,3,121.0435055,40.34783516,clinton,302,764,15140,278.5,12.16413106,281,284,0,0,0,5.225145337,21,0,0,407,0,15140
24,COB,3,10,272,192,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,13,3,52973.80078,380949.2089,1,117.6018377,39.20061258,caynne,304,881,8480,269.4,20.54834679,277,288,0,271,0,7.191281171,27,0,0,402,0,8480
38,MAP,3,13,612,510,Le Sueur,Lower Maple,Map AB UG,AB,3,LO,19,1,17610.30078,88051.55642,0,39.09486773,39.09486773,moxie,309,278,0,297,0,298,0,0,0,0,0,0,304,278,42,297,41730
8,COB,3,10,314,331,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,2,34058.5,142554.2696,2,75.60987,37.804935,crete,306,384,26080,290.6,6.86232063,296,0,0,0,0,4.185568345,10,0,0,896,0,26080
97,LES,3,6,92,100,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,4,3,49787.80078,721315.177,2,110.5289177,36.84297258,lola,304,591,0,263.9,19.872174,268,0,286,0,0,14.409037,0,278,0,116,0,25890
42,MAP,3,13,492,447,Le Sueur,Lower Maple,Map btwn gauges,BT,3,LO,19,6,97655.5,488277.6398,2,216.79521,36.132535,mora,307,819,0,295,0,295,0,0,0,0,0,0,302,819,0,295,36050
87,LES,3,6,117,143,Le Sueur,Lower LeSueur,LS BL LG,BL,3,LO,7,29,470731,4467239.092,2,1045.02282,36.03526966,lex,301,2662,0,251.3,20.9,256,0,277,263,257,9.49,0,261,0,278,0,15655
