TotalN,TMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area [m2],usle_t,LAND_COVER,Default conventional,Default Reduced,Default Conservation,USLE/area [Mg/m2],FrmlndCls,DrainClass,FloodFCls,GravelSrc,hydrcRat_1,KfactorRF,KfactorWS,HydrcRatng,KfactRF,KfactWS,OrgMatter,PondFCls,Slope,SandSrc,SurfText,compname,AREASYMBOL,MUSYM
4626,12,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,2722.10476,0.0003845,Cultivated Crops,907.3682535,907.3682535,907.3682535,1.41251E-07,Prime farmland if drained,Very poorly drained,None,Poor,1,0.15,0.15,All Hydric,0.28,0.28,36.5,Frequent,0.5,Poor,silty clay,Lura,MN013,211
4626,8,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,2226.56734,0.0109473,Cultivated Crops,742.1891134,742.1891134,742.1891134,4.91667E-06,Farmland of statewide importance,Very poorly drained,None,Poor,1,0.15,0.15,All Hydric,0.02,0.02,36.25,Frequent,0.5,Poor,muck,Caron,MN013,524
4626,34,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,75367.86668,12.134346,Cultivated Crops,25122.62223,25122.62223,25122.62223,0.000161002,Farmland of statewide importance,Very poorly drained,None,Poor,0.375,0.24875,0.24875,All Hydric,0.02,0.02,11.9375,Frequent,2.875,Poor,muck,Caron,MN013,524
4626,13,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,151722.0141,22.0915642,Cultivated Crops,50574.0047,50574.0047,50574.0047,0.000145606,All areas are prime farmland,Moderately well drained,None,Poor,0.0909091,0.2581818,0.2581818,Not Hydric,0.24,0.24,4.129090909,None,9.554545455,Poor,clay loam,Le Sueur,MN013,239
4626,299,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,190958.933,48.7895241,Cultivated Crops,63652.97766,63652.97766,63652.97766,0.000255497,Prime farmland if drained,Poorly drained,None,Poor,0.2818792,0.2449664,0.2449664,All Hydric,0.28,0.28,7.600134228,None,3.943624161,Poor,clay loam,Cordova,MN013,109
4626,35,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,279325.003,83.3460236,Cultivated Crops,93108.33434,93108.33434,93108.33434,0.000298384,Prime farmland if drained,Poorly drained,None,Poor,0.2857143,0.2747619,0.2747619,All Hydric,0.28,0.28,4.04,None,9.461904762,Poor,silty clay loam,Marna,MN013,110
4626,29,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,534720.4904,213.2153168,Cultivated Crops,178240.1635,178240.1635,178240.1635,0.000398742,Prime farmland if drained,Very poorly drained,None,Poor,0.3125,0.2534375,0.2534375,All Hydric,0.28,0.28,9.765625,Frequent,4.234375,Poor,silty clay,Lura,MN013,211
4626,5,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,633011.2335,228.8334961,Cultivated Crops,211003.7445,211003.7445,211003.7445,0.0003615,All areas are prime farmland,Well drained,None,Poor,0.3235294,0.2661765,0.2661765,Not Hydric,0.24,0.24,4.529411765,None,4.014705882,Poor,loam,Lester,MN013,106B
4626,42,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,765481.8408,262.3630371,Cultivated Crops,255160.6136,255160.6136,255160.6136,0.000342742,All areas are prime farmland,Well drained,None,Poor,0.2698413,0.26,0.26,Not Hydric,0.24,0.24,6.325396825,None,4.373015873,Poor,loam,Lester,MN013,106B
4626,118,LES,3,5,2,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,616.2222863,0.3563784,Cultivated Crops,205.4074288,205.4074288,205.4074288,0.000578328,Prime farmland if drained,Poorly drained,None,Poor,0.5,0.28,0.28,All Hydric,0.28,0.28,4.25,None,2.5,Poor,clay loam,Cordova,MN013,109
