SRed,Duck,Cost
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
78.0,78.0,78.0
