Join_Count,TARGET_FID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,DITCHALL_,DITCHALL_I,UNIQUE_ID,MAJOR,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,TWP,RNG,SEC,PEDIGREE,PEDYEAR,ID,SedRed,Cost,Duck,max_flowac,mean_flowl,Join_Cou_1,TARGET_F_1,Subbasin,Area,Elev,ElevMin,ElevMax,SubbasinR,subwatersh,Watershed,budget_rat,Bluff_avgE,River,Subbasin_1,Zone,Subbasin_2,watershed_,Zone_1,gag_loc,Shape_Leng,Shape_Le_1,Le2,X10_,X20_,X30_,X40_,X50_,X60_,X70_,X80_,X90_,Type
2,50,19059,19059,0,0,5908.115517,15643,177,32020CD2,32,LeSueur River,32020,CD2,PUBLIC DITCH OPEN,BLUE EARTH,108,25,11,MSUWRC,1993,921,39.207,624818.565,0,21775,102712,2,921,50,15128600.14,315.5984625,308,327,30,Lower LeSueur,Le Sueur,LS btwn gauges,0.09,LES,2,3,1,LO,3,BT,32400.00014,5920.179486,5920.179486,1,1,1,1,1,1,1,1,1,ICMO
2,58,19059,19059,0,0,4173.598566,15644,239,32078CD12,32,LeSueur River,32078,CD12,PUBLIC DITCH OPEN,BLUE EARTH,108,26,16,MSUWRC,1993,922,23.314,441383.019,0,4868,41738.7,1,922,58,10652100,304.5790314,269,311,64,Lower LeSueur,Le Sueur,LS btwn gauges,0.09,LES,6,3,4,LO,3,BT,25179.9996,4171.978299,4171.978299,1,1,1,1,1,1,1,1,1,ICMO
2,722,19059,19059,0,0,5901.799377,15650,390,32060CD16,32,LeSueur River,32060,CD16,PUBLIC DITCH OPEN,BLUE EARTH,105,25,7,MSUWRC,1993,923,76.691,624150.595,0,13652,74267,1,923,645,12852599.89,312.4326907,307,318,618,Upper Cobb,Le Sueur,Cobb Upper Cobb,0.06,COB,35,2,27,UM,1,AB,26380.00005,5906.503002,5906.503002,1,1,1,1,1,1,1,1,4,ICMO
1,1095,19059,19059,0,0,1942.714205,15653,1157,32083CD87,32,LeSueur River,32083,CD87,PUBLIC DITCH OPEN,FARIBAULT,103,24,6,MSUWRC,1993,924,21.379,205453.651,0,3929,122310,1,924,1045,6726799.863,346.3680651,331,358,986,Upper Maple,Blue Earth,Map AB UG,0.05,MAP,69,1,28,UM,1,AB,23700.00013,1943.246197,1943.246197,1,1,1,1,1,1,1,1,4,ICMO
1,1142,19059,19059,0,0,1512.27072,15654,1163,32039CD39,32,LeSueur River,32039,CD39,PUBLIC DITCH OPEN,FREEBORN,103,23,12,MSUWRC,1993,925,19.057,159931.677,0,14192,149173,2,925,1092,5051299.947,378.0490765,369,394,1030,Upper Cobb,Le Sueur,Cobb Upper Cobb,0.06,COB,66,1,27,MC,1,AB,14879.99971,1512.708567,1512.708567,1,1,1,1,1,1,1,1,4,ICMO
1,1095,19059,19059,0,0,1051.205191,15655,1398,32083CD87,32,LeSueur River,32083,CD87,PUBLIC DITCH OPEN,FARIBAULT,103,24,6,MSUWRC,1993,926,12.113,111171.238,0,4609,120968,1,926,1045,6726799.863,346.3680651,331,358,986,Upper Maple,Blue Earth,Map AB UG,0.05,MAP,69,1,28,UM,1,AB,23700.00013,1050.625932,1050.625932,1,1,1,1,1,1,1,1,4,ICMO
1,991,22207,22208,0,0,3913.913503,15675,1009,32039CD43,32,LeSueur River,32039,CD43,PUBLIC DITCH OPEN,FREEBORN,104,23,17,MSUWRC,1993,927,51.651,413919.77,0,4435,136924,1,927,941,6128999.953,364.2954152,357,378,879,Upper Cobb,Le Sueur,Cobb Upper Cobb,0.06,COB,66,1,27,MC,1,AB,18639.99989,3920.119329,3920.119329,1,1,1,1,1,1,1,1,4,ICMO
1,929,22208,22200,0,0,2460.46208,15676,1009,32039CD43,32,LeSueur River,32039,CD43,PUBLIC DITCH OPEN,FREEBORN,104,23,17,MSUWRC,1993,928,32.172,260208.586,0,109621,133842,3,928,879,1200.000114,358.1666667,357,360,884,Upper Cobb,Le Sueur,Cobb Upper Cobb,0.06,COB,66,1,27,MC,1,AB,220.0000104,2462.542579,2462.542579,1,1,1,1,1,1,1,1,4,ICMO
1,991,22209,22208,0,0,599.4697538,15677,1010,32039CD43,32,LeSueur River,32039,CD43,PUBLIC DITCH OPEN,FREEBORN,104,23,17,MSUWRC,1993,929,7.555,63397.513,0,3230,135435,1,929,941,6128999.953,364.2954152,357,378,879,Upper Cobb,Le Sueur,Cobb Upper Cobb,0.06,COB,66,1,27,MC,1,AB,18639.99989,599.4888007,599.4888007,1,1,1,1,1,1,1,1,4,ICMO
2,965,22216,22217,0,0,178.9216786,15684,1015,32039CD35,32,LeSueur River,32039,CD35,PUBLIC DITCH OPEN,FREEBORN,104,23,14,MSUWRC,1993,930,2.253,18922.038,0,86916,138324,1,930,915,9967700.048,366.2850708,357,377,879,Upper Cobb,Le Sueur,Cobb Upper Cobb,0.06,COB,66,1,27,UL,1,AB,23659.99992,178.8723398,178.8723398,1,1,1,1,1,1,1,1,4,ICMO
