SRed,Duck,Cost
181,299,47
439,610,138
708,995,289
1063,1352,487
1240,1575,646
1368,1967,1031
1622,2232,1361
1804,2415,1671
2043,2607,2048
232,211,29
509,601,137
708,995,289
1040,1302,458
1240,1575,646
1466,1939,1012
1688,2209,1333
1889,2403,1656
2043,2607,2048
232,211,29
509,601,137
710,911,251
1040,1302,458
1302,1614,686
1519,1904,987
1688,2209,1333
1889,2403,1656
2111,2579,2017
232,211,29
509,601,137
710,911,251
1055,1225,426
1310,1557,644
1645,1887,1006
1763,2178,1323
1958,2397,1672
2182,2550,2018
232,211,29
473,534,118
797,879,256
1080,1191,417
1310,1557,644
1697,1825,978
1831,2141,1316
2093,2372,1732
2244,2530,2047
263,234,36
529,514,123
797,879,256
1080,1191,417
1382,1537,661
1697,1825,978
1928,2087,1342
2145,2339,1742
2244,2530,2047
237,165,24
529,514,123
805,770,237
1149,1132,427
1382,1537,661
1697,1825,978
2004,2048,1377
2219,2302,1783
2283,2472,2037
237,165,24
529,514,123
853,761,249
1149,1132,427
1459,1462,678
1697,1825,978
2052,1983,1385
2239,2209,1747
2306,2450,2055
237,165,24
529,514,123
853,761,249
1149,1132,427
1515,1433,716
1831,1733,1077
2052,1983,1385
2239,2209,1747
2306,2450,2055
279,166,34
501,458,112
853,761,249
1212,1046,450
1549,1376,742
1867,1590,1092
2100,1941,1440
2231,2164,1713
2326,2409,2111
279,166,34
647,443,162
853,761,249
1251,1032,473
1627,1302,818
1896,1580,1126
2100,1941,1440
2247,2140,1748
2335,2362,2159
