lambda0.0,lambda0.1,lambda0.2,lambda0.3,lambda0.4,lambda0.5,lambda0.6,lambda0.7,lambda0.8,lambda0.9,lambda1.0
0.31521739130434784,0.32282608695652176,0.3304347826086957,0.33804347826086956,0.3456521739130435,0.3532608695652174,0.36086956521739133,0.3684782608695652,0.3760869565217391,0.38369565217391305,0.391304347826087
2.875,2.76875,2.6625000000000005,2.5562499999999995,2.45,2.34375,2.2375,2.13125,2.025,1.91875,1.8125
0.7439024390243902,0.7158536585365854,0.6878048780487804,0.6597560975609756,0.6317073170731707,0.6036585365853658,0.575609756097561,0.5475609756097561,0.5195121951219512,0.49146341463414633,0.4634146341463415
0.40540540540540543,0.4148648648648649,0.4243243243243243,0.4337837837837838,0.44324324324324327,0.45270270270270274,0.46216216216216216,0.47162162162162163,0.4810810810810811,0.4905405405405405,0.5
5.846153846153846,5.907692307692308,5.969230769230769,6.030769230769231,6.092307692307692,6.153846153846153,6.2153846153846155,6.276923076923077,6.338461538461538,6.4,6.461538461538462
0.9285714285714286,0.8755102040816327,0.8224489795918368,0.7693877551020408,0.7163265306122449,0.6632653061224489,0.610204081632653,0.5571428571428572,0.5040816326530613,0.45102040816326533,0.3979591836734694
0.6236559139784946,0.578494623655914,0.5333333333333333,0.4881720430107527,0.4430107526881721,0.3978494623655914,0.3526881720430108,0.30752688172043013,0.26236559139784943,0.2172043010752688,0.17204301075268819
0.8666666666666667,0.8266666666666667,0.7866666666666667,0.7466666666666667,0.7066666666666667,0.6666666666666667,0.6266666666666667,0.5866666666666667,0.5466666666666666,0.5066666666666667,0.4666666666666667
70.0,72.5,75.0,77.5,80.0,82.5,85.0,87.5,90.0,92.5,95.0
4.944444444444445,4.716666666666667,4.488888888888889,4.261111111111111,4.033333333333333,3.8055555555555554,3.5777777777777775,3.35,3.122222222222222,2.8944444444444444,2.6666666666666665
8.8,8.610000000000001,8.420000000000002,8.23,8.040000000000001,7.8500000000000005,7.66,7.470000000000001,7.28,7.090000000000001,6.9
0.7142857142857143,0.7440476190476191,0.773809523809524,0.8035714285714286,0.8333333333333333,0.8630952380952381,0.8928571428571428,0.9226190476190476,0.9523809523809523,0.9821428571428571,1.0119047619047619
0.6595744680851063,0.6063829787234043,0.5531914893617021,0.49999999999999994,0.44680851063829785,0.3936170212765957,0.3404255319148936,0.2872340425531915,0.2340425531914893,0.18085106382978722,0.1276595744680851
0.45588235294117646,0.4794117647058823,0.5029411764705882,0.526470588235294,0.55,0.5735294117647058,0.5970588235294118,0.6205882352941177,0.6441176470588236,0.6676470588235294,0.6911764705882353
0.9076923076923077,0.8446153846153847,0.7815384615384615,0.7184615384615384,0.6553846153846155,0.5923076923076923,0.5292307692307692,0.4661538461538462,0.4030769230769231,0.34,0.27692307692307694
1.0491803278688525,1.0377049180327869,1.0262295081967214,1.0147540983606558,1.0032786885245901,0.9918032786885247,0.980327868852459,0.9688524590163935,0.9573770491803278,0.9459016393442624,0.9344262295081968
1.575,1.6325,1.69,1.7474999999999996,1.805,1.8624999999999998,1.92,1.9775,2.035,2.0925000000000002,2.15
0.10526315789473684,0.14105263157894737,0.1768421052631579,0.2126315789473684,0.24842105263157893,0.28421052631578947,0.32,0.3557894736842105,0.3915789473684211,0.42736842105263156,0.4631578947368421
2.7,2.45,2.2,1.95,1.7000000000000002,1.4500000000000002,1.2000000000000002,0.9500000000000002,0.7,0.44999999999999996,0.2
0.25,0.31625000000000003,0.3825,0.44875,0.515,0.58125,0.6475,0.7137499999999999,0.78,0.8462500000000001,0.9125
0.74,0.734,0.728,0.722,0.716,0.71,0.704,0.698,0.692,0.686,0.68
2.4864864864864864,2.3891891891891888,2.291891891891892,2.1945945945945944,2.097297297297297,2.0,1.9027027027027028,1.8054054054054056,1.708108108108108,1.6108108108108108,1.5135135135135136
