Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB_LES30SB,area_m2
WCMO,9932,49.154,12328.514,10.234,9932,MAP,2,29,38182.92188
WCMO,9937,59.931,10297.751,12.176,9937,MAP,2,29,53653.19922
WCMO,9938,76.271,12958.165,13.643,9938,MAP,2,29,67514.45313
WCMO,10100,40.395,18391.714,9.153,10100,MAP,2,29,31192.66211
WCMO,10101,48.28,20084.623,10.046,10101,MAP,2,29,37485.33594
WCMO,10102,15.061,12114.846,5.459,10102,MAP,2,29,11018.74023
WCMO,10111,112.499,21894.098,15.46,10111,MAP,2,29,88021.39844
WCMO,10275,34.11,15596.305,8.825,10275,MAP,2,29,29157.79297
WCMO,10621,34.624,5103.602,8.565,10621,MAP,2,29,26590.7168
WCMO,10622,423.338,78458.249,32.587,10622,MAP,2,29,382731.1563
WCMO,10623,90.639,20482.01,14.944,10623,MAP,2,29,80664.15625
WCMO,10624,105.727,23134.016,16.226,10624,MAP,2,29,94481.60156
WCMO,10625,27.449,9600.69,8.16,10625,MAP,2,29,23970.44922
WCMO,10819,10.894,6648.671,4.76,10819,MAP,2,29,8589.884766
WCMO,10820,5.787,5781.233,3.277,10820,MAP,2,29,4070.368164
WCMO,10824,6.842,10960.437,3.627,10824,MAP,2,29,5004.056152
WCMO,10825,4.882,10627.504,2.93,10825,MAP,2,29,3269.412109
WCMO,10827,11.568,6763.308,4.92,10827,MAP,2,29,9187.163086
WCMO,10913,7.71,5993.838,3.74,10913,MAP,2,29,5178.081543
WCMO,10914,13.954,6946.033,5.256,10914,MAP,2,29,10139.19434
WCMO,10915,10.647,11656.715,4.883,10915,MAP,2,29,8631.792969
WCMO,10916,5.616,674.631,3.106,10916,MAP,2,29,3514.953857
WCMO,10917,25.162,3657.15,7.236,10917,MAP,2,29,19054.43164
WCMO,10918,45.497,12396.939,10.311,10918,MAP,2,29,38539.42969
WCMO,10919,7.334,1076.45,3.943,10919,MAP,2,29,5608.504395
WCMO,10920,6.025,5806.438,3.404,10920,MAP,2,29,4201.692383
WCMO,10921,33.574,10404.03,8.829,10921,MAP,2,29,28156.00391
WCMO,10922,54.964,13980.746,11.364,10922,MAP,2,29,46791.35938
WCMO,10944,6.646,5955.91,3.733,10944,MAP,2,29,4980.470703
WCMO,10945,96.896,26581.578,15.517,10945,MAP,2,29,86393.10938
WCMO,10946,8.245,6235.893,4.245,10946,MAP,2,29,6439.230957
WCMO,11297,7.469,11066.895,3.849,11297,MAP,2,29,5558.720703
WCMO,11298,5.96,10810.605,3.364,11298,MAP,2,29,4223.40332
WCMO,11452,8.614,6261.423,4.194,11452,MAP,2,29,6572.247559
WCMO,11453,6.897,10869.971,3.495,11453,MAP,2,29,4532.710449
WCMO,11454,40.022,16602.471,9.635,11454,MAP,2,29,34400.10156
WCMO,11455,267.349,69955.444,25.118,11455,MAP,2,29,234226.2344
WCMO,11456,21.454,13443.606,6.983,11456,MAP,2,29,17941.82813
WCMO,11457,5.354,15707.705,3.169,11457,MAP,2,29,3687.276856
WCMO,11529,15.124,7367.486,5.689,11529,MAP,2,29,12335.04492
WCMO,11532,32.596,15338.722,8.547,11532,MAP,2,29,27815.73633
WCMO,11561,44.421,12351.347,10.045,11561,MAP,2,29,38301.88672
WCMO,11562,5.699,5766.277,3.243,11562,MAP,2,29,3992.444336
WCMO,11583,8.42,6102.047,3.937,11583,MAP,2,29,5741.870117
WCMO,11584,5.193,5610.194,2.933,11584,MAP,2,29,3179.225342
WCMO,11585,28.216,9123.801,7.634,11585,MAP,2,29,21485.77344
WCMO,11586,22.166,8564.582,7.096,11586,MAP,2,29,18572.13867
WCMO,11587,4.986,5645.136,3.033,11587,MAP,2,29,3361.276367
WCMO,11594,14.323,7300.612,5.795,11594,MAP,2,29,11986.61816
WCMO,11597,9.215,6362.775,4.469,11597,MAP,2,29,7100.311035
WCMO,11825,4.92,633.874,2.987,11825,MAP,2,29,3302.600342
WCMO,11827,9.525,1416.228,4.47,11827,MAP,2,29,7378.809082
WCMO,11828,44.946,12440.68,10.261,11828,MAP,2,29,38767.32813
WCMO,11829,56.351,9383.45,11.505,11829,MAP,2,29,48889.52344
WCMO,11831,6,817.292,3.397,11831,MAP,2,29,4258.242676
WCMO,12018,52.414,8553.985,11.128,12018,MAP,2,29,44567.85547
WCMO,12019,29.524,4727.522,8.283,12019,MAP,2,29,24631.26953
WCMO,12020,21.113,10205.831,6.932,12020,MAP,2,29,17314.79883
WCMO,12146,4.868,10978.699,3.034,12146,MAP,2,29,3255.191406
WCMO,12148,6.146,6318.518,3.526,12148,MAP,2,29,4385.442871
WCMO,12498,6.703,5936.744,3.648,12498,MAP,2,29,4880.609375
WCMO,12499,45.084,21068.069,10.264,12499,MAP,2,29,38890.44531
WCMO,12501,6.286,5865.853,3.498,12501,MAP,2,29,4511.256348
WCMO,12503,809.594,233105.52,45.038,12503,MAP,2,29,742057.6875
WCMO,12504,6.004,6344.667,3.505,12504,MAP,2,29,4472.414063
WCMO,12581,11.338,6723.381,5.031,12581,MAP,2,29,8979.136719
WCMO,12582,19.768,9943.149,6.813,12582,MAP,2,29,16441.10547
WCMO,12583,23.763,3834.438,7.521,12583,MAP,2,29,19978.13867
WCMO,12584,7.28,7206.182,3.899,12584,MAP,2,29,5389.027344
WCMO,12743,11.825,12829.263,5.166,12743,MAP,2,29,9410.239258
WCMO,13058,45.078,16807.676,10.551,13058,MAP,2,29,39272.79297
WCMO,13059,5.338,731.93,3.292,13059,MAP,2,29,3813.493652
WCMO,13069,13.152,8182.351,5.511,13069,MAP,2,29,10584.62402
WCMO,13070,6.183,6394.641,3.57,13070,MAP,2,29,4638.629883
WCMO,13071,22.272,10887.116,7.344,13071,MAP,2,29,19580.77734
WCMO,13072,15.117,8889.005,5.962,13072,MAP,2,29,12934.98438
WCMO,13074,10.644,7639.893,4.906,13074,MAP,2,29,8780.387695
WCMO,13081,72.193,11647.978,12.949,13081,MAP,2,29,60688.13281
WCMO,13082,47.655,12745.195,10.534,13082,MAP,2,29,40353.90625
WCMO,13083,25.058,8975.132,7.523,13083,MAP,2,29,20711.17578
WCMO,13085,5.711,752.739,3.297,13085,MAP,2,29,3921.909912
WCMO,13135,6.372,5880.081,3.622,13135,MAP,2,29,4585.386231
WCMO,13137,60.909,19923.582,12.204,13137,MAP,2,29,51703.71094
WCMO,13139,6.266,5842.004,3.56,13139,MAP,2,29,4386.998047
WCMO,13140,7.725,11607.372,4.036,13140,MAP,2,29,5647.905762
WCMO,13868,15.901,13915.499,5.993,13868,MAP,2,29,13023.10352
WCMO,13869,12.207,8990.766,5.2,13869,MAP,2,29,9748.217773
