GeneID,MOs,MOsID,SED_B,SED_BCR,Duck_BCR
1,TLMO,3,8.636,5.656822904,0
2,TLMO,5,8.997,3.834541475,0
3,TLMO,8,0.032,3.877377924,0
4,TLMO,12,0.039,3.865213084,0
5,TLMO,13,2.157,3.835559926,0
6,TLMO,15,0.682,0.984585889,0
7,TLMO,18,28.726,5.656493734,0
8,TLMO,19,0.56,0.405612518,0
9,TLMO,21,0.059,0.984005737,0
10,TLMO,24,1.584,0.984006172,0
11,TLMO,26,2.407,0.405644509,0
12,TLMO,27,0.017,0.990791469,0
13,TLMO,29,7.6,3.83454542,0
14,TLMO,30,22.196,5.656658947,0
15,TLMO,31,0.03,0.049349816,0
16,TLMO,32,0.026,0.049967905,0
17,TLMO,33,1.402,1.252332492,0
18,TLMO,34,1.072,3.837383706,0
19,TLMO,35,3.97,3.834492857,0
20,TLMO,36,0.215,1.252614469,0
21,TLMO,40,3.908,5.657618531,0
22,TLMO,41,0.046,0.407794188,0
23,TLMO,42,10.879,3.834257446,0
24,TLMO,43,0.267,0.677850781,0
25,TLMO,47,0.019,0.68456134,0
26,TLMO,48,0.005,0.127077721,0
27,TLMO,49,0.032,0.688942473,0
28,TLMO,50,0.001,0.299760197,0
29,TLMO,51,0.009,0.05277509,0
30,TLMO,54,0.068,1.259562487,0
31,TLMO,57,0.76,5.659351706,0
32,TLMO,58,0.01,0.050568389,0
33,TLMO,72,0.414,0.405599626,0
34,TLMO,83,0.653,1.25647479,0
35,TLMO,85,0.864,1.256416595,0
36,TLMO,86,1.848,0.983814442,0
37,TLMO,87,3.069,0.983791955,0
38,TLMO,92,0.003,0.060230079,0
39,TLMO,94,0.029,0.049430695,0
40,TLMO,96,0.03,0.049657611,0
41,TLMO,99,0.749,1.257384405,0
42,TLMO,101,0.002,0.061319598,0
43,TLMO,102,0.473,2.057980221,0
44,TLMO,105,0.004,1.031725565,0
45,TLMO,106,0.004,1.199040772,0
46,TLMO,107,0.52,0.406028588,0
47,TLMO,108,2.854,0.983522382,0
48,TLMO,109,0.419,2.093796067,0
49,TLMO,110,1.222,1.187703863,0
50,TLMO,112,0.011,0.43554007,0
51,TLMO,113,0.089,1.188536631,0
52,TLMO,115,0.122,1.260786441,0
53,TLMO,116,0.064,1.559796252,0
54,TLMO,117,0.008,1.199040768,0
55,TLMO,118,0.003,1.313485125,0
56,TLMO,119,0.016,2.161870018,0
57,TLMO,120,1.869,1.256659826,0
58,TLMO,122,0.625,1.545923832,0
59,TLMO,125,0.055,1.19399097,0
60,TLMO,126,0.218,2.620538773,0
61,TLMO,127,0.475,0.406167938,0
62,TLMO,128,0.003,0.066079296,0
63,TLMO,129,0.097,1.195700409,0
64,TLMO,130,0.376,2.61874913,0
65,TLMO,132,1.042,1.187892164,0
66,TLMO,133,0.158,2.621014565,0
67,TLMO,136,0.009,2.697841733,0
68,TLMO,139,0.001,0.074940049,0
69,TLMO,145,0.01,0.049809975,0
70,TLMO,146,0.007,0.675349736,0
71,TLMO,148,0.043,0.682084959,0
72,TLMO,149,0.017,0.123394063,0
73,TLMO,150,0.421,2.616971151,0
74,TLMO,151,0.004,0.057750058,0
75,TLMO,152,0.012,0.619994834,0
76,TLMO,153,0.007,0.451962811,0
77,TLMO,154,0.025,0.050139287,0
78,TLMO,155,0.027,0.637800298,0
79,TLMO,156,1.772,2.055536609,0
80,TLMO,160,2.515,1.252425173,0
81,TLMO,161,5.845,1.703876472,0
82,TLMO,163,0.197,2.240469475,0
83,TLMO,164,0.232,2.62022543,0
84,TLMO,165,0.463,1.545822107,0
85,TLMO,166,0.006,1.798561158,0
86,TLMO,167,0.282,0.40683189,0
87,TLMO,168,0.214,0.986811768,0
88,TLMO,169,1.315,2.090340877,0
89,TLMO,171,0.187,2.094932951,0
90,TLMO,172,6.738,0.983546255,0
91,TLMO,173,0.847,2.090444423,0
92,TLMO,174,0.408,0.396877508,0
93,TLMO,175,0.025,1.285082761,0
94,TLMO,176,0.251,0.397817866,0
95,TLMO,177,4.872,1.544399586,0
96,TLMO,179,0.91,2.092160834,0
97,TLMO,184,0.018,0.049964331,0
98,TLMO,185,1.365,1.733575484,0
99,TLMO,193,0.006,1.798561158,0
100,TLMO,194,0.018,0.119570344,0
101,TLMO,195,0.003,0.449640292,0
102,TLMO,196,0.721,0.67768317,0
103,TLMO,197,0.468,0.117533898,0
104,TLMO,198,0.022,0.706554903,0
105,TLMO,199,0.003,0.154233717,0
106,TLMO,200,0.016,1.822323463,0
107,TLMO,204,1.777,1.187217602,0
108,TLMO,205,0.012,1.798561154,0
109,TLMO,209,6.03,2.613513381,0
110,TLMO,210,24.338,7.176548156,0
111,TLMO,211,0.006,1.404823232,0
112,TLMO,212,12.198,2.613243777,0
113,TLMO,213,5.656,7.176408192,0
114,TLMO,217,4.386,2.613488005,0
115,TLMO,218,3.123,1.544310282,0
116,TLMO,219,0.219,2.365419511,0
117,TLMO,220,0.059,1.550265385,0
118,TLMO,224,0.169,2.090523373,0
119,TLMO,225,0.006,0.397377311,0
120,TLMO,226,0.398,0.396923543,0
121,TLMO,227,0.216,0.923420246,0
122,TLMO,228,0.6,7.182618064,0
123,TLMO,229,1.044,2.091966368,0
124,TLMO,230,0.041,0.404255529,0
125,TLMO,231,0.2,0.925973082,0
126,TLMO,232,0.148,0.397200275,0
127,TLMO,233,0.017,7.443082321,0
128,TLMO,235,0.042,0.924580637,0
129,TLMO,237,0.56,7.182065357,0
130,TLMO,238,0.004,1.751313492,0
131,TLMO,242,0.053,0.397981558,0
132,TLMO,243,0.071,0.929027531,0
133,TLMO,245,0.924,0.984511,0
134,TLMO,246,18.017,2.09019086,0
135,TLMO,252,0.169,0.117980426,0
136,TLMO,253,21.714,7.176611267,0
137,TLMO,254,0.925,0.677539032,0
138,TLMO,255,0.31,0.117380714,0
139,TLMO,256,5.5,6.347301243,0
140,TLMO,257,1.351,2.358107719,0
141,TLMO,258,28.983,7.176479036,0
142,TLMO,262,0.11,0.624117016,0
143,TLMO,266,0.544,1.545472108,0
144,TLMO,269,0.08,0.623315101,0
145,TLMO,271,4.686,1.544484516,0
146,TLMO,272,0.62,2.35806897,0
147,TLMO,273,1.651,1.979787224,0
148,TLMO,274,0.79,0.405608487,0
149,TLMO,275,0.006,0.052236597,0
150,TLMO,277,2.959,3.728672598,0
151,TLMO,278,1.221,0.619693148,0
152,TLMO,282,0.902,1.733878486,0
153,TLMO,283,0.886,0.619761147,0
154,TLMO,285,0.036,0.397096782,0
155,TLMO,286,1.967,0.92371313,0
156,TLMO,292,0.011,0.052786909,0
157,TLMO,293,0.004,1.692047384,0
158,TLMO,294,30.998,2.05546929,0
159,TLMO,295,0.085,6.398675099,0
160,TLMO,296,0.068,1.747667635,0
161,TLMO,297,2.378,6.347545465,0
162,TLMO,298,0.195,4.524886878,0
163,TLMO,299,2.714,3.834394832,0
164,TLMO,300,5.932,1.252242405,0
165,TLMO,301,0.271,0.677306968,0
166,TLMO,302,8.068,1.70383007,0
167,TLMO,303,24.493,6.346903782,0
168,TLMO,304,6.281,1.704005947,0
169,TLMO,305,4.193,2.055697488,0
170,TLMO,306,31.694,6.346860513,0
171,TLMO,307,0.012,4.50958287,0
172,TLMO,308,0.01,4.789272035,0
173,TLMO,309,1.038,6.349128677,0
174,TLMO,310,1.317,4.510984607,0
175,TLMO,311,0.044,2.63788969,0
176,TLMO,312,0.036,2.690985201,0
177,TLMO,313,0.016,4.796163071,0
178,TLMO,314,0.031,4.646282976,0
179,TLMO,319,0.618,0.619719722,0
180,TLMO,320,0.016,4.796163071,0
181,TLMO,323,3.506,0.619429157,0
182,TLMO,325,1.727,1.734435525,0
183,TLMO,327,0.128,0.619872733,0
184,TLMO,328,0.855,2.057524041,0
185,TLMO,329,12.582,1.733540903,0
186,TLMO,330,0.049,0.622791632,0
187,TLMO,332,10.337,2.356959552,0
188,TLMO,333,2.246,7.178379208,0
189,TLMO,334,0.444,1.981815504,0
190,TLMO,336,0.514,6.20585572,0
191,TLMO,337,4.652,2.090365625,0
192,TLMO,339,33.801,3.728363858,0
193,TLMO,340,0.144,0.623516982,0
194,TLMO,341,0.178,6.360550295,0
195,TLMO,342,0.022,6.594724229,0
196,TLMO,344,0.002,0.875656746,0
197,TLMO,345,2.055,2.090203202,0
198,TLMO,346,1.187,0.92354998,0
199,TLMO,347,0.089,2.545475346,0
200,TLMO,348,5.213,3.728887757,0
201,TLMO,351,1.397,2.356970525,0
202,TLMO,352,0.562,2.357224347,0
203,TLMO,353,1.395,1.981055711,0
204,TLMO,354,0.106,6.354916067,0
205,TLMO,357,0.019,8.895131086,0
206,TLMO,358,0.021,6.294964031,0
207,TLMO,360,4.364,2.05550814,0
208,TLMO,361,8.909,6.346815835,0
209,TLMO,364,0.143,3.748459986,0
210,TLMO,365,0.021,6.294964031,0
211,TLMO,366,0.401,0.620384824,0
212,TLMO,367,0.033,0.631687755,0
213,TLMO,369,1.504,1.734453347,0
214,TLMO,370,0.248,0.621170907,0
215,TLMO,374,0.015,6.567425575,0
216,TLMO,375,0.01,4.681647944,0
217,TLMO,376,0.014,6.554307128,0
218,TLMO,377,5.747,2.055651755,0
219,TLMO,380,0.671,1.982450439,0
220,TLMO,389,4.752,2.055700307,0
221,TLMO,390,1.767,1.734296373,0
222,TLMO,391,0.062,4.432687496,0
223,TLMO,395,0.833,1.979769748,0
224,TLMO,398,0.021,6.294964031,0
225,TLMO,399,0.31,6.195167769,0
226,TLMO,401,6.692,6.19608976,0
227,TLMO,402,0.038,3.79696243,0
228,TLMO,403,2.645,2.357233633,0
229,TLMO,404,16.981,7.176530998,0
230,TLMO,405,24.124,8.6282499,0
231,TLMO,406,9.251,3.728359715,0
232,TLMO,411,2.575,3.728706552,0
233,TLMO,412,3.607,0.61949526,0
234,TLMO,419,0.39,1.733410374,0
235,TLMO,420,1.28,4.396812311,0
236,TLMO,421,0.427,12.81051242,0
237,TLMO,423,0.064,6.394884094,0
238,TLMO,426,0.078,6.395015168,0
239,TLMO,427,0.529,2.058421825,0
240,TLMO,428,8.217,6.346869511,0
241,TLMO,429,2.077,2.827708549,0
242,TLMO,430,0.041,2.861529871,0
243,TLMO,431,0.323,2.057495207,0
244,TLMO,432,0.497,2.832150896,0
245,TLMO,433,0.938,4.394307077,0
246,TLMO,437,9.339,6.347396066,0
247,TLMO,439,4.466,4.5113982,0
248,TLMO,442,0.013,3.896882496,0
249,TLMO,443,2.78,4.511529555,0
250,TLMO,444,1.755,4.512066887,0
251,TLMO,445,2.663,6.19786624,0
252,TLMO,446,0.022,6.594724229,0
253,TLMO,447,7.456,1.733642239,0
254,TLMO,448,2.451,1.041232997,0
255,TLMO,449,0.004,1.751313492,0
256,TLMO,451,0.254,1.470860743,0
257,TLMO,459,17.902,2.629181179,0
258,TLMO,461,0.028,1.755045758,0
259,TLMO,462,0.012,1.054759604,0
260,TLMO,463,0.702,0.619980323,0
261,TLMO,465,1.23,4.512635379,0
262,TLMO,466,0.03,4.629629629,0
263,TLMO,468,0.019,4.997369805,0
264,TLMO,469,16.316,8.628649698,0
265,TLMO,470,0.051,3.695384393,0
266,TLMO,471,2.959,2.35683558,0
267,TLMO,472,3.687,1.980300123,0
268,TLMO,473,3.133,8.628239377,0
269,TLMO,474,10.357,2.570879779,0
270,TLMO,475,0.013,3.896882496,0
271,TLMO,476,0.199,0.926283648,0
272,TLMO,477,2.656,2.527080965,0
273,TLMO,478,6.698,3.728757135,0
274,TLMO,482,0.008,3.745318353,0
275,TLMO,484,0.083,6.220023982,0
276,TLMO,490,0.569,0.620311551,0
277,TLMO,491,34.872,3.72839749,0
278,TLMO,492,9.754,2.551201228,0
279,TLMO,493,0.74,4.855547463,0
280,TLMO,495,0.021,6.294964031,0
281,TLMO,499,0.522,6.200776879,0
282,TLMO,500,21.667,7.176487539,0
283,TLMO,501,0.337,2.878521277,0
284,TLMO,502,16.891,2.629192898,0
285,TLMO,503,17.183,8.62847734,0
286,TLMO,504,16.326,4.00789796,0
287,TLMO,505,0.002,0.875656746,0
288,TLMO,506,3.519,6.196415271,0
289,TLMO,521,0.016,4.796163071,0
290,TLMO,523,0.046,13.78896883,0
291,TLMO,525,18.34,6.195943853,0
292,TLMO,526,0.046,13.78896883,0
293,TLMO,528,0.031,0.632433646,0
294,TLMO,531,0.118,5.809087777,0
295,TLMO,532,1.263,2.629540798,0
296,TLMO,534,24.083,2.629192961,0
297,TLMO,535,0.745,4.009644676,0
298,TLMO,536,0.017,3.776099516,0
299,TLMO,537,0.016,4.796163071,0
300,TLMO,545,0.017,3.732162464,0
301,TLMO,555,0.309,6.207187481,0
302,TLMO,558,0.827,5.790708259,0
303,TLMO,559,8.776,3.728500897,0
304,TLMO,560,2.046,0.619583752,0
305,TLMO,561,0.001,0.033491862,0
306,TLMO,562,0.372,4.013897581,0
307,TLMO,564,0.069,5.136986303,0
308,TLMO,567,0.097,0.118446808,0
309,TLMO,568,7.71,4.511048558,0
310,TLMO,569,16.118,3.671006903,0
311,TLMO,570,56.24,6.195843519,0
312,TLMO,571,0.017,5.095923268,0
313,TLMO,574,0.121,6.223639544,0
314,TLMO,575,0.017,5.095923268,0
315,TLMO,578,0.014,5.993150695,0
316,TLMO,581,0.134,0.622815498,0
317,TLMO,582,0.023,0.020311042,0
318,TLMO,583,0.737,6.200624269,0
319,TLMO,584,0.097,6.239547151,0
320,TLMO,585,1.439,1.041423921,0
321,TLMO,586,2.172,0.619612799,0
322,TLMO,588,0.36,13.63171646,0
323,TLMO,590,0.727,1.733875199,0
324,TLMO,591,5.777,1.041108185,0
325,TLMO,592,0.44,0.309256975,0
326,TLMO,593,0.022,0.622770764,0
327,TLMO,598,0.678,2.831406056,0
328,TLMO,599,0.307,1.734316301,0
329,TLMO,600,20.984,4.393786636,0
330,TLMO,601,4.146,12.78717951,0
331,TLMO,602,0.409,1.04119465,0
332,TLMO,603,1.111,0.308918056,0
333,TLMO,604,0.229,1.094876552,0
334,TLMO,607,1.309,5.789934626,0
335,TLMO,611,9.728,2.827897934,0
336,TLMO,612,2.861,4.39365017,0
337,TLMO,613,7.449,26.55794867,0
338,TLMO,614,19.033,13.62530657,0
339,TLMO,615,0.886,1.091545695,0
340,TLMO,621,0.441,6.349617727,0
341,TLMO,622,18.17,26.55640715,0
342,TLMO,623,8.157,4.510911462,0
343,TLMO,624,4.541,13.62550709,0
344,TLMO,625,2.71,5.068452158,0
345,TLMO,629,19.693,4.5106713,0
346,TLMO,630,22.554,3.671002401,0
347,TLMO,631,0.588,5.068004344,0
348,TLMO,632,5.342,4.511108034,0
349,TLMO,633,7.206,3.671201751,0
350,TLMO,634,22.218,5.067634607,0
351,TLMO,635,0.961,4.806874681,0
352,TLMO,636,0.533,3.635222785,0
353,TLMO,637,0.257,1.544304102,0
354,TLMO,638,21.572,1.979862889,0
355,TLMO,639,7.82,1.469760983,0
356,TLMO,640,4.522,4.803172941,0
357,TLMO,641,2.096,2.571113491,0
358,TLMO,643,0.065,3.711952487,0
359,TLMO,646,1.093,5.790391024,0
360,TLMO,647,0.024,5.89246256,0
361,TLMO,648,0.034,5.095923264,0
362,TLMO,649,5.509,6.19680857,0
363,TLMO,650,1.253,6.196988056,0
364,TLMO,655,0.203,0.620193879,0
365,TLMO,656,0.005,0.024450715,0
366,TLMO,660,0.017,5.095923268,0
367,TLMO,672,1.315,5.789916299,0
368,TLMO,674,0.194,4.822751455,0
369,TLMO,675,2.765,3.632379544,0
370,TLMO,679,0.32,5.067861838,0
371,TLMO,694,0.013,3.896882496,0
372,TLMO,695,0.161,2.63692348,0
373,TLMO,696,12.802,4.007808998,0
374,TLMO,704,0.009,2.697841733,0
375,TLMO,705,0.014,5.283018877,0
376,TLMO,713,3.209,13.62771578,0
377,TLMO,714,0.09,3.806945562,0
378,TLMO,715,4.221,5.06752498,0
379,TLMO,717,0.088,0.623786098,0
380,TLMO,720,1.496,6.197234443,0
381,TLMO,723,3.297,2.340964247,0
382,TLMO,724,46.743,4.007857434,0
383,TLMO,725,2.396,2.571734321,0
384,TLMO,729,14.186,6.195942195,0
385,TLMO,730,0.339,5.710820236,0
386,TLMO,731,0.026,3.728133067,0
387,TLMO,732,0.889,3.671551055,0
388,TLMO,733,14.953,5.067643707,0
389,TLMO,734,0.02,5.15862781,0
390,TLMO,737,0.118,5.731215699,0
391,TLMO,738,27.833,3.671012494,0
392,TLMO,739,5.077,6.196322238,0
393,TLMO,740,1.266,5.071018289,0
394,TLMO,741,2.465,5.711994958,0
395,TLMO,745,0.009,0.022410972,0
396,TLMO,746,0.028,0.368280525,0
397,TLMO,753,1.114,3.632154676,0
398,TLMO,758,10.559,5.790312701,0
399,TLMO,759,0.509,6.204593106,0
400,TLMO,760,0.224,5.726849722,0
401,TLMO,761,1.823,3.730236194,0
402,TLMO,762,15.447,4.802749012,0
403,TLMO,763,1.349,3.467171107,0
404,TLMO,764,16.879,2.629184241,0
405,TLMO,765,0.683,4.011370444,0
406,TLMO,766,2.876,5.033216428,0
407,TLMO,772,0.372,5.075449559,0
408,TLMO,774,1.742,5.070010972,0
409,TLMO,787,0.406,6.200555912,0
410,TLMO,788,0.122,5.733891056,0
411,TLMO,789,0.871,2.572683477,0
412,TLMO,790,5.11,2.340783223,0
413,TLMO,791,1.802,2.571145244,0
414,TLMO,796,0.02,5.995203843,0
415,TLMO,797,0.136,5.817186364,0
416,TLMO,798,20.486,8.628343557,0
417,TLMO,799,9.387,2.34070688,0
418,TLMO,800,26.485,2.570799388,0
419,TLMO,801,0.173,2.572720243,0
420,TLMO,802,0.33,2.576715859,0
421,TLMO,806,2.799,5.067393253,0
422,TLMO,807,5.111,4.803101952,0
423,TLMO,808,11.917,3.632152028,0
424,TLMO,814,0.012,3.597122307,0
425,TLMO,815,0.684,3.631961259,0
426,TLMO,816,2.297,1.46962665,0
427,TLMO,817,17.046,4.802757571,0
428,TLMO,818,18.264,3.632170001,0
429,TLMO,819,4.26,2.571097484,0
430,TLMO,824,0.273,5.083041633,0
431,TLMO,825,2.045,1.58504892,0
432,TLMO,830,0.012,5.253940463,0
433,TLMO,831,0.447,6.497281898,0
434,TLMO,832,0.09,4.864601915,0
435,TLMO,837,0.024,0.371937329,0
436,TLMO,841,0.118,1.589782281,0
437,TLMO,843,17.316,2.551102715,0
438,TLMO,845,1.705,1.584697676,0
439,TLMO,846,32.524,4.855582838,0
440,TLMO,854,0.02,0.020258806,0
441,TLMO,855,1.321,1.584759437,0
442,TLMO,860,0.055,0.360861606,0
443,TLMO,861,0.002,0.023974204,0
444,TLMO,862,0.027,0.020346739,0
445,TLMO,864,0.02,5.995203843,0
446,TLMO,865,4.9,5.068371294,0
447,TLMO,869,0.073,0.626921558,0
448,TLMO,870,0.238,0.361542236,0
449,TLMO,874,2.337,0.61965902,0
450,TLMO,875,0.258,0.361012851,0
451,TLMO,879,0.012,5.253940463,0
452,TLMO,883,0.268,1.042955768,0
453,TLMO,884,3.672,0.308806121,0
454,TLMO,885,6.286,13.62706162,0
455,TLMO,886,0.469,0.61975062,0
456,TLMO,887,0.403,3.793155378,0
457,TLMO,888,7.863,1.090479117,0
458,TLMO,890,0.013,0.381477786,0
459,TLMO,892,13.9,21.86676064,0
460,TLMO,896,8.839,6.19624552,0
461,TLMO,897,0.077,5.73642256,0
462,TLMO,898,8.684,5.790101487,0
463,TLMO,899,2.944,7.779612869,0
464,TLMO,902,0.857,5.072266481,0
465,TLMO,903,0.008,1.199040768,0
466,TLMO,908,7.6,5.067869441,0
467,TLMO,909,0.42,6.501044811,0
468,TLMO,910,2.124,5.068341478,0
