GeneID,MOs,MOsID,SED_B,Cost,SED_BCR_x,Duck_BCR_x,FID_1,Subbasin,Zone,coords_x1,coords_x2,SB574,HydroSB,Zone_1,watershed
1,TLMO,3,8.636,1526.6521,5.656822904,0,404,1,3,177009.7095,2360876.271,3,1,3,LES
2,TLMO,5,8.997,2346.3036,3.834541475,0,406,1,3,168739.7546,2360916.715,1,1,3,LES
3,TLMO,8,0.032,8.2529,3.877377924,0,409,1,3,168925.9681,2360257.195,1,1,3,LES
4,TLMO,12,0.039,10.0897,3.865213084,0,413,1,3,168300.6632,2360134.616,1,1,3,LES
5,TLMO,13,2.157,562.369,3.835559926,0,414,1,3,169208.352,2360268.697,1,1,3,LES
6,TLMO,15,0.682,692.6769,0.984585889,0,3415,9,2,179794.5546,2359648.511,8,1,2,LES
7,TLMO,18,28.726,5078.4109,5.656493734,0,418,1,3,176886.652,2360083.997,3,1,3,LES
8,TLMO,19,0.56,1380.6277,0.405612518,0,419,1,3,177499.5609,2359788.783,4,1,3,LES
9,TLMO,21,0.059,59.9589,0.984005737,0,3416,9,2,181227.9769,2359210.155,8,1,2,LES
10,TLMO,24,1.584,1609.7465,0.984006172,0,3417,9,2,180183.2334,2359307.497,8,1,2,LES
11,TLMO,26,2.407,5933.7671,0.405644509,0,424,1,3,178639.8206,2359691.395,4,1,3,LES
12,TLMO,27,0.017,17.1582,0.990791469,0,425,1,3,179478.3481,2359596.245,8,1,2,LES
13,TLMO,29,7.6,1981.9816,3.83454542,0,427,1,3,168007.5603,2359706.792,1,1,3,LES
14,TLMO,30,22.196,3923.8709,5.656658947,0,428,1,3,175667.0644,2359548.161,3,1,3,LES
15,TLMO,31,0.03,607.9049,0.049349816,0,429,1,3,174951.2355,2359180.434,9,1,3,LES
16,TLMO,32,0.026,520.3343,0.049967905,0,430,1,3,173442.82,2359146.726,9,1,3,LES
17,TLMO,33,1.402,1119.5107,1.252332492,0,431,1,3,170141.9583,2359142.837,2,1,3,LES
18,TLMO,34,1.072,279.3567,3.837383706,0,432,1,3,168861.8199,2359016.491,1,1,3,LES
19,TLMO,35,3.97,1035.3391,3.834492857,0,433,1,3,169294.0857,2359597.501,1,1,3,LES
20,TLMO,36,0.215,171.6407,1.252614469,0,434,1,3,169724.9433,2359087.812,2,1,3,LES
21,TLMO,40,3.908,690.7502,5.657618531,0,437,1,3,176692.2024,2359042.582,3,1,3,LES
22,TLMO,41,0.046,112.802,0.407794188,0,438,1,3,176967.6661,2359191.646,4,1,3,LES
