GeneID,MOs,MOsID,SedRed,Duck,Cost,sedbcr,duckbcr,FID_1,Subbasin,Zone,coords_x1,coords_x2,SB574,HydroSB,Zone_1,watershed
1,TLMO,3,10.0747,0,1526.6521,6.599211438,0,404,1,3,177009.7095,2360876.271,3,1,3,LES
2,TLMO,5,10.4956,0,2346.3036,4.473248901,0,406,1,3,168739.7546,2360916.715,1,1,3,LES
3,TLMO,8,0.0369,0,8.2529,4.471155594,0,409,1,3,168925.9681,2360257.195,1,1,3,LES
4,TLMO,12,0.0452,0,10.0897,4.47981605,0,413,1,3,168300.6632,2360134.616,1,1,3,LES
5,TLMO,13,2.5156,0,562.369,4.473219541,0,414,1,3,169208.352,2360268.697,1,1,3,LES
6,TLMO,15,0.7948,0,692.6769,1.147432519,0,3415,9,2,179794.5546,2359648.511,8,1,2,LES
7,TLMO,18,33.5134,0,5078.4109,6.59919031,0,418,1,3,176886.652,2360083.997,3,1,3,LES
8,TLMO,19,0.6532,0,1380.6277,0.473118133,0,419,1,3,177499.5609,2359788.783,4,1,3,LES
9,TLMO,21,0.0688,0,59.9589,1.147452672,0,3416,9,2,181227.9769,2359210.155,8,1,2,LES
10,TLMO,24,1.8471,0,1609.7465,1.14744775,0,3417,9,2,180183.2334,2359307.497,8,1,2,LES
11,TLMO,26,2.8074,0,5933.7671,0.473122715,0,424,1,3,178639.8206,2359691.395,4,1,3,LES
12,TLMO,27,0.0197,0,17.1582,1.148139082,0,425,1,3,179478.3481,2359596.245,8,1,2,LES
13,TLMO,29,8.8659,0,1981.9816,4.473250408,0,427,1,3,168007.5603,2359706.792,1,1,3,LES
14,TLMO,30,25.8943,0,3923.8709,6.599172261,0,428,1,3,175667.0644,2359548.161,3,1,3,LES
15,TLMO,31,0.0348,0,607.9049,0.057245796,0,429,1,3,174951.2355,2359180.434,9,1,3,LES
16,TLMO,32,0.0298,0,520.3343,0.057270874,0,430,1,3,173442.82,2359146.726,9,1,3,LES
17,TLMO,33,1.6355,0,1119.5107,1.46090609,0,431,1,3,170141.9583,2359142.837,2,1,3,LES
18,TLMO,34,1.2496,0,279.3567,4.473134169,0,432,1,3,168861.8199,2359016.491,1,1,3,LES
19,TLMO,35,4.6313,0,1035.3391,4.473220416,0,433,1,3,169294.0857,2359597.501,1,1,3,LES
20,TLMO,36,0.2508,0,171.6407,1.461191897,0,434,1,3,169724.9433,2359087.812,2,1,3,LES
21,TLMO,40,4.5584,0,690.7502,6.599201853,0,437,1,3,176692.2024,2359042.582,3,1,3,LES
22,TLMO,41,0.0534,0,112.802,0.473395862,0,438,1,3,176967.6661,2359191.646,4,1,3,LES
23,TLMO,42,12.692,0,2837.3159,4.473241771,0,439,1,3,167971.7768,2360663.624,1,1,3,LES
24,TLMO,43,0.3113,0,393.8921,0.790317958,0,440,1,3,166833.3711,2359005.979,10,1,3,LES
25,TLMO,47,0.022,0,27.7551,0.792647117,0,442,1,3,166201.2817,2358880.885,10,1,3,LES
26,TLMO,48,0.0054,0,39.3463,0.137242892,0,443,1,3,165811.8039,2358830.874,13,1,3,LES
27,TLMO,49,0.0367,0,46.4482,0.790127497,0,444,1,3,167039.503,2358846.66,10,1,3,LES
28,TLMO,50,0.0002,0,3.3359,0.059953836,0,445,1,3,175160.0908,2358802.162,9,1,3,LES
29,TLMO,51,0.0098,0,170.5348,0.057466277,0,446,1,3,175162.5203,2358910.132,9,1,3,LES
30,TLMO,54,0.0792,0,53.9874,1.467008969,0,3422,9,2,183734.1144,2358844.249,6,9,2,LES
31,TLMO,57,0.8862,0,134.2909,6.599106864,0,448,1,3,176126.2251,2358979.094,3,1,3,LES
32,TLMO,58,0.0113,0,197.7524,0.057142164,0,449,1,3,175946.5341,2358884.867,9,1,3,LES
33,TLMO,72,0.4829,0,1020.7112,0.4731015,0,452,1,3,177321.2057,2359140.167,4,1,3,LES
34,TLMO,83,0.7618,0,519.7078,1.46582368,0,3436,9,2,182903.999,2358642.549,6,9,2,LES
35,TLMO,85,1.0081,0,687.6702,1.465964353,0,3437,9,2,182495.082,2358646.88,6,9,2,LES
36,TLMO,86,2.1554,0,1878.4026,1.14746434,0,3438,9,2,181629.3433,2358650.923,8,1,2,LES
37,TLMO,87,3.5796,0,3119.5617,1.14746889,0,3439,9,2,180222.8766,2358659.934,8,1,2,LES
38,TLMO,92,0.0029,0,49.8091,0.058222293,0,460,1,3,173862.2902,2358366.977,9,1,3,LES
39,TLMO,94,0.0336,0,586.6801,0.057271416,0,462,1,3,173228.7693,2358640.424,9,1,3,LES
40,TLMO,96,0.0346,0,604.137,0.057271778,0,464,1,3,173646.4303,2358504.327,9,1,3,LES
41,TLMO,99,0.8732,0,595.6812,1.465884772,0,3442,9,2,184456.5686,2358390.069,6,9,2,LES
42,TLMO,101,0.0019,0,32.6156,0.058254332,0,468,1,3,172999.1381,2358835.193,9,1,3,LES
43,TLMO,102,0.5512,0,229.8368,2.398223435,0,469,1,3,172555.219,2358141.47,22,1,3,LES
44,TLMO,105,0.0045,0,3.8767,1.160781077,0,3443,9,2,181481.8486,2357902.162,8,1,2,LES
45,TLMO,106,0.0038,0,3.3359,1.139122875,0,3444,9,2,181670.0908,2357872.162,8,1,2,LES
46,TLMO,107,0.6059,0,1280.6982,0.473101313,0,3445,9,2,178219.1412,2358687.549,8,1,2,LES
47,TLMO,108,3.3297,0,2901.8154,1.147454108,0,3446,9,2,178712.7888,2358462.292,8,1,2,LES
48,TLMO,109,0.488,0,200.1145,2.438603899,0,3447,9,2,179244.0845,2357985.05,15,1,2,LES
49,TLMO,110,1.425,0,1028.8764,1.385006012,0,3448,9,2,189400.359,2358190.841,5,9,2,LES
