"MOs","MOsID","Subbasin","SED_BCR","Duck_BCR","Zone","coords_x1","coords_x2","coords.x1","coords.x2","coords.x3","SED_BCR_DIST"
"WCMO",1445,"10",8.44801543,0.00427239,3,172894.795003576,2347183.44641438,172894.795003576,2347183.44641438,0,0
"WCMO",1373,"10",8.446674526,0.003985393,3,173413.817122476,2347790.18452543,173413.817122476,2347790.18452543,0,1.3409039999992
"WCMO",1446,"10",8.437177847,0.00272531,3,173711.46163025,2347134.14348825,173711.46163025,2347134.14348825,0,9.49667900000151
"WCMO",1447,"10",8.433481388,0.002482069,3,173335.018000575,2347074.67364368,173335.018000575,2347074.67364368,0,3.6964589999986
"WCMO",1456,"10",8.333246266,0.001053385,3,172128.406916125,2346152.1533428,172128.406916125,2346152.15334281,0,100.235122000001
"WCMO",10916,"29",8.324550754,0.004603998,2,155135.511042914,2321498.85971607,155135.511042914,2321498.85971607,0,8.69551199999918
"WCMO",1454,"10",8.251557168,0.000808501,3,172422.835680341,2346458.59318581,172422.835680341,2346458.59318581,0,72.9935860000008
"WCMO",14475,"29",7.958894194,0.004954834,2,152293.848814953,2314021.12008752,152293.848814953,2314021.12008752,0,292.662974
"WCMO",11825,"29",7.761794931,0.004712293,2,158190.280659727,2319181.06498171,158190.280659727,2319181.06498171,0,197.099263
"WCMO",14841,"29",7.691232582,0.004666732,2,149408.413042271,2311719.38369556,149408.413042271,2311719.38369556,0,70.5623490000002
"WCMO",14067,"29",7.632846674,0.004444062,2,157386.548490302,2314820.11427456,157386.548490302,2314820.11427456,0,58.385908
"WCMO",8715,"27",7.614379797,0.00129074,1,170844.708337093,2327086.63599467,170844.708337094,2327086.63599467,0,18.4668769999998
"WCMO",18147,"29",7.594970083,0.004984766,2,158378.901063784,2302696.49957787,158378.901063784,2302696.49957787,0,19.409714
"WCMO",6622,"27",7.593545974,0.001928454,1,165234.937620319,2333351.64511415,165234.937620319,2333351.64511415,0,1.42410899999934
"WCMO",13085,"29",7.586959092,0.004380004,2,157345.133232472,2314926.68248322,157345.133232472,2314926.68248322,0,6.58688200000057
"WCMO",8713,"27",7.535143444,0.001558702,1,170714.069485616,2327720.35259739,170714.069485616,2327720.35259739,0,51.8156479999998
"WCMO",6620,"27",7.477555159,0.001580819,1,165577.194635406,2334069.33261468,165577.194635406,2334069.33261468,0,57.5882850000005
"WCMO",16442,"29",7.470519062,0.004499071,2,158153.971757693,2308597.36315127,158153.971757693,2308597.36315127,0,7.03609699999941
"WCMO",16453,"29",7.461035147,0.004490008,2,158245.184250451,2307922.12019124,158245.184250451,2307922.12019123,0,9.48391500000056
"WCMO",3675,"18",7.456276669,0.00400373,1,184444.351135486,2339726.74978566,184444.351135486,2339726.74978566,0,4.7584779999994
"WCMO",3680,"18",7.455613825,0.004040641,1,183297.92695682,2339048.28251229,183297.92695682,2339048.28251229,0,0.662843999999829
"WCMO",3386,"18",7.455582261,0.004137801,1,179185.942106407,2340369.81247276,179185.942106407,2340369.81247276,0,0.0315640000003725
"WCMO",3350,"18",7.455471122,0.004057831,1,178676.340829679,2341579.81876171,178676.340829679,2341579.81876171,0,0.111139000000371
"WCMO",4297,"18",7.455299096,0.003893594,1,184410.918663699,2337699.45357625,184410.918663699,2337699.45357625,0,0.172025999999548
"WCMO",3674,"18",7.455018373,0.004011999,1,184063.936608776,2339870.25530882,184063.936608776,2339870.25530882,0,0.280723000000371
"WCMO",3189,"18",7.454993432,0.003672663,1,177067.86962687,2340729.13619845,177067.86962687,2340729.13619845,0,0.0249409999995009
"WCMO",3699,"15",7.454955467,0.003833748,3,178534.028264406,2339345.56428232,178534.028264406,2339345.56428232,0,0.0379650000006393
"WCMO",3362,"18",7.454778819,0.003681372,1,178921.930854715,2341096.26510326,178921.930854715,2341096.26510326,0,0.176647999999169
"WCMO",3243,"18",7.454384681,0.003628545,1,176779.152328229,2341152.9585015,176779.152328229,2341152.9585015,0,0.394138000000765
"WCMO",3245,"18",7.454253078,0.003540486,1,177596.762664281,2340977.07030323,177596.762664281,2340977.07030323,0,0.131602999999814
"WCMO",3679,"18",7.453664757,0.003516231,1,182503.340450361,2339681.92094408,182503.340450361,2339681.92094408,0,0.588320999999503
"WCMO",4982,"18",7.453165291,0.003309756,1,183676.079375571,2338656.99554168,183676.079375571,2338656.99554168,0,0.499465999999948
"WCMO",3352,"18",7.453101832,0.003323735,1,178554.81135061,2341419.16525755,178554.81135061,2341419.16525755,0,0.0634590000005986
"WCMO",5027,"18",7.452873794,0.003313413,1,182130.074873496,2338440.16741413,182130.074873497,2338440.16741413,0,0.228037999999486
"WCMO",2841,"18",7.452503218,0.003162144,1,179378.343135391,2341602.6930559,179378.343135391,2341602.6930559,0,0.3705759999999
"WCMO",3234,"18",7.452233656,0.00322393,1,175927.030008767,2342387.86815331,175927.030008767,2342387.86815331,0,0.269562000000612
