index,ID,Generation,Outlet.Sediment,SedRed,Duck,Cost,sedbcr,duckbcr,Type,lambdaSedBcr0,lambdaSedBcr0.1,lambdaSedBcr0.2,lambdaSedBcr0.3,lambdaSedBcr0.4,lambdaSedBcr0.5,lambdaSedBcr0.6,lambdaSedBcr0.7,lambdaSedBcr0.8,lambdaSedBcr0.9,lambdaSedBcr1,MOsID,MOs,sedbcr_dist
8143,12770,-1,211244.8563,5.5877,2.6047,609.7291,9.164233756,0.004271897,WCMO 882,4.271897143,4.7611308039999996,5.250364465,5.739598126000001,6.228831788,6.718065449,7.20729911,7.696532772,8.185766433,8.675000094,9.164233756,882,WCMO,
8092,12719,-1,211244.0708,6.3732,2.7722,695.5401,9.162951209,0.00398568,WCMO 831,3.9856796180000003,4.5034067769999995,5.021133936,5.538861095,6.056588253999999,6.574315413,7.092042572,7.609769731,8.127496891,8.64522405,9.162951209,831,WCMO,0.0012825470000006334
8148,12775,-1,211239.6379,10.8061,3.6279,1180.1989999999998,9.156167731,0.003073973,WCMO 887,3.073973118,3.6821925789999996,4.290412041000001,4.898631502,5.506850963,6.115070425,6.723289886,7.331509347000001,7.939728808,8.54794827,9.156167731,887,WCMO,0.006783477999999121
8147,12774,-1,211237.7352,12.7088,3.9189999999999996,1388.4511,9.153221169,0.00282257,WCMO 886,2.822569697,3.455634844,4.088699991,4.721765138,5.354830285,5.987895432999999,6.62096058,7.254025727,7.887090874,8.520156021,9.153221169,886,WCMO,0.002946561999999986
8144,12771,-1,211236.8169,13.6271,4.0578,1489.0049,9.15181676,0.0027251759999999997,WCMO 883,2.72517572,3.367839824,4.010503928,4.653168032,5.2958321360000005,5.93849624,6.581160344,7.223824447999999,7.866488552000001,8.509152656,9.15181676,883,WCMO,0.0014044089999991627
8149,12776,-1,211234.1194,16.3246,4.4656,1784.5627,9.147675226,0.00250235,WCMO 888,2.502349735,3.1668822839999997,3.831414833,4.495947383,5.160479932,5.825012481,6.48954503,7.154077579,7.8186101279999995,8.483142677,9.147675226,888,WCMO,0.004141534000000391
8145,12772,-1,211233.9702,16.4738,4.4703,1800.9167,9.147452517,0.002482236,WCMO 884,2.482235852,3.1487575189999997,3.815279185,4.481800852,5.1483225180000005,5.814844185,6.4813658510000005,7.147887517999999,7.814409184,8.48093085,9.147452517,884,WCMO,0.0002227090000008758
8154,12781,-1,211158.8066,91.6374,10.6872,10145.3862,9.032421062000001,0.001053405,WCMO 893,1.053404946,1.8513065569999998,2.649208169,3.4471097810000004,4.245011391999999,5.042913004,5.840814616,6.638716227000001,7.436617839,8.234519451,9.032421062000001,893,WCMO,0.11503145499999867
8152,12779,-1,211097.0624,153.3816,13.8738,17160.1546,8.938241151,0.0008084889999999999,WCMO 891,0.80848922,1.6214644130000002,2.4344396059999998,3.247414799,4.060389992,4.873365185,5.686340378,6.499315571,7.312290765,8.125265958,8.938241151,891,WCMO,0.09417991100000123
12424,17051,-1,211245.1584,5.2856,2.9332,610.1942,8.662160342,0.004806994,WCMO 5163,4.806994232,5.192510843,5.578027454,5.963544065,6.349060676000001,6.7345772870000005,7.1200938979999995,7.505610508999999,7.89112712,8.276643731,8.662160342,5163,WCMO,0.27608080899999976
12043,16670,-1,211244.7257,5.7183,3.1055,674.6311,8.476187949,0.004603257,WCMO 4782,4.603256506,4.99054965,5.377842794,5.765135938999999,6.1524290829999995,6.539722227,6.9270153720000005,7.3143085160000005,7.701601661000001,8.088894805,8.476187949,4782,WCMO,0.18597239300000012
13879,18506,-1,211245.6008,4.8432,3.0574,598.7317,8.089099007,0.005106461,WCMO 6618,5.106460874,5.404724687000001,5.702988501,6.001252313999999,6.299516127,6.59777994,6.896043754,7.194307567,7.49257138,7.790835194,8.089099007,6618,WCMO,0.3870889420000001
12309,16936,-1,211243.4141,7.0299,3.4947,869.9709,8.08061511,0.004017031,WCMO 5048,4.017030913999999,4.4233893339999995,4.829747754,5.2361061730000005,5.642464593,6.048823012000001,6.455181432000001,6.861539852000001,7.267898271,7.674256691,8.08061511,5048,WCMO,0.00848389699999963
13876,18503,-1,211245.4968,4.9472,1.8094,615.7627,8.034263849,0.00293847,WCMO 6615,2.938469641,3.448049062,3.957628483,4.467207903,4.976787324,5.486366745,5.995946166,6.505525586,7.015105007000001,7.524684428,8.034263849,6615,WCMO,0.046351260999999866
13612,18239,-1,211245.4944,4.9496,3.0533,616.1664,8.03289501,0.004955317,WCMO 6351,4.955317265,5.263075038999999,5.570832814,5.878590589,6.186348363,6.494106137999999,6.801863912000001,7.109621687000001,7.417379461,7.725137236,8.03289501,6351,WCMO,0.001368838999999511
12291,16918,-1,211196.0011,54.4429,8.9731,6787.0122,8.021629901,0.001322099,WCMO 5030,1.322098699,1.992051819,2.662004939,3.33195806,4.00191118,4.671864299999999,5.34181742,6.01177054,6.68172366,7.351676781,8.021629901,5030,WCMO,0.011265108999999995
11573,16200,-1,211220.1626,30.2814,6.6932,3786.7824,7.996604187999999,0.001767516,WCMO 4312,1.767516401,2.39042518,3.0133339589999997,3.636242737,4.259151516,4.882060295,5.504969073,6.127877852,6.750786631,7.37369541,7.996604187999999,4312,WCMO,0.02502571300000156
12290,16917,-1,211190.8081,59.6359,9.3999,7465.727,7.987956163,0.001259074,WCMO 5029,1.259073631,1.9319618840000001,2.6048501369999997,3.27773839,3.9506266439999997,4.623514897,5.29640315,5.969291403,6.642179656000001,7.31506791,7.987956163,5029,WCMO,0.008648024999999393
14395,19022,-1,211245.8061,4.6379,2.9087,583.3815,7.950029269,0.004985931,WCMO 7134,4.985931162,5.282340972,5.578750782999999,5.875160594,6.171570405,6.467980215,6.764390026,7.060799837,7.3572096479999995,7.653619458,7.950029269,7134,WCMO,0.03792689399999993
13488,18115,-1,211245.3419,5.1021,3.0495,643.2175,7.932153587,0.004741009,WCMO 6227,4.741009068,5.06012352,5.379237972,5.698352423999999,6.017466876,6.336581327,6.655695779,6.974810231,7.293924682999999,7.613039135,7.932153587,6227,WCMO,0.01787568199999967
13620,18247,-1,211245.2817,5.1623,3.1613,650.991,7.929909937000001,0.004856135,WCMO 6359,4.8561347239999995,5.163512245,5.470889767,5.7782672879999994,6.085644809,6.393022331,6.700399852,7.007777373,7.315154895,7.622532416,7.929909937000001,6359,WCMO,0.0022436499999995974
14543,19170,-1,211245.7417,4.7023,2.9402,594.2571,7.912905037000001,0.00494769,WCMO 7282,4.94769015,5.244211638,5.540733127,5.837254616,6.133776105,6.430297593,6.7268190820000004,7.023340571,7.31986206,7.616383548,7.912905037000001,7282,WCMO,0.01700489999999988
12040,16667,-1,211242.5825,7.8615,3.7404,993.8381,7.9102421210000005,0.0037635909999999997,WCMO 4779,3.7635908710000003,4.178255996,4.592921121,5.007586246,5.422251371000001,5.836916496000001,6.251581621000001,6.6662467460000006,7.0809118710000005,7.4955769960000005,7.9102421210000005,4779,WCMO,0.002662916000000237
13874,18501,-1,211245.2281,5.2159,3.1386,659.773,7.905597834,0.004757091,WCMO 6613,4.757090696000001,5.07194141,5.386792123999999,5.701642838,6.016493552000001,6.331344265,6.646194979,6.961045692999999,7.275896407,7.590747121000001,7.905597834,6613,WCMO,0.004644287000000524
13614,18241,-1,211245.2046,5.2394,3.1719999999999997,663.6263,7.8951060260000006,0.004779799,WCMO 6353,4.77979851,5.0913292619999995,5.402860013,5.714390765,6.025921516,6.337452268,6.64898302,6.9605137710000005,7.272044523,7.583575274,7.8951060260000006,6353,WCMO,0.01049180799999938
14446,19073,-1,211245.8551,4.5889,3.0517,583.7937,7.860482222000001,0.00522736,WCMO 7185,5.227360282,5.490672476,5.75398467,6.0172968639999995,6.280609058,6.5439212520000005,6.807233446000001,7.07054564,7.333857834,7.597170028,7.860482222000001,7185,WCMO,0.03462380399999976
14195,18822,-1,211245.7892,4.6548,3.0571,595.0906,7.82200223,0.005137201,WCMO 6934,5.137200957,5.405681085,5.6741612120000005,5.942641339,6.211121466,6.479601593,6.748081721,7.016561847999999,7.285041975,7.5535221020000005,7.82200223,6934,WCMO,0.03847999200000096
11956,16583,-1,211245.538,4.906000000000001,2.9296,627.5039,7.818278102000001,0.004668656,WCMO 4695,4.668656243,4.983618429,5.298580614,5.6135428,5.928504986,6.243467172000001,6.558429358,6.8733915439999995,7.18835373,7.503315916,7.818278102000001,4695,WCMO,0.003724127999999105
8995,13622,-1,211245.771,4.673,2.539,597.8839,7.815898705,0.004246644,WCMO 1734,4.246643872,4.603569355,4.960494839,5.317420322,5.674345805,6.031271289,6.388196772000001,6.745122255,7.102047739,7.458973222000001,7.815898705,1734,WCMO,0.0023793970000003384
9218,13845,-1,211245.6634,4.7806,2.5332,611.6608,7.815769786000001,0.004141511,WCMO 1957,4.141511112,4.508936979,4.876362847,5.243788714,5.611214582000001,5.978640448999999,6.346066316,6.713492184,7.080918051,7.448343919,7.815769786000001,1957,WCMO,0.00012891899999978307
