N,Runtime,Overlap,Method,Data,Second
1,0:24:48,0.642384106,ElasticNet,Cinemax,1487.649
2,1:11:14,0.649006623,ElasticNet,Cinemax,4273.864
3,1:51:03,0.649006623,ElasticNet,Cinemax,6662.619
4,2:26:07,0.622516556,ElasticNet,Cinemax,8767.131
5,2:56:57,0.635761589,ElasticNet,Cinemax,10617.477
6,3:25:41,0.629139073,ElasticNet,Cinemax,12341.249
7,3:51:03,0.622516556,ElasticNet,Cinemax,13863.429
8,4:19:29,0.629139073,ElasticNet,Cinemax,15568.902
9,4:43:48,0.61589404,ElasticNet,Cinemax,17028.037
10,5:14:56,0.59602649,ElasticNet,Cinemax,18895.923
11,5:39:46,0.589403974,ElasticNet,Cinemax,20386.486
12,6:05:00,0.602649007,ElasticNet,Cinemax,21900.023
13,6:31:31,0.59602649,ElasticNet,Cinemax,23490.601
14,7:02:13,0.589403974,ElasticNet,Cinemax,25332.774
15,7:25:30,0.602649007,ElasticNet,Cinemax,26730.081
1,0:24:33,0.662251656,Lasso,Cinemax,1472.897
2,0:48:55,0.629139073,Lasso,Cinemax,2934.786
3,1:11:54,0.629139073,Lasso,Cinemax,4313.922
4,1:38:40,0.602649007,Lasso,Cinemax,5920.152
5,2:05:54,0.61589404,Lasso,Cinemax,7553.933
6,2:35:39,0.59602649,Lasso,Cinemax,9338.622
7,3:05:12,0.589403974,Lasso,Cinemax,11112.244
8,3:47:10,0.59602649,Lasso,Cinemax,13630.011
9,4:30:43,0.589403974,Lasso,Cinemax,16242.61
10,5:08:44,0.582781457,Lasso,Cinemax,18524.03
11,6:22:29,0.569536424,Lasso,Cinemax,22949.296
12,7:07:34,0.589403974,Lasso,Cinemax,25653.523
13,7:34:38,0.57615894,Lasso,Cinemax,27277.612
14,7:58:31,0.556291391,Lasso,Cinemax,28711.332
15,8:26:57,0.57615894,Lasso,Cinemax,30417.143
1,0:01:59,0.609271523,Ridge,Cinemax,119.296
2,0:03:58,0.635761589,Ridge,Cinemax,237.823
3,0:05:56,0.649006623,Ridge,Cinemax,355.95
4,0:07:55,0.642384106,Ridge,Cinemax,474.875
5,0:09:49,0.642384106,Ridge,Cinemax,589.169
6,0:11:45,0.635761589,Ridge,Cinemax,705.026
7,0:13:44,0.622516556,Ridge,Cinemax,824.282
8,0:15:40,0.629139073,Ridge,Cinemax,940.183
9,0:17:36,0.622516556,Ridge,Cinemax,1055.79
10,0:19:30,0.602649007,Ridge,Cinemax,1170.2
11,0:21:25,0.59602649,Ridge,Cinemax,1285.344
12,0:23:21,0.59602649,Ridge,Cinemax,1400.585
13,0:25:18,0.59602649,Ridge,Cinemax,1517.583
14,0:27:12,0.589403974,Ridge,Cinemax,1632.435
15,0:29:07,0.59602649,Ridge,Cinemax,1747.098
1,0:03:21,0.642384106,Linear,Cinemax,201.151
2,0:06:32,0.642384106,Linear,Cinemax,391.814
3,0:09:46,0.675496689,Linear,Cinemax,586.339
4,0:13:25,0.642384106,Linear,Cinemax,805.04
5,0:17:01,0.655629139,Linear,Cinemax,1021.304
6,0:20:15,0.642384106,Linear,Cinemax,1215.078
7,0:23:24,0.635761589,Linear,Cinemax,1404.212
8,0:26:33,0.642384106,Linear,Cinemax,1593.034
9,0:29:41,0.635761589,Linear,Cinemax,1780.912
10,0:33:14,0.61589404,Linear,Cinemax,1993.77
11,0:36:47,0.602649007,Linear,Cinemax,2206.925
12,0:40:21,0.609271523,Linear,Cinemax,2420.639
13,0:43:54,0.589403974,Linear,Cinemax,2633.774
14,0:47:26,0.57615894,Linear,Cinemax,2846.377
15,0:51:00,0.59602649,Linear,Cinemax,3059.648
1,0:00:07,0.629139073,Benchmark,Cmax,6.66
2,0:00:13,0.589403974,Benchmark,Cmax,13.362
3,0:00:20,0.556291391,Benchmark,Cmax,20.01
4,0:00:27,0.556291391,Benchmark,Cmax,26.636
5,0:00:33,0.556291391,Benchmark,Cmax,33.296
6,0:00:40,0.377483444,Benchmark,Cmax,39.924
7,0:00:47,0.377483444,Benchmark,Cmax,46.508
8,0:00:53,0.377483444,Benchmark,Cmax,53.126
9,0:01:00,0.377483444,Benchmark,Cmax,59.746
10,0:01:06,0.377483444,Benchmark,Cmax,66.414
11,0:01:13,0.377483444,Benchmark,Cmax,73.046
12,0:01:20,0.377483444,Benchmark,Cmax,79.734
13,0:01:26,0,Benchmark,Cmax,86.354
14,0:01:33,0,Benchmark,Cmax,93.061
15,0:01:40,0,Benchmark,Cmax,99.702
