N,Runtime,Overlap,Method,Data,Second
1,0:15:59,0.753731343,ElasticNet,HBO,958.926
2,0:29:31,0.671641791,ElasticNet,HBO,1771.413
3,0:43:08,0.686567164,ElasticNet,HBO,2587.823
4,0:56:44,0.679104478,ElasticNet,HBO,3403.948
5,1:13:05,0.694029851,ElasticNet,HBO,4384.75
6,1:32:25,0.679104478,ElasticNet,HBO,5545.135
7,1:48:49,0.664179104,ElasticNet,HBO,6529.381
8,2:09:01,0.679104478,ElasticNet,HBO,7740.529
9,2:30:01,0.671641791,ElasticNet,HBO,9000.546
10,2:45:41,0.671641791,ElasticNet,HBO,9941.385
11,3:02:29,0.664179104,ElasticNet,HBO,10949.494
12,3:26:03,0.671641791,ElasticNet,HBO,12362.661
13,3:57:44,0.664179104,ElasticNet,HBO,14263.701
14,4:28:20,0.664179104,ElasticNet,HBO,16099.663
15,4:51:17,0.686567164,ElasticNet,HBO,17476.503
1,0:13:14,0.708955224,Lasso,HBO,794.089
2,0:26:28,0.701492537,Lasso,HBO,1587.505
3,0:38:47,0.701492537,Lasso,HBO,2327.014
4,0:50:51,0.686567164,Lasso,HBO,3050.741
5,1:02:56,0.686567164,Lasso,HBO,3775.895
6,1:13:05,0.664179104,Lasso,HBO,4385.803
7,1:22:15,0.679104478,Lasso,HBO,4934.973
8,1:32:01,0.679104478,Lasso,HBO,5521.122
9,1:42:21,0.679104478,Lasso,HBO,6141.456
10,1:52:12,0.679104478,Lasso,HBO,6732.318
11,2:02:24,0.656716418,Lasso,HBO,7343.75
12,2:11:01,0.679104478,Lasso,HBO,7861.396
13,2:20:22,0.664179104,Lasso,HBO,8421.703
14,2:29:41,0.649253731,Lasso,HBO,8980.753
15,2:38:45,0.664179104,Lasso,HBO,9524.875
1,0:04:29,0.694029851,Linear,HBO,268.941
2,0:09:34,0.679104478,Linear,HBO,574.129
3,0:14:42,0.701492537,Linear,HBO,881.616
4,0:18:56,0.679104478,Linear,HBO,1136.306
5,0:24:49,0.694029851,Linear,HBO,1489.158
6,0:29:45,0.679104478,Linear,HBO,1785.243
7,0:35:31,0.671641791,Linear,HBO,2130.673
8,0:40:56,0.679104478,Linear,HBO,2455.698
9,0:46:17,0.679104478,Linear,HBO,2776.968
10,0:51:08,0.664179104,Linear,HBO,3068.361
11,0:55:43,0.656716418,Linear,HBO,3342.71
12,1:00:17,0.671641791,Linear,HBO,3616.583
13,1:05:15,0.664179104,Linear,HBO,3914.833
14,1:10:15,0.649253731,Linear,HBO,4215.241
15,1:15:19,0.671641791,Linear,HBO,4519.05
1,0:03:32,0.686567164,Ridge,HBO,211.897
2,0:07:00,0.746268657,Ridge,HBO,420.303
3,0:10:29,0.723880597,Ridge,HBO,629.23
4,0:13:27,0.671641791,Ridge,HBO,807.198
5,0:16:42,0.671641791,Ridge,HBO,1002.119
6,0:19:52,0.671641791,Ridge,HBO,1191.694
7,0:23:38,0.671641791,Ridge,HBO,1417.851
8,0:26:57,0.679104478,Ridge,HBO,1616.874
9,0:30:20,0.664179104,Ridge,HBO,1819.847
10,0:33:48,0.664179104,Ridge,HBO,2028.376
11,0:36:22,0.656716418,Ridge,HBO,2182.297
12,0:39:08,0.664179104,Ridge,HBO,2347.898
13,0:42:35,0.664179104,Ridge,HBO,2554.873
14,0:45:28,0.664179104,Ridge,HBO,2727.836
15,0:48:29,0.664179104,Ridge,HBO,2908.551
1,0:00:08,0.641791045,Benchmark,HBO,8.147
2,0:00:16,0.619402985,Benchmark,HBO,16.317
3,0:00:25,0.619402985,Benchmark,HBO,24.523
4,0:00:33,0.470149254,Benchmark,HBO,32.702
5,0:00:41,0.470149254,Benchmark,HBO,40.786
6,0:00:49,0.470149254,Benchmark,HBO,48.949
7,0:00:57,0.470149254,Benchmark,HBO,57.191
8,0:01:05,0.470149254,Benchmark,HBO,65.313
9,0:01:13,0.470149254,Benchmark,HBO,73.406
10,0:01:22,0.470149254,Benchmark,HBO,81.519
11,0:01:30,0.470149254,Benchmark,HBO,89.573
12,0:01:38,0.470149254,Benchmark,HBO,97.603
13,0:01:46,0.470149254,Benchmark,HBO,105.758
14,0:01:54,0.470149254,Benchmark,HBO,113.962
15,0:02:02,0,Benchmark,HBO,122.016
