wcmoid,wcmograssshare,H_temp_mallard,H_temp_gadwall,H_temp_bwt,H_temp_ns,H_temp_np,H_seasonal_mallard,H_seasonal_gadwall,H_seasonal_bwt,H_seasonal_ns,H_seasonal_np,H_semiper_mallard,H_semiper_gadwall,H_semiper_bwt,H_semiper_ns,H_semiper_np,shapeareakm2
18192,0.065241108,0.215786433,0.279633843,0.454582379,0.079211428,0.308871316,0.057748124,0.296632132,0.570253186,0.121316282,0.114696362,0.00520521,0.028951614,0.269875709,0.02360965,0.019159365,1.00E-05
7280,0.037279267,0.285724687,0.370335742,0.603115005,0.105099477,0.410941669,0.077190513,0.396541928,0.763744629,0.162489266,0.154043636,0.007023524,0.03908379,0.364888687,0.031923512,0.025977138,2.05E-05
10980,0.08142826,0.225033626,0.291207099,0.479338974,0.083554605,0.330828931,0.06127072,0.31488639,0.61166999,0.130170612,0.124966818,0.00576619,0.031742654,0.302330057,0.026461088,0.021804514,2.15E-05
7909,0.046854804,0.287089132,0.371506171,0.612090707,0.106697863,0.423000132,0.078410782,0.402984366,0.783481998,0.166738745,0.160276215,0.007406033,0.040755744,0.388670569,0.034019096,0.028068072,3.73E-05
10276,0.105296678,0.72569934,0.940722559,1.529271959,0.266478577,1.039481112,0.19515177,1.002332777,1.927456071,0.410050897,0.387815646,0.017622421,0.098150036,0.913892084,0.079950387,0.064904119,0.000117862
18157,0.043399057,0.942601804,1.221374619,1.987421355,0.346319076,1.35189822,0.252422002,1.296405836,2.494195008,0.530628088,0.502215673,0.022823381,0.126798615,1.18417873,0.103601017,0.084164378,0.000200352
1031,0.051724138,0.862670941,1.116948072,1.836969158,0.320200583,1.267114508,0.236629243,1.215840426,2.361003644,0.502440307,0.482073938,0.022278145,0.122948678,1.167525433,0.102183437,0.084153437,0.000318714
18133,0.012226512,1.325123389,1.716961477,2.795604033,0.48715794,1.903147219,0.355211563,1.824179076,3.511502324,0.747066028,0.707602446,0.032189291,0.178731728,1.670989275,0.146195249,0.11885835,0.000409684
18685,0.022374478,1.349249816,1.747661285,2.85233761,0.497076694,1.947383691,0.362521179,1.861836593,3.590880773,0.764000046,0.725687722,0.033121722,0.18349097,1.72291964,0.150752359,0.122909693,0.000479122
17318,0.129094003,1.495574552,1.936021305,3.176978242,0.553736189,2.183786737,0.40459883,2.078192799,4.026333976,0.856769213,0.819215438,0.037652565,0.207621784,1.968039942,0.172235809,0.141358924,0.000787055
18077,0.037864284,1.968203868,2.549811582,4.158301173,0.724651489,2.836348911,0.528618608,2.714364295,5.232043819,1.113149489,1.056339509,0.048169055,0.267042209,2.503792643,0.21907305,0.178446555,0.000981095
14839,0.047318612,2.249324974,2.915894894,4.738344478,0.825654384,3.218557,0.603332295,3.097551553,5.954224881,1.26668473,1.197143583,0.054332466,0.302455757,2.815775108,0.246336581,0.199838063,0.001087647
8943,0.015124648,2.154256607,2.792631114,4.546421727,0.792255981,3.096215812,0.581497981,2.985732788,5.749190309,1.223132678,1.158921724,0.05280633,0.293811051,2.74180334,0.239880316,0.195095179,0.001134058
4747,0.06059026,2.085286417,2.703075419,4.405431149,0.767711633,3.004604333,0.564617631,2.899217859,5.588043525,1.188885722,1.128092189,0.051514294,0.286466767,2.677547689,0.234267588,0.190804126,0.00113949
4626,0.027273692,2.083612105,2.700937154,4.402188518,0.767148009,3.002674955,0.564357868,2.897894919,5.585843958,1.188420052,1.127753979,0.051504618,0.286425877,2.677226861,0.234239885,0.190799111,0.001143656
7299,0.006783254,2.226750722,2.886620199,4.700397233,0.819092646,3.201985983,0.601480931,3.088299959,5.947837505,1.265401509,1.199301836,0.054669344,0.304153976,2.839086826,0.248393726,0.202074996,0.001228608
9987,0.02833299,2.511075772,3.255585088,5.294532999,0.922593595,3.600810152,0.676432821,3.472757924,6.681068,1.421345255,1.344930416,0.061168566,0.340583921,3.172790589,0.277577997,0.225454322,0.00144933
18148,0.013148129,2.600794209,3.370622398,5.483770583,0.955573148,3.729566112,0.696970851,3.578031792,6.883667118,1.464447574,1.385732263,0.062972401,0.349901335,3.266272877,0.285763794,0.232105591,0.001516943
17474,0.012168487,2.349156257,3.042582689,4.974430077,0.866936275,3.403694765,0.633075571,3.250592546,6.278895389,1.335958242,1.271657883,0.058190758,0.321894573,3.031309482,0.265256109,0.216727425,0.001599161
5621,0.045896785,2.598326311,3.36847846,5.486804556,0.956141866,3.739484702,0.702975485,3.609112106,6.953234516,1.479310812,1.402675732,0.063995792,0.356027437,3.324418788,0.290860698,0.23673191,0.001715131
16919,0.023728814,2.449154207,3.172107237,5.187378301,0.904054676,3.55050212,0.660496877,3.391314685,6.552109233,1.394097916,1.327396622,0.060767476,0.336110517,3.166195884,0.27706219,0.226441685,0.001764311
795,0.278459585,2.774563622,3.59676086,5.869972566,1.022971682,4.011090594,0.755235146,3.877437108,7.483286796,1.592164674,1.513531276,0.06934169,0.385409604,3.608763231,0.315761789,0.257654761,0.002218647
2954,0.151748971,2.324050034,3.00920395,4.950707593,0.862960347,3.415909235,0.636973048,3.271192739,6.354082394,1.352191764,1.297668928,0.059976857,0.330689926,3.143052925,0.275097406,0.226612475,0.002323976
18049,0.015129382,2.922895222,3.786119046,6.185569205,1.077989391,4.228436364,0.786787988,4.039109221,7.79737914,1.659006933,1.577682206,0.072120852,0.399135712,3.754182629,0.328505763,0.268156701,0.002374017
7275,0.024031087,3.113930966,4.037055179,6.575979271,1.145944221,4.481871439,0.84249371,4.32480646,8.332385439,1.772722326,1.680885514,0.076689889,0.426601496,3.983635295,0.348540304,0.283678951,0.002463237
1417,0.048141186,3.162588345,4.100281102,6.686899597,1.165315769,4.565244796,0.859714389,4.413303512,8.512604518,1.811127086,1.720159383,0.078693083,0.437654698,4.092644922,0.358093093,0.291939664,0.002770162
16913,0.025344411,3.051515725,3.952451259,6.465176026,1.126757386,4.426606385,0.823605192,4.228071683,8.17089674,1.738534286,1.655872967,0.075841151,0.419391692,3.952227368,0.345852048,0.282754386,0.002782396
18106,0.020006252,3.45723241,4.479635699,7.304086605,1.272849027,4.980938345,0.928978173,4.768208427,9.19024652,1.955254492,1.85496979,0.084578331,0.468940333,4.394816878,0.384537367,0.313147864,0.003001112
1284,0.0702527,2.794238922,3.619493666,5.940772208,1.035472514,4.087590137,0.765033118,3.928081254,7.616047329,1.620645292,1.551026699,0.07153748,0.395401602,3.741218993,0.327424848,0.268978747,0.003002361
6879,0.014138004,2.825663736,3.659400684,6.007173134,1.047046378,4.132882213,0.770423671,3.955663422,7.669027329,1.631916329,1.561666261,0.071946596,0.39719719,3.762271177,0.329271118,0.270469741,0.003003073
8366,0.053275738,2.911699235,3.771211569,6.184257614,1.077880034,4.249057564,0.792537287,4.069012445,7.881811096,1.677147664,1.602861541,0.073751356,0.407480679,3.852967504,0.337195871,0.276619065,0.003007003
5952,0.071421113,3.350363823,4.343142899,7.081647325,1.234097265,4.832459779,0.907892344,4.660296702,8.986251848,1.911879326,1.815002284,0.08294711,0.460977145,4.312292453,0.3773117,0.307464489,0.003007438
3681,0.063472179,2.936755218,3.80451571,6.234534872,1.086624907,4.280742445,0.800963607,4.112242271,7.962024408,1.694191454,1.618093137,0.074451572,0.411895856,3.887748892,0.340229532,0.278925804,0.003008904
486,0.140087555,3.010784972,3.901881645,6.384776872,1.112769714,4.377183673,0.822724586,4.223837662,8.169779501,1.738340964,1.657770338,0.076224473,0.422669172,3.976039096,0.347935074,0.284815876,0.003009312
929,0.10154321,2.809699375,3.639687553,5.972619168,1.041017474,4.108504891,0.769394033,3.95044429,7.658173311,1.62960088,1.559226846,0.071909459,0.397572234,3.760025544,0.329067923,0.270264359,0.00300968
7009,0.027789386,2.970731644,3.848258917,6.305138318,1.0989232,4.327740012,0.808489982,4.150796493,8.034842105,1.709673702,1.632333078,0.0750472,0.415055057,3.917853244,0.342862811,0.280990444,0.003009756
6918,0.046696681,2.880171906,3.73036903,6.119346483,1.066577304,4.206449498,0.784909657,4.029926686,7.808559576,1.661577329,1.588716861,0.073145065,0.404092893,3.822602325,0.334542291,0.274569343,0.003012479
3807,0.162382445,3.101758692,4.019420146,6.572854089,1.145524152,4.501431085,0.844136268,4.333538278,8.376157676,1.782214468,1.697877165,0.077933907,0.432013778,4.062110969,0.35546026,0.290679239,0.003012583
2579,0.065593712,2.814909723,3.646112503,5.984052369,1.043013135,4.116718025,0.76978462,3.952429677,7.662449798,1.63051402,1.560229342,0.071933509,0.397506788,3.761480204,0.329197772,0.270393231,0.003012608
13965,0.029589498,3.176615549,4.115055336,6.729397997,1.172799881,4.606630116,0.85878802,4.408539783,8.518638297,1.812514619,1.726004332,0.079069762,0.437552786,4.119883779,0.360519629,0.29469007,0.003015079
5078,0.233427289,2.559294995,3.312987612,5.458976805,0.951596773,3.773378052,0.701289108,3.601257995,7.003724021,1.490493748,1.432891497,0.066292762,0.364821848,3.478278234,0.304458967,0.25123781,0.003015321
9943,0.037380258,3.561465077,4.617355972,7.514327352,1.309426049,5.114670783,0.960358588,4.929134258,9.488586117,2.018645211,1.911584168,0.08704258,0.484256466,4.516920356,0.395189061,0.321230739,0.00301594
4233,0.087142559,2.820479717,3.653053694,5.996138119,1.045121789,4.125270931,0.770459571,3.955875495,7.669422273,1.631999886,1.56173915,0.071988881,0.397646669,3.764506153,0.329464638,0.270627598,0.003016225
3517,0.127688453,3.242476235,4.202977188,6.860685289,1.195629252,4.688522615,0.881160392,4.523318954,8.730590607,1.857543267,1.765943549,0.080872594,0.449159573,4.208863281,0.368276547,0.300531176,0.003016388
12072,0.04569055,3.453918152,4.476519268,7.295961474,1.271423599,4.974298953,0.93124237,4.779887147,9.211425454,1.959750333,1.858833802,0.084792061,0.470808894,4.405314156,0.385447463,0.313821644,0.003017956
2470,0.037399146,2.724874219,3.528869906,5.799242002,1.010837798,3.995994769,0.746089464,3.83096081,7.434899093,1.58214722,1.51633038,0.070000986,0.386352137,3.664630476,0.320737607,0.263858606,0.003019099
11535,0.028845153,3.440756552,4.459494354,7.268952569,1.266721007,4.956649554,0.928133051,4.763960303,9.18167432,1.953427034,1.853116131,0.084549868,0.469470684,4.393223042,0.384390772,0.313008599,0.003019408
5509,0.041558171,2.74273616,3.551654202,5.83685313,1.017392516,4.02151927,0.749449763,3.848163916,7.467797793,1.589145017,1.522891435,0.070264571,0.387606249,3.678132732,0.321920618,0.26480642,0.003020052
10379,0.039354503,3.095026215,4.009410635,6.561459162,1.143557306,4.496415293,0.83922699,4.308315781,8.330824584,1.77259293,1.689735058,0.077526288,0.428962624,4.042557528,0.353761689,0.289465254,0.003020732
3880,0.240975104,2.668371005,3.455018569,5.683523634,0.990693647,3.920680799,0.730531,3.751182861,7.285530878,1.550399282,1.48754498,0.068732802,0.378876923,3.601122981,0.31519172,0.259582394,0.003020781
5323,0.028073471,3.298842335,4.27590874,6.976957226,1.21587683,4.765088476,0.89452382,4.591785584,8.859166842,1.884875405,1.790862917,0.081919431,0.454943077,4.261456384,0.37287382,0.304101997,0.003020798
14222,0.035628711,2.804041999,3.630052967,5.965539257,1.039816669,4.108454021,0.761368952,3.909196147,7.584103303,1.613881053,1.545958221,0.071198624,0.39220316,3.725779338,0.326093154,0.268127822,0.003020964
16938,0.014689149,3.212533659,4.161168805,6.804257523,1.185841134,4.656684521,0.866452474,4.447792164,8.593021847,1.828331612,1.740629863,0.079680941,0.440713813,4.150917687,0.363235444,0.296835484,0.0030211
12752,0.0472392,3.460946472,4.485633445,7.310495198,1.273954633,4.983904744,0.933008188,4.788936559,9.228493048,1.963378959,1.862164567,0.084936747,0.471619355,4.412636511,0.386087571,0.314324084,0.003021287
6765,0.145648313,2.612683718,3.382236557,5.569574416,0.970858031,3.846623568,0.714717803,3.670098018,7.133654966,1.51811793,1.458259652,0.067401669,0.371057901,3.53433483,0.309358739,0.255073345,0.003021465
11463,0.018230508,3.32816485,4.313219339,7.038367407,1.226577698,4.80644889,0.900067033,4.620148322,8.913163687,1.896359411,1.801560021,0.082355777,0.456976939,4.283723132,0.374824922,0.305656749,0.003022408
10657,0.015606997,3.622838913,4.697036603,7.640231046,1.331346402,5.196906034,0.975534868,5.00689402,9.634017841,2.049556181,1.939590465,0.088227746,0.490965461,4.57622461,0.400370745,0.325230677,0.003023159
