WCMOid,Percent Wetland,Percent grass,Percent water
1,0.048987523,0.160973614,0.003477194
2,0.045878474,0.137541215,0.003108808
3,0.050561798,0.207558733,0.008375894
4,0.051697451,0.152719018,0.00350841
5,0.118879668,0.243153527,0.132157676
6,0.069961422,0.217599833,0.080804921
7,0.057131029,0.19292072,0.007141379
8,0.05179404,0.122237989,0.00283803
9,0.090661282,0.193942453,0.012115093
10,0.089036821,0.1652798,0.018826711
11,0.095760234,0.203947368,0.016290727
12,0.074647626,0.134087537,0.040708457
13,0.121003239,0.221244083,0.080807242
14,0.096145877,0.149502694,0.165354331
15,0.099693124,0.154516049,0.136601145
16,0.099979679,0.151798415,0.215098557
17,0.19850672,0.276953708,0.178894973
18,0.068740741,0.20582716,0.087506173
19,0.071455154,0.21706364,0.134536658
20,0.07492163,0.234064786,0.07523511
21,0.12259517,0.237413017,0.071121572
22,0.12644557,0.229379719,0.066424544
23,0.115808468,0.241412644,0.093059225
24,0.135660061,0.216701173,0.070393375
25,0.049867428,0.110442586,0.167550479
26,0.052964824,0.112663317,0.117788945
27,0.047823482,0.107927316,0.201677316
28,0.038757337,0.118093503,0.280510018
29,0.04735603,0.113364723,0.286037668
30,0.050024667,0.10902812,0.282979773
31,0.04798912,0.106955508,0.30289489
32,0.032069072,0.115530887,0.328502415
33,0.047261663,0.153651116,0.359533469
34,0.160798235,0.298378586,0.084716492
35,0.169296755,0.247956624,0.15189771
36,0.142468904,0.212710359,0.165464618
37,0.148716707,0.231234867,0.145569007
38,0.117549152,0.176011651,0.174867367
39,0.102149277,0.159749902,0.2325127
40,0.101875,0.1984375,0.198020833
41,0.175089698,0.24684777,0.197539723
42,0.156761234,0.223648789,0.189790847
43,0.1085693,0.191877794,0.172652757
45,0.133104423,0.195819026,0.147343971
46,0.19071327,0.255639098,0.201686649
47,0.041805542,0.105704219,0.358061137
48,0.036954315,0.107106599,0.376040609
49,0.085323535,0.254235558,0.377015717
51,0.084509729,0.27632583,0.323636017
52,0.145383508,0.206868188,0.18887518
53,0.166368684,0.231485838,0.183965371
54,0.11292897,0.172705507,0.243814844
55,0.081890153,0.141101765,0.331766452
56,0.091649495,0.19262094,0.43872044
57,0.092996793,0.189717596,0.482776456
58,0.124935627,0.255433103,0.110825008
59,0.101155503,0.208578143,0.033000392
60,0.111923283,0.233369099,0.097371245
61,0.128095734,0.247762747,0.066181061
62,0.130335743,0.249182926,0.034267604
63,0.055749487,0.144045175,0.320123203
64,0.058780154,0.170546719,0.329505952
65,0.062629153,0.167779367,0.322126848
66,0.058193536,0.154013838,0.298360345
67,0.0749499,0.239038076,0.311823647
68,0.079144163,0.261528874,0.291026174
69,0.052215971,0.139670319,0.296614352
70,0.131603432,0.220407319,0.28512354
71,0.154324765,0.260301918,0.118115055
72,0.066452742,0.157934656,0.351050175
73,0.03026253,0.097852029,0.563818616
74,0.143824664,0.215219641,0.081365817
75,0.118885687,0.209567723,0.128568684
76,0.02692081,0.102672431,0.584004716
77,0.059938339,0.236216902,0.113166485
78,0.04952381,0.177219048,0.106438095
79,0.061903488,0.19623584,0.273035412
80,0.028761515,0.097441146,0.571033777
81,0.206069996,0.269504192,0.168064163
82,0.06934216,0.13926355,0.460074472
83,0.095238095,0.188916615,0.323871907
84,0.057836002,0.122950024,0.085298399
85,0.048825832,0.097260274,0.063894325
87,0.094555278,0.149937656,0.078345802
88,0.099614698,0.145569025,0.029226576
89,0.038301415,0.067443797,0.069941715
90,0.033395368,0.061517783,0.055314309
91,0.026315789,0.05417352,0.057154605
92,0.032937419,0.06088432,0.03054197
93,0.026353865,0.053844564,0.021289789
94,0.023422318,0.051651836,0.021478981
95,0.064957428,0.099588635,0.026690902
96,0.157322002,0.274536221,0.07109545
97,0.19611711,0.29692691,0.039140365
98,0.179684764,0.277145359,0.130910683
99,0.156202013,0.25917079,0.149718478
100,0.079738688,0.180324719,0.323758286
101,0.153692015,0.255385232,0.1995792
102,0.117976055,0.207200909,0.293804072
103,0.114867665,0.207235479,0.288353366
104,0.042763158,0.111430921,0.413754112
105,0.05579096,0.111581921,0.284907183
106,0.05020284,0.093914807,0.271906694
107,0.054354122,0.119521143,0.378451439
108,0.113446257,0.189355918,0.009410289
